"id","map_id","spot_id","spot_type","sub_type","difficulty_group","model_code","model_height"
"1","1","6","5","0","0","Block02","2.45"
"2","1","9","5","0","0","Block02","2.36"
"3","1","12","4","0","0","Dialoguetower_03","3.25"
"4","1","14","5","0","0","Block03","2.24"
"5","1","17","5","0","0","Block02","2.14"
"6","1","18","5","0","0","Block03","2.35"
"7","1","19","5","0","0","Block03","2.33"
"8","1","23","5","0","0","Block01","2.23"
"9","1","24","5","0","0","Block02","2.04"
"10","1","25","5","0","0","Block01","2.17"
"11","1","29","5","0","0","Block01","2.3"
"12","1","31","5","0","0","Block01","2.29"
"13","1","32","5","0","0","Block01","2.08"
"14","1","33","5","0","0","Block02","2.47"
"15","1","38","5","0","0","Block03","2.4"
"16","1","39","5","0","0","Block02","2.07"
"17","1","40","5","0","0","Block02","2.33"
"18","1","43","5","0","0","Block03","2.43"
"19","1","45","5","0","0","Block03","2.48"
"20","1","46","5","0","0","Block01","2.17"
"21","1","47","5","0","0","Block01","2.28"
"22","1","48","5","0","0","Block03","2.32"
"23","1","49","5","0","0","Block03","2.34"
"24","1","52","4","0","0","Dialoguetower_01","3.17"
"25","1","54","5","0","0","Block03","2.1"
"26","1","55","5","0","0","Block01","2.01"
"27","1","58","4","0","0","Dialoguetower_01","3.0"
"28","1","59","5","0","0","Block02","2.13"
"29","1","66","5","0","0","Block01","2.49"
"30","1","68","5","0","0","Block03","2.05"
"31","1","56","1","0","1","Fighthouse_01","2.96"
"32","1","63","1","1","1","Fighthouse_01","2.03"
"33","1","64","1","0","1","Fighthouse_02","2.88"
"34","1","57","1","0","1","Fighthouse_01","1.87"
"35","1","65","3","0","1","HeavyEquipment_01","2.19"
"36","1","50","1","0","1","Fighthouse_01","2.91"
"37","1","42","1","0","1","Fighthouse_01","1.94"
"38","1","51","1","0","1","Fighthouse_02","2.07"
"39","1","34","3","0","2","HeavyEquipment_01","2.27"
"40","1","35","1","0","2","Fighthouse_03","2.64"
"41","1","41","1","0","2","Fighthouse_02","2.25"
"42","1","44","3","0","2","HeavyEquipment_01","2.64"
"43","1","60","2","0","2","SpriteHouse_01","2.55"
"44","1","26","2","0","2","SpriteHouse_01","2.04"
"45","1","27","1","0","2","Fighthouse_03","2.96"
"46","1","28","1","0","2","Fighthouse_01","2.54"
