id,name,description
1,enemy_illustration_skill-10000001,enemy_illustration_skill-20000001
2,enemy_illustration_skill-10000002,enemy_illustration_skill-20000002
3,enemy_illustration_skill-10000003,enemy_illustration_skill-20000003
4,enemy_illustration_skill-10000004,enemy_illustration_skill-20000004
5,enemy_illustration_skill-10000005,enemy_illustration_skill-20000005
6,enemy_illustration_skill-10000006,enemy_illustration_skill-20000006
7,enemy_illustration_skill-10000007,enemy_illustration_skill-20000007
8,enemy_illustration_skill-10000008,enemy_illustration_skill-20000008
9,enemy_illustration_skill-10000009,enemy_illustration_skill-20000009
10,enemy_illustration_skill-10000010,enemy_illustration_skill-20000010
11,enemy_illustration_skill-10000011,enemy_illustration_skill-20000011
12,enemy_illustration_skill-10000012,enemy_illustration_skill-20000012
13,enemy_illustration_skill-10000013,enemy_illustration_skill-20000013
14,enemy_illustration_skill-10000014,enemy_illustration_skill-20000014
15,enemy_illustration_skill-10000015,enemy_illustration_skill-20000015
16,enemy_illustration_skill-10000016,enemy_illustration_skill-20000016
17,enemy_illustration_skill-10000017,enemy_illustration_skill-20000017
18,enemy_illustration_skill-10000018,enemy_illustration_skill-20000018
19,enemy_illustration_skill-10000019,enemy_illustration_skill-20000019
20,enemy_illustration_skill-10000020,enemy_illustration_skill-20000020
21,enemy_illustration_skill-10000021,enemy_illustration_skill-20000021
22,enemy_illustration_skill-10000022,enemy_illustration_skill-20000022
23,enemy_illustration_skill-10000023,enemy_illustration_skill-20000023
24,enemy_illustration_skill-10000024,enemy_illustration_skill-20000024
25,enemy_illustration_skill-10000025,enemy_illustration_skill-20000025
26,enemy_illustration_skill-10000026,enemy_illustration_skill-20000026
27,enemy_illustration_skill-10000027,enemy_illustration_skill-20000027
28,enemy_illustration_skill-10000028,enemy_illustration_skill-20000028
29,enemy_illustration_skill-10000029,enemy_illustration_skill-20000029
30,enemy_illustration_skill-10000030,enemy_illustration_skill-20000030
31,enemy_illustration_skill-10000031,enemy_illustration_skill-20000031
32,enemy_illustration_skill-10000032,enemy_illustration_skill-20000032
33,enemy_illustration_skill-10000033,enemy_illustration_skill-20000033
34,enemy_illustration_skill-10000034,enemy_illustration_skill-20000034
35,enemy_illustration_skill-10000035,enemy_illustration_skill-20000035
36,enemy_illustration_skill-10000036,enemy_illustration_skill-20000036
37,enemy_illustration_skill-10000037,enemy_illustration_skill-20000037
38,enemy_illustration_skill-10000038,enemy_illustration_skill-20000038
39,enemy_illustration_skill-10000039,enemy_illustration_skill-20000039
40,enemy_illustration_skill-10000040,enemy_illustration_skill-20000040
41,enemy_illustration_skill-10000041,enemy_illustration_skill-20000041
42,enemy_illustration_skill-10000042,enemy_illustration_skill-20000042
43,enemy_illustration_skill-10000043,enemy_illustration_skill-20000043
44,enemy_illustration_skill-10000044,enemy_illustration_skill-20000044
45,enemy_illustration_skill-10000045,enemy_illustration_skill-20000045
46,enemy_illustration_skill-10000046,enemy_illustration_skill-20000046
47,enemy_illustration_skill-10000047,enemy_illustration_skill-20000047
48,enemy_illustration_skill-10000048,enemy_illustration_skill-20000048
49,enemy_illustration_skill-10000049,enemy_illustration_skill-20000049
50,enemy_illustration_skill-10000050,enemy_illustration_skill-20000050
51,enemy_illustration_skill-10000051,enemy_illustration_skill-20000051
52,enemy_illustration_skill-10000052,enemy_illustration_skill-20000052
53,enemy_illustration_skill-10000053,enemy_illustration_skill-20000053
54,enemy_illustration_skill-10000054,enemy_illustration_skill-20000054
55,enemy_illustration_skill-10000055,enemy_illustration_skill-20000055
56,enemy_illustration_skill-10000056,enemy_illustration_skill-20000056
57,enemy_illustration_skill-10000057,enemy_illustration_skill-20000057
58,enemy_illustration_skill-10000058,enemy_illustration_skill-20000058
59,enemy_illustration_skill-10000059,enemy_illustration_skill-20000059
60,enemy_illustration_skill-10000060,enemy_illustration_skill-20000060
61,enemy_illustration_skill-10000061,enemy_illustration_skill-20000061
62,enemy_illustration_skill-10000062,enemy_illustration_skill-20000062
63,enemy_illustration_skill-10000063,enemy_illustration_skill-20000063
64,enemy_illustration_skill-10000064,enemy_illustration_skill-20000064
65,enemy_illustration_skill-10000065,enemy_illustration_skill-20000065
66,enemy_illustration_skill-10000066,enemy_illustration_skill-20000066
67,enemy_illustration_skill-10000067,enemy_illustration_skill-20000067
68,enemy_illustration_skill-10000068,enemy_illustration_skill-20000068
69,enemy_illustration_skill-10000069,enemy_illustration_skill-20000069
70,enemy_illustration_skill-10000070,enemy_illustration_skill-20000070
71,enemy_illustration_skill-10000071,enemy_illustration_skill-20000071
72,enemy_illustration_skill-10000072,enemy_illustration_skill-20000072
73,enemy_illustration_skill-10000073,enemy_illustration_skill-20000073
74,enemy_illustration_skill-10000074,enemy_illustration_skill-20000074
75,enemy_illustration_skill-10000075,enemy_illustration_skill-20000075
