id,name,order,evo_step,appearance_id,item_id,medal_obtain,medal_color,is_date,decorate_code
1,medal-10000001,5,1,1,100,medal-20000001,#009bff,0,
2,medal-10000002,6,"1,50,150,250,350,900","2,3,4,5,6,6",101,medal-20000002,#ff9200,0,
3,medal-10000003,7,"1,30,90,150,210,540","7,8,9,10,11,11",102,medal-20000003,#009bff,0,
4,medal-10000004,8,"1,6,18,30,50,120","12,13,14,15,16,16",103,medal-20000004,#12ff00,2,
5,medal-10000005,9,1,17,104,medal-20000005,#ffd800,0,
6,medal-10000006,10,"1,5,30,90,150","18,19,20,21,22",105,medal-20000006,#ff9200,2,
7,medal-10000007,11,"1,50,150,300,600,1000","23,24,25,26,27,28",106,medal-20000007,#ff0000,2,
8,medal-10000008,3,1,29,107,medal-20000008,#ff0000,2,Logo_Events
9,medal-10000009,4,"1,2,3,4,5,6,7,8,9,10,11,12","30,31,32,33,34,35,36,37,38,39,40,41",108,medal-20000009,#ff0000,2,Logo_Events
10,medal-10000010,1,1,42,109,medal-20000010,#ff0000,2,Logo_Events
11,medal-10000011,2,"1,2,3,4,5,6,7,8,9,10,11,12","43,44,45,46,47,48,49,50,51,52,53,54",110,medal-20000011,#ff0000,2,Logo_Events
