id,type,code,name,detail,background_code
1,cg_collection-10000001,cg_collection-20000001,dfcg_1608summer,1,
2,cg_collection-10000002,cg_collection-20000002,dfcg_17summer,2,
3,cg_collection-10000003,cg_collection-20000003,dfcg_17011winter,3,
4,cg_collection-10000004,cg_collection-20000004,dfcg_18mind,4,
5,cg_collection-10000005,cg_collection-20000005,dfcg_1808summer,5,
6,cg_collection-10000006,cg_collection-20000006,dfcg_18winter,6,
7,cg_collection-10000007,cg_collection-20000007,dfcg_1908summer1,7,
8,cg_collection-10000008,cg_collection-20000008,dfcg_1908summer2,8,
9,cg_collection-10000009,cg_collection-20000009,dfcg_motobg,9,
10,cg_collection-10000010,cg_collection-20000010,2022summer_kar&lee,10,
11,cg_collection-10000011,cg_collection-20000011,掐脖子,11,
12,cg_collection-10000012,cg_collection-20000012,打海猫,12,
13,cg_collection-10000013,cg_collection-20000013,CG.1-6 有人,13,
14,cg_collection-10000014,cg_collection-20000014,CG.2-6,14,
15,cg_collection-10000015,cg_collection-20000015,CG.4-2,15,
16,cg_collection-10000016,cg_collection-20000016,CG.5,16,
17,cg_collection-10000017,cg_collection-20000017,CG.5-6,17,
18,cg_collection-10000018,cg_collection-20000018,404,18,10002|10019
19,cg_collection-10000019,cg_collection-20000019,sp2.2.2,19,10004|10021
20,cg_collection-10000020,cg_collection-20000020,6CG-AR15b,20,58
21,cg_collection-10000021,cg_collection-20000021,6CG-M4,21,60
22,cg_collection-10000022,cg_collection-20000022,CG7-3,22,70
23,cg_collection-10000023,cg_collection-20000023,CG-2017Winter1,23,10012
24,cg_collection-10000024,cg_collection-20000024,CG-2017Winter2,24,10016
25,cg_collection-10000025,cg_collection-20000025,Ouroboros,25,10024
26,cg_collection-10000026,cg_collection-20000026,CG8-1,26,80
27,cg_collection-10000027,cg_collection-20000027,202406_ARTeam_c,27,11681
28,cg_collection-10000028,cg_collection-20000028,2022winter_16vs16_b,28,11687
29,cg_collection-10000029,cg_collection-20000029,202407_Embla,29,11720
30,cg_collection-10000030,cg_collection-20000030,202407_TaskForceDEFY_a,30,11722
31,cg_collection-10000031,cg_collection-20000031,202408_HK-416_c,31,11753
32,cg_collection-10000032,cg_collection-20000032,202410_SCAR-H,32,11776
33,cg_collection-10000033,cg_collection-20000033,202412_Nemhran,33,11843
34,cg_collection-10000034,cg_collection-20000034,202410_Nele_a,34,11865
35,cg_collection-10000035,cg_collection-20000035,2018SummerCG2-1,35,10108
36,cg_collection-10000036,cg_collection-20000036,2018SummerCG6-1,36,10141
37,cg_collection-10000037,cg_collection-20000037,2018SummerCG4,37,10148
38,cg_collection-10000038,cg_collection-20000038,2018SummerCG3,38,10149
