id	organization_id	level	exp	function_skill_config_id	description	icon
101001	101	1	0		organization_level-10101001	1011
101002	101	2	50	137	organization_level-10101002	1011
101003	101	3	100	128	organization_level-10101003	1012
102001	102	1	0		organization_level-10102001	1021
102002	102	2	50	135	organization_level-10102002	1021
102003	102	3	100		organization_level-10102003	1021
102004	102	4	150	135	organization_level-10102004	1021
102005	102	5	200		organization_level-10102005	1022
102006	102	6	250	135	organization_level-10102006	1022
102007	102	7	300		organization_level-10102007	1022
102008	102	8	350	126	organization_level-10102008	1022
102009	102	9	400		organization_level-10102009	1023
102010	102	10	450	126	organization_level-10102010	1023
102011	102	11	500		organization_level-10102011	1023
102012	102	12	550	126	organization_level-10102012	1023
102013	102	13	600		organization_level-10102013	1023
102014	102	14	650	126	organization_level-10102014	1023
102015	102	15	700		organization_level-10102015	1023
102016	102	16	750	126	organization_level-10102016	1023
102017	102	17	800		organization_level-10102017	1023
103001	103	1	0		organization_level-10103001	1031
103002	103	2	50	130	organization_level-10103002	1031
103003	103	3	100		organization_level-10103003	1031
103004	103	4	150	130	organization_level-10103004	1031
103005	103	5	200		organization_level-10103005	1032
103006	103	6	250	130	organization_level-10103006	1032
103007	103	7	300		organization_level-10103007	1032
103008	103	8	350	118	organization_level-10103008	1032
103009	103	9	400		organization_level-10103009	1033
103010	103	10	450	118	organization_level-10103010	1033
103011	103	11	500		organization_level-10103011	1033
103012	103	12	550	118	organization_level-10103012	1033
103013	103	13	600		organization_level-10103013	1033
103014	103	14	650	118	organization_level-10103014	1033
103015	103	15	700		organization_level-10103015	1033
103016	103	16	750	118	organization_level-10103016	1033
104001	104	1	0		organization_level-10104001	1041
104002	104	2	50	138	organization_level-10104002	1041
104003	104	3	100		organization_level-10104003	1041
104004	104	4	150	138	organization_level-10104004	1041
104005	104	5	200		organization_level-10104005	1042
104006	104	6	250	138	organization_level-10104006	1042
104007	104	7	300		organization_level-10104007	1042
104008	104	8	350	129	organization_level-10104008	1042
104009	104	9	400		organization_level-10104009	1043
104010	104	10	450	129	organization_level-10104010	1043
104011	104	11	500		organization_level-10104011	1043
104012	104	12	550	129	organization_level-10104012	1043
104013	104	13	600		organization_level-10104013	1043
104014	104	14	650	129	organization_level-10104014	1043
104015	104	15	700		organization_level-10104015	1043
105001	105	1	0		organization_level-10105001	1051
105002	105	2	50	139	organization_level-10105002	1051
105003	105	3	100	132	organization_level-10105003	1051
105004	105	4	150	139	organization_level-10105004	1051
105005	105	5	200	132	organization_level-10105005	1052
105006	105	6	250	139	organization_level-10105006	1052
105007	105	7	300	132	organization_level-10105007	1052
105008	105	8	350	131	organization_level-10105008	1052
105009	105	9	400	120	organization_level-10105009	1053
105010	105	10	450	131	organization_level-10105010	1053
105011	105	11	500	120	organization_level-10105011	1053
106001	106	1	0		organization_level-10106001	1061
106002	106	2	50	134	organization_level-10106002	1061
106003	106	3	100		organization_level-10106003	1061
106004	106	4	150	134	organization_level-10106004	1061
106005	106	5	200		organization_level-10106005	1062
106006	106	6	250	134	organization_level-10106006	1062
106007	106	7	300		organization_level-10106007	1062
106008	106	8	350	125	organization_level-10106008	1062
106009	106	9	400		organization_level-10106009	1063
107001	107	1	0		organization_level-10107001	1071
107002	107	2	50	133	organization_level-10107002	1071
107003	107	3	100		organization_level-10107003	1071
107004	107	4	150	133	organization_level-10107004	1071
107005	107	5	200		organization_level-10107005	1072
107006	107	6	250	133	organization_level-10107006	1072
107007	107	7	300		organization_level-10107007	1072
107008	107	8	350	124	organization_level-10107008	1072
107009	107	9	400		organization_level-10107009	1073
107010	107	10	450	124	organization_level-10107010	1073
107011	107	11	500		organization_level-10107011	1073
107012	107	12	550	124	organization_level-10107012	1073
107013	107	13	600		organization_level-10107013	1073
107014	107	14	650	124	organization_level-10107014	1073
107015	107	15	700		organization_level-10107015	1073
107016	107	16	750	124	organization_level-10107016	1073
108001	108	1	0		organization_level-10108001	1081
108002	108	2	50	136	organization_level-10108002	1081
108003	108	3	100		organization_level-10108003	1081
108004	108	4	150	136	organization_level-10108004	1081
108005	108	5	200		organization_level-10108005	1082
108006	108	6	250	136	organization_level-10108006	1082
108007	108	7	300		organization_level-10108007	1082
108008	108	8	350	127	organization_level-10108008	1082
108009	108	9	400		organization_level-10108009	1083
108010	108	10	450	127	organization_level-10108010	1083
108011	108	11	500		organization_level-10108011	1083
