id,type,gem_pay,gem,double_gem_pay,double_gem,mp,ammo,mre,part,icon,month_card_type,quota_num,prize_id,classification_id,description,clear_type,clear_parameter
101,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
102,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
103,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
104,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
105,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
106,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
120,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
121,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
122,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
123,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
201,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
202,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
203,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
224,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
225,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
226,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
227,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
228,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
229,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
230,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
231,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
232,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
233,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
234,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
235,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
236,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
237,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
238,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
239,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
240,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
241,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
242,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
243,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
244,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
245,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
246,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
247,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
248,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
249,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
250,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
251,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
252,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
253,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
254,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
255,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
256,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
257,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
258,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
259,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
260,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
261,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
262,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
263,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
264,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
265,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
266,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
267,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
268,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
269,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
270,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
271,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
272,6,680,680,680,680,0,0,0,0,,,1,8501,0,,0,
273,6,980,980,980,980,0,0,0,0,,,1,8503,0,,0,
274,6,300,300,300,300,0,0,0,0,,,1,8505,0,,0,
275,6,680,680,680,680,0,0,0,0,,,1,8506,0,,0,
276,6,980,980,980,980,0,0,0,0,,,1,8507,0,,0,
277,6,300,300,300,300,0,0,0,0,,,1,8508,0,,0,
278,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,6003,,0,
279,21,500,500,500,500,0,0,0,0,,,2,1323,6003,,0,
280,21,1880,1880,1880,1880,0,0,0,0,,,1,1603,6003,,0,
281,6,680,680,680,680,0,0,0,0,,,1,8509,0,,0,
282,6,980,980,980,980,0,0,0,0,,,1,8510,0,,0,
283,6,300,300,300,300,0,0,0,0,,,1,8511,0,,0,
284,6,680,680,680,680,0,0,0,0,,,1,8512,0,,0,
285,6,980,980,980,980,0,0,0,0,,,1,8513,0,,0,
286,6,300,300,300,300,0,0,0,0,,,1,8514,0,,0,
287,21,330,330,330,330,0,0,0,0,,,1,1645,6003,,0,
288,21,920,920,920,920,0,0,0,0,,,1,1646,6003,,0,
289,21,560,560,560,560,0,0,0,0,,,5,1640,6003,,0,
290,21,1160,1160,1160,1160,0,0,0,0,,,2,1641,6003,,0,
291,21,330,330,330,330,0,0,0,0,,,10,1642,6003,,0,
292,6,680,680,680,680,0,0,0,0,,,1,8515,0,,0,
293,6,980,980,980,980,0,0,0,0,,,1,8516,0,,0,
294,6,300,300,300,300,0,0,0,0,,,1,8517,0,,0,
295,21,440,440,440,440,0,0,0,0,,,5,7392,6003,,0,
296,21,920,920,920,920,0,0,0,0,,,2,7393,6003,,0,
297,21,1880,1880,1880,1880,0,0,0,0,,,1,7394,6003,,0,
298,21,330,330,330,330,0,0,0,0,,,10,1894,6003,,0,
299,21,330,330,330,330,0,0,0,0,,,10,1894,6003,,0,
301,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
302,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
303,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
304,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
305,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
306,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
307,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
308,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
309,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
320,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
321,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
322,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
323,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
324,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
325,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
326,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
327,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
328,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
329,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
330,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
331,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
332,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
333,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
334,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
335,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
336,21,1880,1880,1880,1880,0,0,0,0,,,1,1083,2000,,0,0
337,21,1880,1880,1880,1880,0,0,0,0,,,1,1084,2000,,0,0
338,22,60,60,60,60,0,0,0,0,,,1,1167,2000,,0,0
339,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
340,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
341,21,330,330,330,330,0,0,0,0,,,10,1172,2000,,0,0
342,21,500,500,500,500,0,0,0,0,,,1,1168,2000,,0,0
343,21,1160,1160,1160,1160,0,0,0,0,,,2,1178,2000,,0,0
344,22,60,60,60,60,0,0,0,0,,,1,1171,2000,,0,0
345,21,1880,1880,1880,1880,0,0,0,0,,,1,1202,2000,,0,0
346,21,1880,1880,1880,1880,0,0,0,0,,,1,1203,2000,,0,0
347,21,1160,1160,1160,1160,0,0,0,0,,,2,1204,2000,,0,0
348,21,2380,2380,2380,2380,0,0,0,0,,,1,1205,2000,,0,0
349,22,60,60,60,60,0,0,0,0,,,1,1196,2000,,0,0
350,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
351,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
352,21,500,500,500,500,0,0,0,0,,,1,1241,2000,,0,0
353,21,2380,2380,2380,2380,0,0,0,0,,,1,1229,2000,,0,0
354,21,1880,1880,1880,1880,0,0,0,0,,,2,1240,2000,,0,0
355,21,800,800,800,800,0,0,0,0,,,5,1243,2000,,0,0
356,21,1160,1160,1160,1160,0,0,0,0,,,2,1253,2000,,0,
357,21,1160,1160,1160,1160,0,0,0,0,,,2,1254,2000,,0,
358,21,1880,1880,1880,1880,0,0,0,0,,,1,1292,2000,,0,
359,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,2000,,0,
360,21,500,500,500,500,0,0,0,0,,,1,1323,2000,,0,
361,21,1880,1880,1880,1880,0,0,0,0,,,2,1324,2000,,0,
362,21,1160,1160,1160,1160,0,0,0,0,,,1,1410,6003,,0,
363,21,1880,1880,1880,1880,0,0,0,0,,,1,1411,6003,,0,
364,21,2380,2380,2380,2380,0,0,0,0,,,1,1412,6003,,0,
365,21,1160,1160,1160,1160,0,0,0,0,,,2,1413,6003,,0,
366,21,1160,1160,1160,1160,0,0,0,0,,,1,1464,6003,,0,
367,21,560,560,560,560,0,0,0,0,,,10,1465,6003,,0,
368,21,560,560,560,560,0,0,0,0,,,5,1466,6003,,0,
369,21,560,560,560,560,0,0,0,0,,,5,1467,6003,,0,
370,21,560,560,560,560,0,0,0,0,,,5,1468,6003,,0,
371,21,2450,2450,2450,2450,0,0,0,0,,,1,1469,6003,,0,
372,6,680,680,680,680,0,0,0,0,,,1,8501,0,,0,
373,6,980,980,980,980,0,0,0,0,,,1,8503,0,,0,
374,6,300,300,300,300,0,0,0,0,,,1,8505,0,,0,
375,6,680,680,680,680,0,0,0,0,,,1,8506,0,,0,
376,6,980,980,980,980,0,0,0,0,,,1,8507,0,,0,
377,6,300,300,300,300,0,0,0,0,,,1,8508,0,,0,
378,21,2380,2380,2380,2380,0,0,0,0,,,1,1322,6003,,0,
379,21,500,500,500,500,0,0,0,0,,,2,1323,6003,,0,
380,21,1880,1880,1880,1880,0,0,0,0,,,1,1603,6003,,0,
381,6,680,680,680,680,0,0,0,0,,,1,8509,0,,0,
382,6,980,980,980,980,0,0,0,0,,,1,8510,0,,0,
383,6,300,300,300,300,0,0,0,0,,,1,8511,0,,0,
384,6,680,680,680,680,0,0,0,0,,,1,8512,0,,0,
385,6,980,980,980,980,0,0,0,0,,,1,8513,0,,0,
386,6,300,300,300,300,0,0,0,0,,,1,8514,0,,0,
387,21,330,330,330,330,0,0,0,0,,,1,1645,6003,,0,
388,21,920,920,920,920,0,0,0,0,,,1,1646,6003,,0,
389,21,560,560,560,560,0,0,0,0,,,5,1640,6003,,0,
390,21,1160,1160,1160,1160,0,0,0,0,,,2,1641,6003,,0,
391,21,330,330,330,330,0,0,0,0,,,10,1642,6003,,0,
392,6,680,680,680,680,0,0,0,0,,,1,8515,0,,0,
393,6,980,980,980,980,0,0,0,0,,,1,8516,0,,0,
394,6,300,300,300,300,0,0,0,0,,,1,8517,0,,0,
395,21,440,440,440,440,0,0,0,0,,,5,7392,6003,,0,
396,21,920,920,920,920,0,0,0,0,,,2,7393,6003,,0,
397,21,1880,1880,1880,1880,0,0,0,0,,,1,7394,6003,,0,
398,21,330,330,330,330,0,0,0,0,,,10,1894,6003,,0,
399,21,330,330,330,330,0,0,0,0,,,10,1894,6003,,0,
401,4,60,60,60,120,0,0,0,0,,,0,0,2000,,0,0
402,4,300,330,300,600,0,0,0,0,,,0,0,2000,,0,0
403,4,680,800,680,1360,0,0,0,0,,,0,0,2000,,0,0
404,4,1680,2000,1680,3360,0,0,0,0,,,0,0,2000,,0,0
405,4,3280,4000,3280,6560,0,0,0,0,,,0,0,2000,,0,0
406,4,6480,8000,6480,12960,0,0,0,0,,,0,0,2000,,0,0
407,5,0,0,0,0,500,500,500,300,,monthlycard2,0,0,2002,,0,0
408,5,0,30,0,0,0,0,0,0,,monthlycard1,0,0,2002,,0,0
409,4,0,10,0,0,0,0,0,0,,,0,0,2000,,0,0
410,5,0,0,0,0,0,0,0,0,,monthlycard3,0,0,2002,,0,0
420,21,1550,1550,0,0,0,0,0,0,,,0,74,2000,,0,0
421,21,720,720,0,0,0,0,0,0,,,0,78,2000,,0,0
422,21,1550,1550,0,0,0,0,0,0,,,0,79,2000,,0,0
423,21,2450,2450,0,0,0,0,0,0,,,0,80,2000,,0,0
424,21,2450,2450,2450,2450,0,0,0,0,,,1,159,2000,,0,0
425,21,720,720,720,720,0,0,0,0,,,1,78,2000,,0,0
426,21,1550,1550,1550,1550,0,0,0,0,,,1,79,2000,,0,0
427,21,2450,2450,2450,2450,0,0,0,0,,,1,80,2000,,0,0
428,21,2450,2450,2450,2450,0,0,0,0,,,1,975,2000,,0,0
429,21,2450,2450,2450,2450,0,0,0,0,,,1,559,2000,,0,0
430,21,2450,2450,2450,2450,0,0,0,0,,,1,560,2000,,0,0
431,21,2450,2450,2450,2450,0,0,0,0,,,1,561,2000,,0,0
432,21,2450,2450,2450,2450,0,0,0,0,,,1,562,2000,,0,0
433,21,60,60,60,60,0,0,0,0,,,1,571,2000,,0,0
434,21,1880,1880,1880,1880,0,0,0,0,,,1,1081,2000,,0,0
435,21,1880,1880,1880,1880,0,0,0,0,,,1,1082,2000,,0,0
