id,name,type,sub_type,sub_rank,sub_rank_name,refresh,title,top_rewards,percentage_rewards,out_rewards,visable_rank,score_rewards,ranking_onlist_number,visable_count,rank_list_num,begin_show_time,end_show_time,prize_preview
1,rank-20000001,1,0,1,rank-30000001,month:1:0,rank-10000001,,,,100,,20000,100,0,,,
2,rank-20000002,2,1,2,rank-30000002,week:7:0,rank-10000002,,,,100,,20000,100,0,,,
3,rank-20000003,2,2,3,rank-30000003,week:7:0,rank-10000003,,,,100,,20000,100,0,,,
4,rank-20000004,2,3,1,rank-30000004,week:7:0,rank-10000004,,,,100,,20000,100,0,,,
5,rank-20000005,3,0,0,rank-30000005,week:7:0,rank-10000005,,,,100,,20000,100,0,,,
6,rank-20000006,4,0,0,rank-30000006,month:1:0,rank-10000006,,,,100,,20000,100,0,,,
7,rank-20000007,5,0,0,rank-30000007,month:1:0,rank-10000007,,,,100,,20000,100,0,,,
8,rank-20000008,6,11946,0,rank-30000008,end:2025-10-30 10:00:00,rank-10000008,1:40821|2:40822|3:40823|4:40824|5:40825|6:40826|7:40827|8:40828|9:40829|10:40830|100:40831,,,100,150000:40832|300000:40833|600000:40834|800000:40835|1000000:40836,80000,100,1,2025-09-19,2025-10-30 10:00:00,https://gfcn-transit-gw.sunborngame.com/listAward.html
9,rank-20000009,6,11402|11403,0,rank-30000009,end:2023-06-08 10:00:00,rank-10000009,1:40549|2:40550|3:40551|4:40552|5:40553|6:40554|7:40555|8:40556|9:40557|10:40558|100:40559,,,100,,80000,100,2,2023-04-18,2023-06-08 10:00:00,https://gfcn-transit-gw.sunborngame.com/listAward.html
101,rank-20000101,101,0,0,rank-30000101,test,rank-10000101,1:413101|2:413102|3:413103|4:413104|5:413105|6:413106|7:413107|8:413108|9:413109|10:413110|100:413111,5:413112|10:413113|15:413114|20:413115|30:413116|40:413117|50:413118|100:413119,,100,,160000,300,0,,,
102,rank-20000102,102,0,0,rank-30000102,test,rank-10000102,,,,100,,120,300,0,,,
112,rank-20000112,112,0,0,rank-30000112,test,rank-10000112,1:413201|2:413202|3:413203|4:413204|5:413205|6:413206|7:413207|8:413208|9:413209|10:413210|100:413211,5:413212|10:413213|15:413214|20:413215|30:413216|40:413217|50:413218|100:413219,,100,,160000,300,0,,,
122,rank-20000122,113,1703,0,rank-30000122,test,rank-10000122,,,,100,,160000,100,0,,,
123,rank-20000123,113,1704,0,rank-30000123,test,rank-10000123,,,,100,,160000,100,0,,,
124,rank-20000124,113,1705,0,rank-30000124,test,rank-10000124,,,,100,,160000,100,0,,,
125,rank-20000125,113,1706,0,rank-30000125,test,rank-10000125,,,,100,,160000,100,0,,,
126,rank-20000126,113,1707,0,rank-30000126,test,rank-10000126,,,,100,,160000,100,0,,,
127,rank-20000127,114,1703,0,rank-30000127,test,rank-10000127,,,,100,,160000,100,0,,,
128,rank-20000128,114,1704,0,rank-30000128,test,rank-10000128,,,,100,,160000,100,0,,,
129,rank-20000129,114,1705,0,rank-30000129,test,rank-10000129,,,,100,,160000,100,0,,,
130,rank-20000130,114,1706,0,rank-30000130,test,rank-10000130,,,,100,,160000,100,0,,,
131,rank-20000131,114,1707,0,rank-30000131,test,rank-10000131,,,,100,,160000,100,0,,,
132,rank-20000132,113,1708,0,rank-30000132,test,rank-10000132,,,,100,,160000,100,0,,,
133,rank-20000133,113,1709,0,rank-30000133,test,rank-10000133,,,,100,,160000,100,0,,,
134,rank-20000134,113,1710,0,rank-30000134,test,rank-10000134,,,,100,,160000,100,0,,,
135,rank-20000135,114,1708,0,rank-30000135,test,rank-10000135,,,,100,,160000,100,0,,,
136,rank-20000136,114,1709,0,rank-30000136,test,rank-10000136,,,,100,,160000,100,0,,,
137,rank-20000137,114,1710,0,rank-30000137,test,rank-10000137,,,,100,,160000,100,0,,,
138,rank-20000138,113,1711,0,rank-30000138,test,rank-10000138,,,,100,,160000,100,0,,,
139,rank-20000139,113,1712,0,rank-30000139,test,rank-10000139,,,,100,,160000,100,0,,,
140,rank-20000140,113,1713,0,rank-30000140,test,rank-10000140,,,,100,,160000,100,0,,,
141,rank-20000141,114,1711,0,rank-30000141,test,rank-10000141,,,,100,,160000,100,0,,,
142,rank-20000142,114,1712,0,rank-30000142,test,rank-10000142,,,,100,,160000,100,0,,,
143,rank-20000143,114,1713,0,rank-30000143,test,rank-10000143,,,,100,,160000,100,0,,,
144,rank-20000144,113,1715,0,rank-30000144,test,rank-10000144,,,,100,,160000,100,0,,,
145,rank-20000145,114,1715,0,rank-30000145,test,rank-10000145,,,,100,,160000,100,0,,,
146,rank-20000146,113,1716,0,rank-30000146,test,rank-10000146,,,,100,,160000,100,0,,,
147,rank-20000147,113,1717,0,rank-30000147,test,rank-10000147,,,,100,,160000,100,0,,,
148,rank-20000148,113,1718,0,rank-30000148,test,rank-10000148,,,,100,,160000,100,0,,,
149,rank-20000149,114,1716,0,rank-30000149,test,rank-10000149,,,,100,,160000,100,0,,,
150,rank-20000150,114,1717,0,rank-30000150,test,rank-10000150,,,,100,,160000,100,0,,,
151,rank-20000151,114,1718,0,rank-30000151,test,rank-10000151,,,,100,,160000,100,0,,,
152,rank-20000152,113,1719,0,rank-30000152,test,rank-10000152,,,,100,,160000,100,0,,,
153,rank-20000153,114,1719,0,rank-30000153,test,rank-10000153,,,,100,,160000,100,0,,,
154,rank-20000154,113,1720,0,rank-30000154,test,rank-10000154,,,,100,,160000,100,0,,,
155,rank-20000155,113,1721,0,rank-30000155,test,rank-10000155,,,,100,,160000,100,0,,,
156,rank-20000156,113,1722,0,rank-30000156,test,rank-10000156,,,,100,,160000,100,0,,,
157,rank-20000157,114,1720,0,rank-30000157,test,rank-10000157,,,,100,,160000,100,0,,,
158,rank-20000158,114,1721,0,rank-30000158,test,rank-10000158,,,,100,,160000,100,0,,,
159,rank-20000159,114,1722,0,rank-30000159,test,rank-10000159,,,,100,,160000,100,0,,,
160,rank-20000160,113,1723,0,rank-30000160,test,rank-10000160,,,,100,,160000,100,0,,,
161,rank-20000161,114,1723,0,rank-30000161,test,rank-10000161,,,,100,,160000,100,0,,,
162,rank-20000162,8,0,0,rank-30000162,test,rank-10000162,,,,100,,20000,100,0,,,
163,rank-20000163,113,1724,0,rank-30000163,test,rank-10000163,,,,100,,160000,100,0,,,
164,rank-20000164,113,1725,0,rank-30000164,test,rank-10000164,,,,100,,160000,100,0,,,
165,rank-20000165,113,1726,0,rank-30000165,test,rank-10000165,,,,100,,160000,100,0,,,
166,rank-20000166,114,1724,0,rank-30000166,test,rank-10000166,,,,100,,160000,100,0,,,
167,rank-20000167,114,1725,0,rank-30000167,test,rank-10000167,,,,100,,160000,100,0,,,
168,rank-20000168,114,1726,0,rank-30000168,test,rank-10000168,,,,100,,160000,100,0,,,
169,rank-20000169,113,1727,0,rank-30000169,test,rank-10000169,,,,100,,160000,100,0,,,
170,rank-20000170,113,1728,0,rank-30000170,test,rank-10000170,,,,100,,160000,100,0,,,
171,rank-20000171,113,1729,0,rank-30000171,test,rank-10000171,,,,100,,160000,100,0,,,
172,rank-20000172,114,1727,0,rank-30000172,test,rank-10000172,,,,100,,160000,100,0,,,
173,rank-20000173,114,1728,0,rank-30000173,test,rank-10000173,,,,100,,160000,100,0,,,
174,rank-20000174,114,1729,0,rank-30000174,test,rank-10000174,,,,100,,160000,100,0,,,
175,rank-20000175,113,1730,0,rank-30000175,test,rank-10000175,,,,100,,160000,100,0,,,
176,rank-20000176,114,1730,0,rank-30000176,test,rank-10000176,,,,100,,160000,100,0,,,
177,rank-20000177,9,0,0,rank-30000177,test,rank-10000177,,,,100,,160000,100,0,,,
178,rank-20000178,113,1731,0,rank-30000178,test,rank-10000178,,,,100,,160000,100,0,,,
179,rank-20000179,113,1732,0,rank-30000179,test,rank-10000179,,,,100,,160000,100,0,,,
180,rank-20000180,113,1733,0,rank-30000180,test,rank-10000180,,,,100,,160000,100,0,,,
181,rank-20000181,114,1731,0,rank-30000181,test,rank-10000181,,,,100,,160000,100,0,,,
182,rank-20000182,114,1732,0,rank-30000182,test,rank-10000182,,,,100,,160000,100,0,,,
183,rank-20000183,114,1733,0,rank-30000183,test,rank-10000183,,,,100,,160000,100,0,,,
184,rank-20000184,113,1734,0,rank-30000184,test,rank-10000184,,,,100,,160000,100,0,,,
185,rank-20000185,113,1735,0,rank-30000185,test,rank-10000185,,,,100,,160000,100,0,,,
186,rank-20000186,113,1736,0,rank-30000186,test,rank-10000186,,,,100,,160000,100,0,,,
187,rank-20000187,114,1734,0,rank-30000187,test,rank-10000187,,,,100,,160000,100,0,,,
188,rank-20000188,114,1735,0,rank-30000188,test,rank-10000188,,,,100,,160000,100,0,,,
189,rank-20000189,114,1736,0,rank-30000189,test,rank-10000189,,,,100,,160000,100,0,,,
190,rank-20000190,113,1737,0,rank-30000190,test,rank-10000190,,,,100,,160000,100,0,,,
191,rank-20000191,113,1738,0,rank-30000191,test,rank-10000191,,,,100,,160000,100,0,,,
192,rank-20000192,114,1737,0,rank-30000192,test,rank-10000192,,,,100,,160000,100,0,,,
193,rank-20000193,114,1738,0,rank-30000193,test,rank-10000193,,,,100,,160000,100,0,,,
194,rank-20000194,113,1739,0,rank-30000194,test,rank-10000194,,,,100,,160000,100,0,,,
195,rank-20000195,113,1740,0,rank-30000195,test,rank-10000195,,,,100,,160000,100,0,,,
196,rank-20000196,113,1741,0,rank-30000196,test,rank-10000196,,,,100,,160000,100,0,,,
197,rank-20000197,113,1742,0,rank-30000197,test,rank-10000197,,,,100,,160000,100,0,,,
198,rank-20000198,114,1739,0,rank-30000198,test,rank-10000198,,,,100,,160000,100,0,,,
199,rank-20000199,114,1740,0,rank-30000199,test,rank-10000199,,,,100,,160000,100,0,,,
200,rank-20000200,114,1741,0,rank-30000200,test,rank-10000200,,,,100,,160000,100,0,,,
