id	type	child_ids	title	sub_title	code	content	function_control_id	goto_page
100	1	101,102,103,104,105,106,107,108,109	tutorial_manual-10000100	tutorial_manual-20000100	manual_base		0	0
101	2		tutorial_manual-10000101	tutorial_manual-20000101		9af7265f733e40b3_draw_200803002.jpg,c4f59f4467e837fd_draw_200803001.jpg	0	0
102	2		tutorial_manual-10000102	tutorial_manual-20000102		73ba80e896ceb233_draw_220801008.jpg,9dd46b330c43a33d_draw_220801004.jpg,eacc566510ed657a_draw_220801005.jpg,c0c481c5b4f02d3d_draw_220801006.jpg,b778f752f1fecac6_draw_220801009.jpg	0	0
103	2		tutorial_manual-10000103	tutorial_manual-20000103		2ada711f673bc85b_draw_200727001.jpg	0	252
104	2		tutorial_manual-10000104	tutorial_manual-20000104		9f5c87041de0982c_draw_200727011.jpg,ea0b7d7ec784f470_draw_200727010.jpg	0	2
105	2		tutorial_manual-10000105	tutorial_manual-20000105		996743c025fdbe9f_draw_220801003.jpg	0	257
106	2		tutorial_manual-10000106	tutorial_manual-20000106		f84e1031795f5582_draw_200727004.jpg,cce850bac514cb1f_draw_200727003.jpg	0	253
107	2		tutorial_manual-10000107	tutorial_manual-20000107		a72e417cd9df982e_draw_220720001.jpg,fde8910ab3416d4c_draw_220810001.jpg,bd39665cf1c4d4a3_draw_220720003.jpg,ee5672c206020f54_draw_200803004.jpg,1f01d31ecc9e20cd_draw_220801002.jpg,f17b34f04b00142f_draw_200727008.jpg	0	254
108	2		tutorial_manual-10000108	tutorial_manual-20000108		bed0ed56a6112fa6_draw_200727012.jpg	0	255
109	2		tutorial_manual-10000109	tutorial_manual-20000109		4288df4b8b564bc4_draw_200727016.jpg,b17e352a2ecc1075_draw_200727015.jpg,203f9a267926ca97_draw_200727013.jpg,3b4c7b558683715e_draw_200727014.jpg	0	256
200	1	201,202,203,204,205,206,207,208,209,210,211,212	tutorial_manual-10000200	tutorial_manual-20000200	manual_develop		0	0
201	2		tutorial_manual-10000201	tutorial_manual-20000201		0fc4719f8e5ff161_draw_200813001.jpg,067c90ce8684a9f0_draw_200716019.jpg,69aac10091101b60_draw_200716020.jpg	0	0
202	2		tutorial_manual-10000202	tutorial_manual-20000202		fb7c9b266c8506d4_draw_200805002.jpg,f90dc3183d49d4ac_draw_200716015.jpg,af62fa533e41a940_draw_200716018.jpg,1177081657be302e_draw_200716016.jpg,3a3a7d6da885b596_draw_200716017.jpg	0	25
203	2		tutorial_manual-10000203	tutorial_manual-20000203		56ea18e56a4a4f02_draw_210901004.jpg,55d27146db375efc_draw_200716029.jpg,dcdb55c9f6635c0c_draw_200716027.jpg,17a8d2e1bb850a89_draw_200716028.jpg	0	0
204	2		tutorial_manual-10000204	tutorial_manual-20000204		8aabb07e078f2848_draw_200716026.jpg,cd2ca4fa4f3e6c91_draw_210812006.jpg	0	7
205	2		tutorial_manual-10000205	tutorial_manual-20000205		faf4039d4fd58edb_draw_230328017.jpg,e3e157e127d3fc02_draw_230328016.jpg,56cc66f9ac5ab042_draw_230328015.jpg,95c4246a54fd97df_draw_200720004.jpg,9f9fdcddf8ea9ec7_draw_230328014.jpg	0	0
206	2		tutorial_manual-10000206	tutorial_manual-20000206		22d56aebf7ba95d3_draw_200716023.jpg,9cc48ebf07c1acdd_draw_200716024.jpg,ba8450c6c95a5021_draw_210812003.jpg	0	5
207	2		tutorial_manual-10000207	tutorial_manual-20000207		6185b33e82d28643_draw_210812002.jpg	0	63
208	2		tutorial_manual-10000208	tutorial_manual-20000208		5e3b3b57fd948643_draw_200716011.jpg,9abc9a6ac5143dd9_draw_200716012.jpg,275cb8c3d8508819_draw_200716013.jpg	0	8
209	2		tutorial_manual-10000209	tutorial_manual-20000209		216ac99a9525a21f_draw_210901002.jpg,d2d6faf0360fbe83_draw_200716009.jpg,fe2c416619d2a474_draw_200716007.jpg,0dad7e7f2acb503a_draw_200716008.jpg	0	0
210	2		tutorial_manual-10000210	tutorial_manual-20000210		5e9fe8f1598516ec_draw_210812005.jpg,6e41ead3aa7b7d0d_draw_210812001.jpg	17	0
211	2		tutorial_manual-10000211	tutorial_manual-20000211		6667618dd330f30d_draw_200716034.jpg,cd7c81f09ed03ff9_draw_200716031.jpg,3d9f592689ba77fb_draw_200716035.jpg,1dab29eb4006ec94_draw_200814001.jpg,d4e1826ca4425768_draw_200716033.jpg	0	0
212	2		tutorial_manual-10000212	tutorial_manual-20000212		f16912e89a330260_draw_200716036.jpg,71e618d898e2913c_draw_210901003.jpg,c139e33b214a7bee_draw_200716037.jpg	10	186
300	1	301,302,303,304,305	tutorial_manual-10000300	tutorial_manual-20000300	manural_equip		2	0
301	2		tutorial_manual-10000301	tutorial_manual-20000301		ac8eb87258b68430_draw_210816001.jpg,359ef6495a7d1cc0_draw_210816002.jpg,eec2a2610fad7140_draw_210816003.jpg,d27150f2e104ae69_draw_210816004.jpg,dfe7d1daef3651c5_draw_210812010.jpg	2	0
302	2		tutorial_manual-10000302	tutorial_manual-20000302		a4ff114ab0957bf2_draw_200717108.jpg,c63cd18032a10375_draw_200717109.jpg	2	0
303	2		tutorial_manual-10000303	tutorial_manual-20000303		8a39d7f9e206fd9c_draw_200717103.jpg,5b7633fd0b9abfa5_draw_200717105.jpg,d66fa647abd6043e_draw_200803006.jpg	2	21
304	2		tutorial_manual-10000304	tutorial_manual-20000304		8a8f2c769c19868f_draw_210812009.jpg,19ea5d42d25c0ac6_draw_200717107.jpg	5	250
305	2		tutorial_manual-10000305	tutorial_manual-20000305		f7efb60e6d9f396b_draw_200717111.jpg,54375bc347aabbf8_draw_200717110.jpg	6	54
400	1	401,402,403,404,405,406,407	tutorial_manual-10000400	tutorial_manual-20000400	manural_fairy		1	0
