id,name,type,group_id,vehicle_id,blueprint_id,class_id,code,item_id,obtain,feature,introduction,is_show
10001,vehicle_skin-10010001,1,0,1,,1,TankM1_1001,133007,7,0,vehicle_skin-20010001,1
10002,vehicle_skin-10010002,2,101,,,1,MG_Single_1001,133008,7,0,vehicle_skin-20010002,1
10003,vehicle_skin-10010003,2,102,,,1,RF_AntiTank_1001,133009,7,0,vehicle_skin-20010003,1
10005,vehicle_skin-10010005,2,103,,,1,MG_Multi_Barrel_1001,133011,7,0,vehicle_skin-20010005,1
10006,vehicle_skin-10010006,2,105,,,1,Searchlight_1001,133012,7,0,vehicle_skin-20010006,1
10007,vehicle_skin-10010007,2,106,,,1,Flame_Ejector_1001,133013,7,0,vehicle_skin-20010007,1
10008,vehicle_skin-10010008,2,107,,,1,MG_Cannon_1001,133014,7,0,vehicle_skin-20010008,1
10009,vehicle_skin-10010009,2,108,,,1,GrenadeComponent_1001,133015,7,0,vehicle_skin-20010009,1
10010,vehicle_skin-10010010,2,109,,,1,Laser_Weapon_1001,133016,7,0,vehicle_skin-20010010,1
10011,vehicle_skin-10010011,2,110,,,1,Cannon_1001,133017,7,0,vehicle_skin-20010011,1
10012,vehicle_skin-10010012,2,111,,,1,Flak_Cannon_1001,133018,7,0,vehicle_skin-20010012,1
10013,vehicle_skin-10010013,2,112,,,1,Pulse_Cannon_1001,133019,7,0,vehicle_skin-20010013,1
10014,vehicle_skin-10010014,2,113,,,1,Armor_Cannon_1001,133020,7,0,vehicle_skin-20010014,1
10015,vehicle_skin-10010015,2,114,,,1,Interference_Gun_1001,133021,7,0,vehicle_skin-20010015,1
10016,vehicle_skin-10010016,2,115,,,1,Jammer_1001,133022,7,0,vehicle_skin-20010016,1
10017,vehicle_skin-10010017,2,116,,,1,Signal_Tower_1001,133023,7,0,vehicle_skin-20010017,1
10018,vehicle_skin-10010018,2,117,,,1,Smoke_Emitter_1001,133024,7,0,vehicle_skin-20010018,1
10019,vehicle_skin-10010019,2,118,,,1,Small_Missile_Launcher_1001,133025,7,0,vehicle_skin-20010019,1
10020,vehicle_skin-10010020,2,119,,,1,Medium_Missile_Launcher_1001,133026,7,0,vehicle_skin-20010020,1
10021,vehicle_skin-10010021,2,120,,,1,Electromagnetic_Artillery_1001,133027,7,0,vehicle_skin-20010021,1
10022,vehicle_skin-10010022,2,141,,,1,Protective_Generator_1001,133028,7,0,vehicle_skin-20010022,1
10023,vehicle_skin-10010023,2,122,,,1,Rotating_Turret_1001,133029,7,0,vehicle_skin-20010023,1
10024,vehicle_skin-10010024,2,123,,,1,UAV_Compartment_1001,133030,7,0,vehicle_skin-20010024,1
10025,vehicle_skin-10010025,1,0,1,,2,TankM1_1002,133031,7,0,vehicle_skin-20010025,1
10026,vehicle_skin-10010026,2,101,,,2,MG_Single_1002,133032,7,0,vehicle_skin-20010026,1
10027,vehicle_skin-10010027,2,102,,,2,RF_AntiTank_1002,133033,7,0,vehicle_skin-20010027,1
10029,vehicle_skin-10010029,2,103,,,2,MG_Multi_Barrel_1002,133035,7,0,vehicle_skin-20010029,1
10030,vehicle_skin-10010030,2,105,,,2,Searchlight_1002,133036,7,0,vehicle_skin-20010030,1
10031,vehicle_skin-10010031,2,106,,,2,Flame_Ejector_1002,133037,7,0,vehicle_skin-20010031,1
10032,vehicle_skin-10010032,2,107,,,2,MG_Cannon_1002,133038,7,0,vehicle_skin-20010032,1
10033,vehicle_skin-10010033,2,108,,,2,GrenadeComponent_1002,133039,7,0,vehicle_skin-20010033,1
10034,vehicle_skin-10010034,2,109,,,2,Laser_Weapon_1002,133040,7,0,vehicle_skin-20010034,1
10035,vehicle_skin-10010035,2,110,,,2,Cannon_1002,133041,7,0,vehicle_skin-20010035,1
10036,vehicle_skin-10010036,2,111,,,2,Flak_Cannon_1002,133042,7,0,vehicle_skin-20010036,1
10037,vehicle_skin-10010037,2,112,,,2,Pulse_Cannon_1002,133043,7,0,vehicle_skin-20010037,1
10038,vehicle_skin-10010038,2,113,,,2,Armor_Cannon_1002,133044,7,0,vehicle_skin-20010038,1
10039,vehicle_skin-10010039,2,114,,,2,Interference_Gun_1002,133045,7,0,vehicle_skin-20010039,1
10040,vehicle_skin-10010040,2,115,,,2,Jammer_1002,133046,7,0,vehicle_skin-20010040,1
