identity,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,title,content,type_sort,sort,icon_code,prize_id,mission_id,condition,commander_title,unlock_function
1,different_gun,10,100,30,30,30,30,1,0,0,1-1,,,,achievement-10000001,achievement-20000001,2,22,获得N把不同枪支,0,,,achievement-30000001,0
2,different_gun,20,500,50,50,50,50,1,10,0,1-1,,,,achievement-10000002,achievement-20000002,2,22,获得N把不同枪支,0,,,achievement-30000002,0
3,different_gun,40,1000,100,100,100,100,5,30,0,1-2,,,,achievement-10000003,achievement-20000003,2,22,获得N把不同枪支,0,,,achievement-30000003,0
4,different_gun,60,3000,200,200,200,200,5,50,0,1-2,,,,achievement-10000004,achievement-20000004,2,22,获得N把不同枪支,0,,,achievement-30000004,0
5,different_gun,80,5000,300,300,300,300,10,100,0,1-3,,,,achievement-10000005,achievement-20000005,2,22,获得N把不同枪支,0,,,achievement-30000005,0
6,different_gun,120,10000,500,500,500,500,10,200,0,1-3,,,,achievement-10000006,achievement-20000006,2,22,获得N把不同枪支,0,,,achievement-30000006,0
7,different_type1_gun,5,50,30,30,30,30,0,0,0,,,,,achievement-10000007,achievement-20000007,2,23,获得N把不同手枪,0,,,achievement-30000007,0
8,different_type1_gun,10,200,100,100,100,100,1,10,0,1-1,,,,achievement-10000008,achievement-20000008,2,23,获得N把不同手枪,0,,,achievement-30000008,0
9,different_type1_gun,20,500,300,300,300,300,2,30,0,1-2,,,,achievement-10000009,achievement-20000009,2,23,获得N把不同手枪,0,,,achievement-30000009,0
10,different_type1_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,achievement-10000010,achievement-20000010,2,23,获得N把不同手枪,0,,,achievement-30000010,0
11,different_type2_gun,3,100,30,30,30,30,0,0,0,,,,,achievement-10000011,achievement-20000011,2,24,获得N把不同冲锋枪,0,,,achievement-30000011,0
12,different_type2_gun,10,200,100,100,100,100,1,10,0,1-1,,,,achievement-10000012,achievement-20000012,2,24,获得N把不同冲锋枪,0,,,achievement-30000012,0
13,different_type2_gun,20,500,300,300,300,300,2,30,0,1-2,,,,achievement-10000013,achievement-20000013,2,24,获得N把不同冲锋枪,0,,,achievement-30000013,0
14,different_type2_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,achievement-10000014,achievement-20000014,2,24,获得N把不同冲锋枪,0,,,achievement-30000014,0
15,different_type3_gun,3,100,30,30,30,30,0,0,0,,,,,achievement-10000015,achievement-20000015,2,25,获得N把不同步枪,0,,,achievement-30000015,0
16,different_type3_gun,10,200,100,100,100,100,1,10,0,1-1,,,,achievement-10000016,achievement-20000016,2,25,获得N把不同步枪,0,,,achievement-30000016,0
17,different_type3_gun,20,500,300,300,300,300,2,30,0,1-2,,,,achievement-10000017,achievement-20000017,2,25,获得N把不同步枪,0,,,achievement-30000017,0
18,different_type3_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,achievement-10000018,achievement-20000018,2,25,获得N把不同步枪,0,,,achievement-30000018,0
19,different_type4_gun,3,100,30,30,30,30,0,0,0,,,,,achievement-10000019,achievement-20000019,2,26,获得N把不同突击步枪,0,,,achievement-30000019,0
20,different_type4_gun,10,200,100,100,100,100,1,10,0,1-1,,,,achievement-10000020,achievement-20000020,2,26,获得N把不同突击步枪,0,,,achievement-30000020,0
21,different_type4_gun,20,500,300,300,300,300,2,30,0,1-2,,,,achievement-10000021,achievement-20000021,2,26,获得N把不同突击步枪,0,,,achievement-30000021,0
22,different_type4_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,achievement-10000022,achievement-20000022,2,26,获得N把不同突击步枪,0,,,achievement-30000022,0
23,different_type5_gun,3,100,30,30,30,30,0,0,0,,,,,achievement-10000023,achievement-20000023,2,27,获得N把不同机枪,0,,,achievement-30000023,0
24,different_type5_gun,10,200,100,100,100,100,1,10,0,1-1,,,,achievement-10000024,achievement-20000024,2,27,获得N把不同机枪,0,,,achievement-30000024,0
25,different_type5_gun,20,500,300,300,300,300,2,30,0,1-2,,,,achievement-10000025,achievement-20000025,2,27,获得N把不同机枪,0,,,achievement-30000025,0
26,different_type5_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,achievement-10000026,achievement-20000026,2,27,获得N把不同机枪,0,,,achievement-30000026,0
27,if_rank3_gun,1,100,100,100,100,100,3,10,0,,,,,achievement-10000027,achievement-20000027,2,21,首次获得N星人形,0,,,achievement-30000027,0
28,if_rank4_gun,1,300,200,200,200,200,9,30,0,3-2|4-2,,,,achievement-10000028,achievement-20000028,2,21,首次获得N星人形,0,,,achievement-30000028,0
29,if_rank5_gun,1,500,300,300,300,300,15,50,0,3-3|4-3,,,,achievement-10000029,achievement-20000029,2,21,首次获得N星人形,0,,,achievement-30000029,0
30,mission_medal1,5,30,30,30,30,30,0,0,0,,,,,achievement-10000030,achievement-20000030,5,61,获得N枚铜章,0,,,achievement-30000030,0
31,mission_medal1,10,60,60,60,60,60,0,0,0,,,,,achievement-10000031,achievement-20000031,5,61,获得N枚铜章,0,,,achievement-30000031,0
32,mission_medal1,20,90,90,90,90,90,0,0,0,,,,,achievement-10000032,achievement-20000032,5,61,获得N枚铜章,0,,,achievement-30000032,0
33,mission_medal1,30,120,120,120,120,120,0,0,0,,,,,achievement-10000033,achievement-20000033,5,61,获得N枚铜章,0,,,achievement-30000033,0
34,mission_medal1,40,150,150,150,150,150,0,0,0,,,,,achievement-10000034,achievement-20000034,5,61,获得N枚铜章,0,,,achievement-30000034,0
35,mission_medal1,50,180,180,180,180,180,0,0,0,,,,,achievement-10000035,achievement-20000035,5,61,获得N枚铜章,0,,,achievement-30000035,0
36,mission_medal4,5,60,60,60,60,60,0,0,0,,,,,achievement-10000036,achievement-20000036,5,62,获得N枚银章,0,,,achievement-30000036,0
37,mission_medal4,10,90,90,90,90,90,0,0,0,3-1|4-1,,,,achievement-10000037,achievement-20000037,5,62,获得N枚银章,0,,,achievement-30000037,0
38,mission_medal4,20,120,120,120,120,120,0,0,0,3-2|4-2,,,,achievement-10000038,achievement-20000038,5,62,获得N枚银章,0,,,achievement-30000038,0
39,mission_medal4,30,150,150,150,150,150,0,0,0,3-2|4-2,,,,achievement-10000039,achievement-20000039,5,62,获得N枚银章,0,,,achievement-30000039,0
