mission_id,team_effect,month_team_count,team_count,mp,ammo,mre,part,duration,experience,expect_gun_level,get_gun_num,gun_n_pool,gun_1_pool,limit_guns,get_equip_num,equip_n_pool,equip_1_pool,limit_equips,draw_event_id,get_component_num,component_n_pool,component_1_pool,limit_component
1,8500,1,1,210,210,210,70,3600,200,100,2,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|58|61|44|37|34|89|1|42|69|75|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|58|61|44|37|34|89|1|42|69|75,,0,0,0,,0,0,,,
2,9500,1,2,550,550,550,200,7200,500,102,4,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|58|70|44|37|34|86|26|60|36|85|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|58|70|44|37|34|86|26|60|36|85,,0,0,0,,0,0,,,
3,10500,1,2,900,900,900,300,10800,750,104,6,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|61|70|44|37|34|77|66|39|88|78|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|18|32|61|70|44|37|34|77|66|39|88|78,,0,0,0,,0,0,,,
4,12500,1,2,1200,1200,1200,400,14400,1000,106,10,9|2|5|10|90|91|92|17|25|93|24|31|33|94|21|71|68|74|63|51|47|40|41|87|82|6|8|13|22|58|61|70|44|37|34|89|86|77|80|72|36|78|48|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|21|71|68|74|63|51|47|40|41|87|82|6|8|13|22|58|61|70|44|37|34|89|86|77|80|72|36|78|48,,0,0,0,,0,0,,,
5,200,1,1,5,5,5,1,60,5,3,0,9|2|5|0,9|2|5,,0,0,0,,0,0,,,
6,300,1,1,15,15,15,5,600,45,5,3,9|2|5|10|0,9|2|5|10,,0,0,0,,0,0,,,
7,400,1,1,30,30,30,10,1200,50,8,3,9|2|5|10|92|0,9|2|5|10|92|11,,0,0,0,,0,0,,,
8,450,1,1,40,40,40,15,1800,70,10,3,9|2|5|10|90|92|17|25|0,9|2|5|10|90|92|17|25|11|14,,0,0,0,,0,0,,,
9,550,1,2,60,60,60,20,2400,100,12,5,9|2|5|10|90|91|92|17|25|0,9|2|5|10|90|91|92|17|25|3|14,,0,0,0,,0,0,,,
10,600,1,2,120,120,120,40,3600,140,15,5,9|2|5|10|90|91|92|17|25|93|11|14|3|12|0,9|2|5|10|90|91|92|17|25|93|11|14|3|12|29|27|15,15,0,0,0,,6096,0,,,
