"id","type","unlock_lv","unlock_ids","unlock_label","count","prize_id","title","content","unlock_course","new_type","grade_id","sort","condition","new_unlock_ids"
"1","auto_mission_1","","","","1","701","career_quest-10000001","career_quest-20000001","","1","47","359","",""
"2","operation_5","","","","1","702","career_quest-10000002","career_quest-20000002","","1","47","360","",""
"3","reinforce_team2","","","","1","703","career_quest-10000003","career_quest-20000003","","1","3","15","",""
"4","mission_emergency_1_1_1","","","mission:15","1","704","career_quest-10000004","career_quest-20000004","","1","3","16","",""
"5","mission_emergency_1_2_1","","","","1","705","career_quest-10000005","career_quest-20000005","","1","5","38","",""
"6","mission_emergency_1_3_1","","","","1","706","career_quest-10000006","career_quest-20000006","","1","6","57","",""
"7","mission_emergency_1_4_1","","","","1","707","career_quest-10000007","career_quest-20000007","","1","8","75","",""
"8","mission_emergency_1_5_1","","","","1","708","career_quest-10000008","career_quest-20000008","","1","9","94","",""
"9","mission_emergency_1_6_1","","","","1","709","career_quest-10000009","career_quest-20000009","","1","10","97","",""
"10","mission_emergency_1_7_1","","","","1","710","career_quest-10000010","career_quest-20000010","","1","11","101","",""
"11","mission_emergency_1_8_1","","","","1","711","career_quest-10000011","career_quest-20000011","","1","12","105","",""
"12","mission_emergency_3_1_1","","","","1","712","career_quest-10000012","career_quest-20000012","","1","17","127","",""
"13","mission_emergency_3_2_1","","","","1","713","career_quest-10000013","career_quest-20000013","","1","18","139","",""
"14","mission_emergency_3_3_1","","","","1","714","career_quest-10000014","career_quest-20000014","","1","19","146","",""
"15","mission_emergency_3_4_1","","","","1","715","career_quest-10000015","career_quest-20000015","","1","20","157","",""
"16","mission_emergency_3_5_1","","","","1","716","career_quest-10000016","career_quest-20000016","","1","21","162","",""
"17","mission_duplicate_type1","12","","","1","717","career_quest-10000017","career_quest-20000017","","1","4","32","",""
"18","mission_duplicate_type2","12","","","1","718","career_quest-10000018","career_quest-20000018","","1","4","33","",""
"19","mission_duplicate_type3","12","","","1","719","career_quest-10000019","career_quest-20000019","","1","4","34","",""
"20","trial_mission","","","mission:90008","1","720","career_quest-10000020","career_quest-20000020","","1","19","147","",""
"21","gun5_into_team","3","","","1","721","career_quest-10000021","career_quest-20000021","","1","1","1","",""
"22","gun_equip_type_4","","","","1","722","career_quest-10000022","career_quest-20000022","","1","17","128","",""
"23","gun_equip_type_5","","","","1","723","career_quest-10000023","career_quest-20000023","","1","17","129","",""
"24","gun5_into_team2","","","","1","724","career_quest-10000024","career_quest-20000024","","1","3","17","",""
"25","team_from_1","","","","1","725","career_quest-10000025","career_quest-20000025","","1","2","4","",""
"26","team_from_2","","","","1","726","career_quest-10000026","career_quest-20000026","","1","5","39","",""
"27","team_from_3","","","","1","727","career_quest-10000027","career_quest-20000027","","1","5","40","",""
"28","team_from_4","","","","1","728","career_quest-10000028","career_quest-20000028","","1","8","76","",""
"29","team_from_5","","","","1","729","career_quest-10000029","career_quest-20000029","","1","8","77","",""
"50","develop_gun","3","","","5","730","career_quest-10000050","career_quest-20000050","","1","1","2","",""
"51","combine_gun","","","","1","731","career_quest-10000051","career_quest-20000051","","1","2","5","",""
"52","eat_gun","","","","5","732","career_quest-10000052","career_quest-20000052","","1","2","6","",""
"53","retire_gun","","eat_gun:1","","5","733","career_quest-10000053","career_quest-20000053","","1","5","41","",""
"54","develop_equip","","","mission:20","5","734","career_quest-10000054","career_quest-20000054","","1","17","130","",""
"61","special_develop_gun","","","bestrank1:30","1","741","career_quest-10000061","career_quest-20000061","","1","8","78","",""
"100","gasha_count","3","","","1","742","career_quest-10000100","career_quest-20000100","","1","59","414","",""
"101","open_gift","3","","","5","743","career_quest-10000101","career_quest-20000101","","1","59","415","",""
"102","dorm_change","3","","","1","744","career_quest-10000102","career_quest-20000102","","1","59","416","",""
"103","friend_visit","","","","5","745","career_quest-10000103","career_quest-20000103","","1","53","387","",""
"104","friend_praise","","","","5","746","career_quest-10000104","career_quest-20000104","","1","53","388","",""
"150","friend_apply","","","mission:7","1","758","career_quest-10000150","career_quest-20000150","","1","53","389","",""
"151","friend_card_change","","","mission:7","1","759","career_quest-10000151","career_quest-20000151","","1","53","390","",""
"152","friend_headpic_change","","","mission:7","1","760","career_quest-10000152","career_quest-20000152","","1","53","391","",""
"153","upgrade","12","","","5","761","career_quest-10000153","career_quest-20000153","","1","6","58","",""
"154","eat_equip","","","mission:90004","5","762","career_quest-10000154","career_quest-20000154","","1","18","140","",""
"155","adjust_equip","","","mission:90008","5","763","career_quest-10000155","career_quest-20000155","","1","19","148","",""
"156","adjust_equip_attr_100","","","","1","764","career_quest-10000156","career_quest-20000156","","1","19","149","",""
"158","eat_fairy","","","","5","766","career_quest-10000158","career_quest-20000158","86,87,88","1","26","191","",""
"159","upgrade_fairy","","","","5","767","career_quest-10000159","career_quest-20000159","86,87,88","1","24","150","",""
"160","adjust_fairy","","","","5","768","career_quest-10000160","career_quest-20000160","86,87,88","1","25","181","",""
"162","establish_up_type_301","","","","1","770","career_quest-10000162","career_quest-20000162","","1","23","169","",""
"163","establish_up_type_302","","","","1","771","career_quest-10000163","career_quest-20000163","","1","23","170","",""
"164","establish_up_type_303","","","","1","772","career_quest-10000164","career_quest-20000164","","1","23","171","",""
"165","establish_up_type_304","","","","1","773","career_quest-10000165","career_quest-20000165","","1","23","172","",""
"166","up_mod1","60","","","1","774","career_quest-10000166","career_quest-20000166","97","1","13","107","",""
"167","up_mod2","60","","","1","775","career_quest-10000167","career_quest-20000167","97","1","14","112","",""
"168","up_mod3","60","","","1","776","career_quest-10000168","career_quest-20000168","97","1","15","121","",""
"169","upgrade2","60","","","1","777","career_quest-10000169","career_quest-20000169","","1","14","113","",""
"170","sun_friend_team_into","","","","1","778","career_quest-10000170","career_quest-20000170","100","1","54","395","",""
"171","night_friend_team_into","","","","1","779","career_quest-10000171","career_quest-20000171","100","1","54","396","",""
"172","squad_base_data_analyse","","","","1","780","career_quest-10000172","career_quest-20000172","","1","29","206","",""
"173","squad_senior_data_analyse","","","","1","781","career_quest-10000173","career_quest-20000173","","1","29","207","",""
