id,name,start_time,end_time,mission_id
1,chess_seasonevent-10000001,2021-12-13,2022-02-21 23:59:59,1
2,chess_seasonevent-10000002,2022-02-22,2022-04-19 23:59:59,2
3,chess_seasonevent-10000003,2022-05-10,2022-06-20 23:59:59,1
4,chess_seasonevent-10000004,2022-06-21,2022-08-30 23:59:59,3
5,chess_seasonevent-10000005,2022-09-06,2022-10-18 23:59:59,2
6,chess_seasonevent-10000006,2022-12-13,2023-02-21 23:59:59,1
7,chess_seasonevent-10000007,2023-05-30,2023-08-21 23:59:59,2
8,chess_seasonevent-10000008,2023-11-14,2024-01-22 23:59:59,3
9,chess_seasonevent-10000009,2024-04-02,2024-06-10 23:59:59,1
10,chess_seasonevent-10000010,2024-10-29,2025-01-06 23:59:59,2
11,chess_seasonevent-10000011,2025-02-18,2025-04-28 23:59:59,3
12,chess_seasonevent-10000012,2025-06-03,2025-08-11 23:59:59,1
13,chess_seasonevent-10000013,2025-08-19,2025-10-28 23:59:59,2
