id,name,description,group_id,code,bonus_plastic,skill_id,path,is_class,des_year,source,source_description
10,commander_class-10000010,commander_class-20000010,51,commander_10_icon,,0,CLASS10,1,commander_class-30000010,1,commander_class-40000010
11,commander_class-10000011,commander_class-20000011,52,commander_11_icon,,103,CLASS11,1,commander_class-30000011,2,commander_class-40000011
12,commander_class-10000012,commander_class-20000012,53,commander_1232_icon,130001,104,CLASS12,1,commander_class-30000012,1,commander_class-40000012
13,commander_class-10000013,commander_class-20000013,54,commander_13_icon,130002,105,CLASS13,1,commander_class-30000013,2,commander_class-40000013
14,commander_class-10000014,commander_class-20000014,55,commander_1432_icon,130003,108,CLASS14,1,commander_class-30000014,1,commander_class-40000014
15,commander_class-10000015,commander_class-20000015,56,commander_1510_icon,,0,CLASS15,0,commander_class-30000015,2,commander_class-40000015
16,commander_class-10000016,commander_class-20000016,57,commander_1632_icon,130004,112,CLASS16,1,commander_class-30000016,1,commander_class-40000016
17,commander_class-10000017,commander_class-20000017,58,commander_1720_icon,,0,CLASS17,0,commander_class-30000017,1,commander_class-40000017
18,commander_class-10000018,commander_class-20000018,59,commander_1832_icon,130005,113,CLASS18,1,commander_class-30000018,1,commander_class-40000018
19,commander_class-10000019,commander_class-20000019,61,commander_1932_icon,130006,106,CLASS19,1,commander_class-30000019,1,commander_class-40000019
20,commander_class-10000020,commander_class-20000020,62,commander_2010_icon,,0,CLASS20,0,commander_class-30000020,2,commander_class-40000020
21,commander_class-10000021,commander_class-20000021,63,commander_2132_icon,130007,108,CLASS21,1,commander_class-30000021,1,commander_class-40000021
22,commander_class-10000022,commander_class-20000022,64,commander_2220_icon,,0,CLASS22,0,commander_class-30000022,2,commander_class-40000022
23,commander_class-10000023,commander_class-20000023,65,commander_2340_icon,,0,CLASS23,0,commander_class-30000023,2,commander_class-40000023
24,commander_class-10000024,commander_class-20000024,66,commander_2420_icon,,0,CLASS24,0,commander_class-30000024,2,commander_class-40000024
25,commander_class-10000025,commander_class-20000025,67,commander_2520_icon,,0,CLASS25,0,commander_class-30000025,2,commander_class-40000025
26,commander_class-10000026,commander_class-20000026,68,commander_2632_icon,130008,104,CLASS26,1,commander_class-30000026,1,commander_class-40000026
27,commander_class-10000027,commander_class-20000027,69,commander_2732_icon,130009,101,CLASS27,1,commander_class-30000027,1,commander_class-40000027
28,commander_class-10000028,commander_class-20000028,70,commander_2820_icon,,0,CLASS28,0,commander_class-30000028,2,commander_class-40000028
29,commander_class-10000029,commander_class-20000029,71,commander_2920_icon,,0,CLASS29,0,commander_class-30000029,2,commander_class-40000029
30,commander_class-10000030,commander_class-20000030,72,commander_3020_icon,130010,107,CLASS30,1,commander_class-30000030,1,commander_class-40000030
31,commander_class-10000031,commander_class-20000031,73,commander_3120_icon,,0,CLASS31,0,commander_class-30000031,2,commander_class-40000031
33,commander_class-10000033,commander_class-20000033,75,commander_3310_icon,,0,CLASS33,0,commander_class-30000033,2,commander_class-40000033
34,commander_class-10000034,commander_class-20000034,76,commander_3432_icon,130011,105,CLASS34,1,commander_class-30000034,1,commander_class-40000034
36,commander_class-10000036,commander_class-20000036,78,commander_3640_icon,,0,CLASS36,0,commander_class-30000036,2,commander_class-40000036
37,commander_class-10000037,commander_class-20000037,79,commander_3700_icon,,0,CLASS37,0,commander_class-30000037,2,commander_class-40000037
38,commander_class-10000038,commander_class-20000038,80,commander_3820_icon,,0,CLASS38,0,commander_class-30000038,2,commander_class-40000038
39,commander_class-10000039,commander_class-20000039,81,commander_3932_icon,130012,103,CLASS39,1,commander_class-30000039,1,commander_class-40000039
40,commander_class-10000040,commander_class-20000040,82,commander_4032_icon,130013,101,CLASS40,1,commander_class-30000040,1,commander_class-40000040
41,commander_class-10000041,commander_class-20000041,83,commander_4120_icon,,0,CLASS41,0,commander_class-30000041,2,commander_class-40000041
42,commander_class-10000042,commander_class-20000042,84,commander_4232_icon,130014,113,CLASS42,1,commander_class-30000042,1,commander_class-40000042
43,commander_class-10000043,commander_class-20000043,85,commander_4310_icon,,0,CLASS43,0,commander_class-30000043,2,commander_class-40000043
44,commander_class-10000044,commander_class-20000044,86,commander_4432_icon,130015,115,CLASS44,1,commander_class-30000044,2,commander_class-40000044
45,commander_class-10000045,commander_class-20000045,87,commander_4532_icon,130016,109,CLASS45,1,commander_class-30000045,1,commander_class-40000045
47,commander_class-10000047,commander_class-20000047,89,commander_4732_icon,130017,101,CLASS47,1,commander_class-30000047,1,commander_class-40000047
48,commander_class-10000048,commander_class-20000048,90,commander_4810_icon,,0,CLASS48,0,commander_class-30000048,2,commander_class-40000048
49,commander_class-10000049,commander_class-20000049,91,commander_4932_icon,130018,105,CLASS49,1,commander_class-30000049,1,commander_class-40000049
51,commander_class-10000051,commander_class-20000051,93,commander_5132_icon,130020,107,CLASS51,1,commander_class-30000051,1,commander_class-40000051
