id,map_id,spot_id,spot_type,sub_type,difficulty_group,mission,model_code,model_height
1,1,6,5,0,0,,Block03,4.78
2,1,9,5,0,0,,Block03,4.74
3,1,14,5,0,0,,Block02,4.89
4,1,17,5,0,0,,Block03,4.91
5,1,18,5,0,0,,Block01,4.85
6,1,19,5,0,0,,Block03,4.55
7,1,22,4,0,0,,Dialoguetower_01,5.59
8,1,23,5,0,0,,Block02,4.92
9,1,24,5,0,0,,Block02,4.71
10,1,25,5,0,0,,Block03,4.83
11,1,29,5,0,0,,Block01,4.54
12,1,31,5,0,0,,Block02,4.55
13,1,32,5,0,0,,Block02,4.69
14,1,33,5,0,0,,Block03,4.58
15,1,38,5,0,0,,Block01,4.71
16,1,39,5,0,0,,Block01,4.77
17,1,40,5,0,0,,Block03,4.78
18,1,43,5,0,0,,Block01,4.52
19,1,45,5,0,0,,Block01,4.9
20,1,46,5,0,0,,Block01,4.72
21,1,47,5,0,0,,Block01,4.69
22,1,48,5,0,0,,Block03,4.8
23,1,49,5,0,0,,Block03,4.74
24,1,52,4,0,0,,Dialoguetower_01,6.0
25,1,54,5,0,0,,Block02,4.91
26,1,55,5,0,0,,Block02,4.78
27,1,58,4,0,0,,Dialoguetower_01,5.81
28,1,59,5,0,0,,Block03,4.95
29,1,66,5,0,0,,Block03,4.69
30,1,1,1,1,1,,Fighthouse_02,4.74
31,1,2,1,0,1,,Fighthouse_02,4.11
32,1,10,1,0,1,,Fighthouse_01,5.36
33,1,3,1,0,1,,Fighthouse_01,4.31
34,1,11,1,0,1,,Fighthouse_01,4.69
35,1,4,3,0,1,,HeavyEquipment_01,5.6
36,1,12,1,0,1,,Fighthouse_01,4.54
37,1,5,2,0,1,,SpriteHouse_01,4.63
38,1,13,1,0,2,,Fighthouse_02,4.24
39,1,20,1,0,2,,Fighthouse_02,4.64
40,1,21,3,0,2,,HeavyEquipment_01,5.57
41,1,27,1,0,2,,Fighthouse_02,4.76
42,1,28,1,0,2,,Fighthouse_02,4.31
43,1,26,3,0,2,,HeavyEquipment_01,4.99
44,1,34,2,0,2,,SpriteHouse_01,5.06
45,1,35,1,0,2,,Fighthouse_01,4.74
46,1,36,1,0,3,,Fighthouse_01,4.21
47,1,15,1,0,3,,Fighthouse_01,4.04
48,1,30,1,0,3,,Fighthouse_01,4.23
49,1,37,1,0,3,,Fighthouse_03,4.82
50,1,41,1,0,3,,Fighthouse_03,4.52
51,1,42,1,0,3,,Fighthouse_03,4.86
52,1,44,3,0,3,,HeavyEquipment_01,4.58
53,1,7,1,0,3,,Fighthouse_03,4.7
54,1,16,1,0,4,,Fighthouse_03,5.39
55,1,50,1,0,4,,Fighthouse_01,5.21
56,1,8,1,0,4,,Fighthouse_01,4.24
57,1,51,1,0,4,,Fighthouse_03,5.03
58,1,53,2,0,4,,SpriteHouse_01,6.48
