id,area_id,weight,tag_weight,content,necessary_num,background,script_type
1,1,10,,explore_affair_client-10000001,"1,0",,2
2,1,10,,explore_affair_client-10000002,"1,0",,2
3,1,10,,explore_affair_client-10000003,"1,0",,2
4,3,10,,explore_affair_client-10000004,"1,0",,2
5,3,0,34:20,explore_affair_client-10000005,"1,0",,2
6,3,0,39:20,explore_affair_client-10000006,"1,0",,2
7,3,0,50:20,explore_affair_client-10000007,"1,0",,2
8,"3,2,4,1",10,,explore_affair_client-10000008,"1,0",,2
9,"3,4,1",10,,explore_affair_client-10000009,"1,0",,2
10,"3,4,1",10,,explore_affair_client-10000010,"1,0",,2
11,"3,4,1",0,30:20,explore_affair_client-10000011,"3,0",,2
12,"3,4,1",0,50:20,explore_affair_client-10000012,"1,0",,2
13,"3,4,1",0,50:20,explore_affair_client-10000013,"1,0",,2
14,"3,4,1",0,50:20,explore_affair_client-10000014,"1,0",,2
15,"3,4,1",0,53:20,explore_affair_client-10000015,"1,0",,2
16,"3,2,4",10,,explore_affair_client-10000016,"1,0",,2
17,"3,2,4",0,5:20,explore_affair_client-10000017,"1,0",,2
18,"3,2,4",0,5:20,explore_affair_client-10000018,"1,0",,2
19,"3,2,4",0,5:20,explore_affair_client-10000019,"1,0",,2
20,"3,2,4",0,3:20,explore_affair_client-10000020,"1,0",,2
21,"3,2,4",0,9:20,explore_affair_client-10000021,"1,0",,2
22,"3,2,4",0,7:20,explore_affair_client-10000022,"1,0",,2
23,"3,2,4",0,7:20,explore_affair_client-10000023,"1,0",,2
24,"3,2,4",0,30:20,explore_affair_client-10000024,"3,0",,2
25,"3,2,4",0,24:20,explore_affair_client-10000025,"3,0",,2
26,1,10,,explore_affair_client-10000026,"1,0",,2
27,"3,1",10,,explore_affair_client-10000027,"1,0",,2
28,"3,1",10,,explore_affair_client-10000028,"1,0",,2
29,"3,1",10,,explore_affair_client-10000029,"1,0",,2
30,2,10,,explore_affair_client-10000030,"1,0",,2
31,3,10,,explore_affair_client-10000031,"3,0",,2
32,"3,2,4,1",10,,explore_affair_client-10000032,"1,0",,2
33,3,10,53:-5,explore_affair_client-10000033,"2,0",,2
34,3,10,53:-5,explore_affair_client-10000034,"2,0",,2
35,3,0,"53:-100,50:20",explore_affair_client-10000035,"3,0",,2
36,3,0,5:20,explore_affair_client-10000036,"1,0",,2
37,3,0,53:20,explore_affair_client-10000037,"1,0",,2
38,3,0,29:20,explore_affair_client-10000038,"3,0",,2
39,"3,2,4,1",10,,explore_affair_client-10000039,"3,0",,2
40,3,10,,explore_affair_client-10000040,"1,0",,2
41,"3,2,4,1",10,,explore_affair_client-10000041,"1,0",,2
42,2,10,,explore_affair_client-10000042,"1,0",,2
43,"3,2,4",10,,explore_affair_client-10000043,"1,0",,2
44,"3,2,4",10,,explore_affair_client-10000044,"1,0",,2
45,"3,2,4",10,,explore_affair_client-10000045,"1,0",,2
46,"3,2,4,1",10,,explore_affair_client-10000046,"1,0",,2
47,"3,2,4,1",10,,explore_affair_client-10000047,"1,0",,2
48,"3,2,4,1",10,,explore_affair_client-10000048,"1,0",,2
49,1,10,,explore_affair_client-10000049,"1,0",,2
50,1,10,,explore_affair_client-10000050,"1,0",,2
51,"3,2,4,1",10,,explore_affair_client-10000051,"1,0",,2
52,1,10,,explore_affair_client-10000052,"1,0",,2
53,1,10,,explore_affair_client-10000053,"1,0",,2
54,3,10,,explore_affair_client-10000054,"1,0",,2
55,2,10,,explore_affair_client-10000055,"1,0",,2
