id,type,prize_id,cost,quota,clear_cycle,function_control_id,start_time,end_time,is_new,increase
1,1,12101,4001-15000,0,0,0,,,0,
2,1,12102,4001-15000,0,0,0,,,0,
3,2,12201,4001-25,100,3,0,,,0,
4,2,12202,4002-30,120,3,0,,,0,
5,2,12203,4002-30,180,3,0,,,0,
6,2,12204,4002-30,35,3,15,,,0,
7,2,12206,4004-50,100,3,0,,,0,
8,3,12301,4003-4000,0,0,0,,,0,
9,3,12302,4003-5000,0,0,0,,,0,
10,3,12303,4003-4000,0,0,0,,,0,
11,3,12304,4003-4000,0,0,0,,,0,
12,3,12305,4003-4000,0,0,0,,,0,
13,3,12306,4003-4000,0,0,0,,,0,
14,4,12401,4001-1500|4004-1500,0,0,0,,,0,
15,4,12402,4002-1500|4004-1500,0,0,0,,,0,
16,4,12403,4003-1500|4004-1500,0,0,0,,,0,
17,4,12404,4001-1500|4004-1500,0,0,0,,,0,
18,4,12405,4002-1500|4004-1500,0,0,0,,,0,
19,2,12205,4003-25,120,3,5,,,0,
20,2,12207,4002-1200,0,4,10,,,0,2|2|2025-03-18 00:00:00
21,1,12103,4001-300,0,0,0,,,0,
22,1,12104,4001-300,0,0,0,,,0,
23,1,12105,4001-300,0,0,0,,,0,
24,1,12106,4001-300,0,0,0,,,0,
25,1,12107,4001-300,0,0,0,,,0,
26,1,12108,4001-300,0,0,0,,,0,
27,3,12307,4003-7000,0,0,0,,,0,
28,3,12308,4003-5000,0,0,0,,,0,
29,3,12309,4003-5000,0,0,0,,,0,
30,3,12310,4003-5000,0,0,0,,,0,
31,4,12406,4003-1500|4004-1500,0,0,0,,,0,
32,4,12407,4001-1500|4004-1500,0,0,0,,,0,
33,4,12408,4002-1500|4004-1500,0,0,0,,,0,
34,1,12109,4001-8000,0,0,0,,,0,
40,3,12311,4003-5000,0,0,0,,,0,
41,3,12312,4003-5000,0,0,0,,,0,
42,4,12409,4003-1500|4004-1500,0,0,0,,,0,
43,4,12410,4001-1500|4004-1500,0,0,0,,,0,
44,4,12411,4002-1500|4004-1500,0,0,0,,,0,
45,1,12115,4001-8000,0,0,0,,,0,
