id	name	code	description	gun_group	gun	type	skill1	skill2	normal_attack	passive_skill	dynamic_passive_skill	active_trigger
1	fetter_skill-10000001	PzB39andGrizzly	fetter_skill-20000001	96,180	96	1	190101	0	0			0
2	fetter_skill-10000002	PzB39andGrizzly	fetter_skill-20000002	96,180	180	1	190102	0	0	190103		0
3	fetter_skill-10000003	AkalfaandM82	fetter_skill-20000003	306,297	306	1	0	0	0			0
4	fetter_skill-10000004	AkalfaandM82	fetter_skill-20000004	306,297	297	1	0	0	190201	190202		0
5	fetter_skill-10000005	g36andm1903	fetter_skill-20000005	64,36	64	1	190302	0	0	190301		0
6	fetter_skill-10000006	g36andm1903	fetter_skill-20000006	64,36	36	1	0	0	0	190401		0
7	fetter_skill-10000007	g36andm1903	fetter_skill-20000007	20064,36	20064	1	190303	0	0	190301		5
8	fetter_skill-10000008	g36andm1903	fetter_skill-20000008	20064,36	36	5	0	0	0	190401		6
9	fetter_skill-10000009	MPKandMPL	fetter_skill-20000009	363,364	363	1	0	0	0		119302,119303,119304,119305,119308,119309	
10	fetter_skill-10000010	MPKandMPL	fetter_skill-20000010	363,364	364	1	0	0	0		119203,119204,119205,119206,119207,119208,119209	
11	fetter_skill-10000011	SCAR_CON	fetter_skill-20000011	377,378	377	1	0	0	0	119702,119706,119707		
12	fetter_skill-10000012	SCAR_CON	fetter_skill-20000012	377,378	378	1	0	0	0	119602,119604,119606,119607,119608		
