id,name,desc,if_display,code,skill_group
1,fight_environment_skill-10000001,fight_environment_skill-20000001,1,shield,900101
2,fight_environment_skill-10000002,fight_environment_skill-20000002,1,sniper,900102
3,fight_environment_skill-10000003,fight_environment_skill-20000003,1,armor,900103
4,fight_environment_skill-10000004,fight_environment_skill-20000004,1,target,900104
5,fight_environment_skill-10000005,fight_environment_skill-20000005,1,bombard,900108
6,fight_environment_skill-10000006,fight_environment_skill-20000006,1,air_attack,900109
7,fight_environment_skill-10000007,fight_environment_skill-20000007,1,fighting,900110
8,fight_environment_skill-10000008,fight_environment_skill-20000008,1,crit,900111
701,fight_environment_skill-10000701,fight_environment_skill-20000701,1,fight_skill_buff106,756071
702,fight_environment_skill-10000702,fight_environment_skill-20000702,1,fight_skill_buff101,756072
703,fight_environment_skill-10000703,fight_environment_skill-20000703,1,fight_skill_buff102,756082
704,fight_environment_skill-10000704,fight_environment_skill-20000704,1,fight_skill_buff105,756076
705,fight_environment_skill-10000705,fight_environment_skill-20000705,1,fight_skill_buff104,756077
706,fight_environment_skill-10000706,fight_environment_skill-20000706,1,fight_skill_buff203,756078
707,fight_environment_skill-10000707,fight_environment_skill-20000707,1,fight_skill_buff201,756079
708,fight_environment_skill-10000708,fight_environment_skill-20000708,1,fight_skill_hurt102,756084
709,fight_environment_skill-10000709,fight_environment_skill-20000709,1,fight_skill_buff204,756081
710,fight_environment_skill-10000710,fight_environment_skill-20000710,1,fight_skill_buff204,756086
711,fight_environment_skill-10000711,fight_environment_skill-20000711,1,fight_skill_hurt202,756085
712,fight_environment_skill-10000712,fight_environment_skill-20000712,1,fight_skill_hurt202,990003
713,fight_environment_skill-10000713,fight_environment_skill-20000713,1,fight_skill_buff202,990004
714,fight_environment_skill-10000714,fight_environment_skill-20000714,1,fight_skill_hurt201,990006
715,fight_environment_skill-10000715,fight_environment_skill-20000715,1,fight_skill_buff104,990007
716,fight_environment_skill-10000716,fight_environment_skill-20000716,1,fight_skill_buff204,990009
717,fight_environment_skill-10000717,fight_environment_skill-20000717,1,fight_skill_hurt102,990011
718,fight_environment_skill-10000718,fight_environment_skill-20000718,1,fight_skill_buff103,990013
719,fight_environment_skill-10000719,fight_environment_skill-20000719,1,fight_skill_buff203,990014
720,fight_environment_skill-10000720,fight_environment_skill-20000720,1,fight_skill_hurt103,990017
721,fight_environment_skill-10000721,fight_environment_skill-20000721,1,fight_skill_hurt203,990019
722,fight_environment_skill-10000722,fight_environment_skill-20000722,1,fight_skill_buff105,756087
723,fight_environment_skill-10000723,fight_environment_skill-20000723,1,fight_skill_buff102,756088
724,fight_environment_skill-10000724,fight_environment_skill-20000724,1,fight_skill_buff104,756089
725,fight_environment_skill-10000725,fight_environment_skill-20000725,1,fight_skill_hurt101,756093
726,fight_environment_skill-10000726,fight_environment_skill-20000726,1,fight_skill_hurt202,756091
727,fight_environment_skill-10000727,fight_environment_skill-20000727,1,fight_skill_buff101,756114
728,fight_environment_skill-10000728,fight_environment_skill-20000728,1,fight_skill_buff103,756115
729,fight_environment_skill-10000729,fight_environment_skill-20000729,1,fight_skill_buff104,756089
730,fight_environment_skill-10000730,fight_environment_skill-20000730,1,fight_skill_buff101,756126
731,fight_environment_skill-10000731,fight_environment_skill-20000731,1,fight_skill_buff101,756127
732,fight_environment_skill-10000732,fight_environment_skill-20000732,1,fight_skill_buff101,756128
733,fight_environment_skill-10000733,fight_environment_skill-20000733,1,fight_skill_buff101,756129
734,fight_environment_skill-10000734,fight_environment_skill-20000734,1,fight_skill_buff101,756130
735,fight_environment_skill-10000735,fight_environment_skill-20000735,1,fight_skill_buff101,756131
736,fight_environment_skill-10000736,fight_environment_skill-20000736,1,fight_skill_buff102,756124
737,fight_environment_skill-10000737,fight_environment_skill-20000737,1,fight_skill_buff101,756133
738,fight_environment_skill-10000738,fight_environment_skill-20000738,1,fight_skill_buff101,756134
739,fight_environment_skill-10000739,fight_environment_skill-20000739,1,fight_skill_buff102,756135
740,fight_environment_skill-10000740,fight_environment_skill-20000740,1,fight_skill_buff103,756136
741,fight_environment_skill-10000741,fight_environment_skill-20000741,1,fight_skill_hurt201,756144
742,fight_environment_skill-10000742,fight_environment_skill-20000742,1,fight_skill_buff201,756146
743,fight_environment_skill-10000743,fight_environment_skill-20000743,1,fight_skill_buff202,756147
