"id","name","level","group_id","code","description","arguments","max_level","is_show","type","function_skill"
"101","function_skill_config-10000101","1","0","function_skill_icon_101","function_skill_config-20000101","3","5","1","1","extra_drop_rate_up"
"102","function_skill_config-10000102","1","0","function_skill_icon_102","function_skill_config-20000102","1","5","0","1","battle_speed_up"
"103","function_skill_config-10000103","1","0","function_skill_icon_103","function_skill_config-20000103","3","5","1","1","battle_favor_up"
"104","function_skill_config-10000104","1","0","function_skill_icon_104","function_skill_config-20000104","3","5","1","1","battle_gun_exp_up"
"105","function_skill_config-10000105","1","0","function_skill_icon_105","function_skill_config-20000105","5","3","1","1","battle_commander_exp_up"
"106","function_skill_config-10000106","1","0","function_skill_icon_106","function_skill_config-20000106","3","5","1","1","battle_fairy_exp_up"
"107","function_skill_config-10000107","1","0","function_skill_icon_107","function_skill_config-20000107","3","5","1","1","battle_squad_exp_up"
"108","function_skill_config-10000108","1","0","function_skill_icon_108","function_skill_config-20000108","10","3","1","1","repair_time_reduce"
"109","function_skill_config-10000109","1","0","function_skill_icon_109","function_skill_config-20000109","1","5","1","1","report_time_reduce"
"110","function_skill_config-10000110","1","0","function_skill_icon_110","function_skill_config-20000110","5","3","0","1","exploration_reward_up"
"111","function_skill_config-10000111","1","0","function_skill_icon_111","function_skill_config-20000111","1","5","0","1","exploration_mid_rate_up"
"112","function_skill_config-10000112","1","0","function_skill_icon_112","function_skill_config-20000112","3","5","1","1","skill_time_reduce"
"113","function_skill_config-10000113","1","0","function_skill_icon_113","function_skill_config-20000113","1","5","1","1","equip_upgrade_up"
"114","function_skill_config-10000114","1","0","function_skill_icon_114","function_skill_config-20000114","1","5","0","1","fairy_upgrade_up"
"115","function_skill_config-10000115","1","0","function_skill_icon_115","function_skill_config-20000115","1","5","1","1","battery_recovery_up"
"118","function_skill_config-10000118","1","0","function_skill_icon_118","function_skill_config-20000118","1","10","0","2","auto_combat_resource_reduce"
"119","function_skill_config-10000119","1","0","function_skill_icon_119","function_skill_config-20000119","1","10","0","2","fairy_command_recovery_time_reduce"
"120","function_skill_config-10000120","1","0","function_skill_icon_120","function_skill_config-20000120","1","10","0","2","data_recovery_time_reduce"
"124","function_skill_config-10000124","1","0","function_skill_icon_124","function_skill_config-20000124","1","10","0","2","logistics_reward_up"
"125","function_skill_config-10000125","1","0","function_skill_icon_125","function_skill_config-20000125","1","10","0","2","coalitiondrill_reward_up"
"126","function_skill_config-10000126","1","0","function_skill_icon_112","function_skill_config-20000126","1","10","0","2","skill_time_reduce"
"127","function_skill_config-10000127","1","0","function_skill_icon_115","function_skill_config-20000127","1","10","0","2","battery_recovery_up"
"128","function_skill_config-10000128","1","0","function_skill_icon_105","function_skill_config-20000128","2","10","0","2","battle_commander_exp_up"
"129","function_skill_config-10000129","1","0","function_skill_icon_110","function_skill_config-20000129","1","10","0","2","exploration_reward_up"
"130","function_skill_config-10000130","1","0","function_skill_icon_118","function_skill_config-20000130","2","10","0","2","auto_combat_resource_reduce"
"131","function_skill_config-10000131","1","0","function_skill_icon_119","function_skill_config-20000131","2","10","0","2","fairy_command_recovery_time_reduce"
"132","function_skill_config-10000132","1","0","function_skill_icon_120","function_skill_config-20000132","2","10","0","2","data_recovery_time_reduce"
"133","function_skill_config-10000133","1","0","function_skill_icon_124","function_skill_config-20000133","2","10","0","2","logistics_reward_up"
"134","function_skill_config-10000134","1","0","function_skill_icon_125","function_skill_config-20000134","2","10","0","2","coalitiondrill_reward_up"
"135","function_skill_config-10000135","1","0","function_skill_icon_112","function_skill_config-20000135","2","10","0","2","skill_time_reduce"
"136","function_skill_config-10000136","1","0","function_skill_icon_115","function_skill_config-20000136","2","10","0","2","battery_recovery_up"
"137","function_skill_config-10000137","1","0","function_skill_icon_105","function_skill_config-20000137","3","10","0","2","battle_commander_exp_up"
"138","function_skill_config-10000138","1","0","function_skill_icon_110","function_skill_config-20000138","2","10","0","2","exploration_reward_up"
"139","function_skill_config-10000139","1","0","function_skill_icon_119","function_skill_config-20000139","3","10","0","2","fairy_command_recovery_time_reduce"
"140","function_skill_config-10000140","1","0","function_skill_icon_115","function_skill_config-20000140","3","10","0","2","battery_recovery_up"
