id,parent_id,sort,name,description
1000,0,1,mall_classification-10001000,mall_classification-20001000
1001,1000,1,mall_classification-10001001,mall_classification-20001001
1002,1000,2,mall_classification-10001002,mall_classification-20001002
1003,1000,3,mall_classification-10001003,mall_classification-20001003
1004,1000,4,mall_classification-10001004,mall_classification-20001004
2000,0,2,mall_classification-10002000,mall_classification-20002000
2001,2000,1,mall_classification-10002001,mall_classification-20002001
2002,2000,2,mall_classification-10002002,mall_classification-20002002
3000,0,3,mall_classification-10003000,mall_classification-20003000
3001,3000,1,mall_classification-10003001,mall_classification-20003001
3002,3000,2,mall_classification-10003002,mall_classification-20003002
3003,3000,3,mall_classification-10003003,mall_classification-20003003
4000,0,4,mall_classification-10004000,mall_classification-20004000
5000,0,5,mall_classification-10005000,mall_classification-20005000
5001,5000,1,mall_classification-10005001,mall_classification-20005001
5002,5000,2,mall_classification-10005002,mall_classification-20005002
5003,5000,3,mall_classification-10005003,mall_classification-20005003
5004,5000,4,mall_classification-10005004,mall_classification-20005004
