id,cost_item,cost_num,prize_id,quota,start_time,end_time
1,512,800,4213,1,2021-06-29,2021-07-26 23:59:59
2,512,200,4214,1,2021-06-29,2021-07-26 23:59:59
3,512,80,4215,1,2021-06-29,2021-07-26 23:59:59
4,512,80,4216,1,2021-06-29,2021-07-26 23:59:59
5,512,15,4204,20,2021-06-29,2021-07-26 23:59:59
6,512,25,4205,20,2021-06-29,2021-07-26 23:59:59
7,512,50,4206,50,2021-06-29,2021-07-26 23:59:59
8,512,60,4207,30,2021-06-29,2021-07-26 23:59:59
9,512,75,4208,10,2021-06-29,2021-07-26 23:59:59
10,512,20,4209,1,2021-06-29,2021-07-26 23:59:59
11,512,10,4217,1,2021-06-29,2021-07-26 23:59:59
12,512,5,4218,1,2021-06-29,2021-07-26 23:59:59
13,512,1,4212,200,2021-06-29,2021-07-26 23:59:59
14,513,5000,4214,1,2021-06-29,2021-07-26 23:59:59
15,513,2000,4215,1,2021-06-29,2021-07-26 23:59:59
16,513,2000,4216,1,2021-06-29,2021-07-26 23:59:59
17,513,2000,4219,1,2021-06-29,2021-07-26 23:59:59
18,513,375,4204,20,2021-06-29,2021-07-26 23:59:59
19,513,625,4205,20,2021-06-29,2021-07-26 23:59:59
20,513,1250,4206,50,2021-06-29,2021-07-26 23:59:59
21,513,1500,4207,30,2021-06-29,2021-07-26 23:59:59
22,513,1850,4208,10,2021-06-29,2021-07-26 23:59:59
23,513,500,4209,1,2021-06-29,2021-07-26 23:59:59
24,513,250,4217,1,2021-06-29,2021-07-26 23:59:59
25,513,125,4218,1,2021-06-29,2021-07-26 23:59:59
26,513,25,4212,200,2021-06-29,2021-07-26 23:59:59
27,512,800,4201,1,2021-07-27,2021-08-23 23:59:59
28,512,200,4202,1,2021-07-27,2021-08-23 23:59:59
29,512,80,4219,1,2021-07-27,2021-08-23 23:59:59
30,512,80,4203,1,2021-07-27,2021-08-23 23:59:59
31,512,15,4204,20,2021-07-27,2021-08-23 23:59:59
32,512,25,4205,20,2021-07-27,2021-08-23 23:59:59
33,512,50,4206,50,2021-07-27,2021-08-23 23:59:59
34,512,60,4207,30,2021-07-27,2021-08-23 23:59:59
35,512,75,4208,10,2021-07-27,2021-08-23 23:59:59
36,512,20,4220,1,2021-07-27,2021-08-23 23:59:59
37,512,10,4210,1,2021-07-27,2021-08-23 23:59:59
38,512,5,4221,1,2021-07-27,2021-08-23 23:59:59
39,512,1,4212,200,2021-07-27,2021-08-23 23:59:59
40,513,5000,4202,1,2021-07-27,2021-08-23 23:59:59
41,513,2000,4219,1,2021-07-27,2021-08-23 23:59:59
42,513,2000,4203,1,2021-07-27,2021-08-23 23:59:59
43,513,2000,4216,1,2021-07-27,2021-08-23 23:59:59
44,513,375,4204,20,2021-07-27,2021-08-23 23:59:59
45,513,625,4205,20,2021-07-27,2021-08-23 23:59:59
46,513,1250,4206,50,2021-07-27,2021-08-23 23:59:59
47,513,1500,4207,30,2021-07-27,2021-08-23 23:59:59
48,513,1850,4208,10,2021-07-27,2021-08-23 23:59:59
49,513,500,4220,1,2021-07-27,2021-08-23 23:59:59
50,513,250,4210,1,2021-07-27,2021-08-23 23:59:59
51,513,125,4221,1,2021-07-27,2021-08-23 23:59:59
52,513,25,4212,200,2021-07-27,2021-08-23 23:59:59
53,512,800,4222,1,2021-08-24,2021-09-20 23:59:59
54,512,200,4223,1,2021-08-24,2021-09-20 23:59:59
55,512,80,4216,1,2021-08-24,2021-09-20 23:59:59
56,512,80,4224,1,2021-08-24,2021-09-20 23:59:59
57,512,15,4204,20,2021-08-24,2021-09-20 23:59:59
58,512,25,4205,20,2021-08-24,2021-09-20 23:59:59
59,512,50,4206,50,2021-08-24,2021-09-20 23:59:59
60,512,60,4207,30,2021-08-24,2021-09-20 23:59:59
61,512,75,4208,10,2021-08-24,2021-09-20 23:59:59
62,512,20,4225,1,2021-08-24,2021-09-20 23:59:59
63,512,10,4226,1,2021-08-24,2021-09-20 23:59:59
64,512,5,4211,1,2021-08-24,2021-09-20 23:59:59
65,512,1,4212,200,2021-08-24,2021-09-20 23:59:59
66,513,5000,4223,1,2021-08-24,2021-09-20 23:59:59
67,513,2000,4216,1,2021-08-24,2021-09-20 23:59:59
68,513,2000,4224,1,2021-08-24,2021-09-20 23:59:59
69,513,2000,4203,1,2021-08-24,2021-09-20 23:59:59
70,513,375,4204,20,2021-08-24,2021-09-20 23:59:59
71,513,625,4205,20,2021-08-24,2021-09-20 23:59:59
72,513,1250,4206,50,2021-08-24,2021-09-20 23:59:59
73,513,1500,4207,30,2021-08-24,2021-09-20 23:59:59
74,513,1850,4208,10,2021-08-24,2021-09-20 23:59:59
75,513,500,4225,1,2021-08-24,2021-09-20 23:59:59
76,513,250,4226,1,2021-08-24,2021-09-20 23:59:59
77,513,125,4211,1,2021-08-24,2021-09-20 23:59:59
78,513,25,4212,200,2021-08-24,2021-09-20 23:59:59
79,512,800,4227,1,2021-09-21,2021-10-18 23:59:59
80,512,200,4228,1,2021-09-21,2021-10-18 23:59:59
81,512,80,4203,1,2021-09-21,2021-10-18 23:59:59
82,512,80,4229,1,2021-09-21,2021-10-18 23:59:59
83,512,15,4204,20,2021-09-21,2021-10-18 23:59:59
84,512,25,4205,20,2021-09-21,2021-10-18 23:59:59
85,512,50,4206,50,2021-09-21,2021-10-18 23:59:59
86,512,60,4207,30,2021-09-21,2021-10-18 23:59:59
87,512,75,4208,10,2021-09-21,2021-10-18 23:59:59
