id,type,child_ids,title,sub_title,code,content,function_control_id,goto_page
100,1,101|102|103|104|105|106|107|108|109,tutorial_manual-10000100,tutorial_manual-20000100,manual_base,,0,0
101,2,,tutorial_manual-10000101,tutorial_manual-20000101,,698f35489b48554f_draw_251211185947.jpg|adfce49befbd80c3_draw_251211185948.jpg,0,0
102,2,,tutorial_manual-10000102,tutorial_manual-20000102,,98d7d783c18dc2a5_draw_251211190038.jpg|736bb5bc56f2a84d_draw_251211190038.jpg|2a54df7688eb33bf_draw_251211190038.jpg|37ab1215d9041b99_draw_251211190039.jpg|866c34dc1eddcf11_draw_251211190039.jpg,0,0
103,2,,tutorial_manual-10000103,tutorial_manual-20000103,,851a493724deb659_draw_251211190128.jpg,0,252
104,2,,tutorial_manual-10000104,tutorial_manual-20000104,,ef7199dcaddf7d78_draw_251211190146.jpg|1871a146ecef557b_draw_251211190146.jpg,0,2
105,2,,tutorial_manual-10000105,tutorial_manual-20000105,,4d1e8ea1a984c0bf_draw_251211190212.jpg,0,257
106,2,,tutorial_manual-10000106,tutorial_manual-20000106,,ec530fa51ab85f2b_draw_251211190233.jpg,0,253
107,2,,tutorial_manual-10000107,tutorial_manual-20000107,,26d96ba764d16c56_draw_251211190251.jpg|48b436070d1cc640_draw_251211190252.jpg|fdada1ea59bb2717_draw_251211190253.jpg,0,254
108,2,,tutorial_manual-10000108,tutorial_manual-20000108,,0f1fee8d62aaf894_draw_251211190324.jpg,0,255
109,2,,tutorial_manual-10000109,tutorial_manual-20000109,,394b0190df444d74_draw_251211190340.jpg|f6c6d886b9dc3871_draw_251211190340.jpg|676986b8f15fb544_draw_251211190341.jpg|55f50562293952b4_draw_251211190341.jpg,0,256
200,1,201|202|203|204|205|206|207|208|209|210|211|212,tutorial_manual-10000200,tutorial_manual-20000200,manual_develop,,0,0
201,2,,tutorial_manual-10000201,tutorial_manual-20000201,,6d9989e1457814f9_draw_211213121340.jpg|4601845d0fa986af_draw_211215123346.jpg|cd5fa335caf445f5_draw_211213121435.jpg,0,0
202,2,,tutorial_manual-10000202,tutorial_manual-20000202,,88770154ceaad736_draw_211213121009.jpg|2a3d35b56f13eddd_draw_211213121107.jpg|23fd4a51e410e68d_draw_211213121140.jpg|bcf434c1f26b0e1c_draw_211213121218.jpg|cf9ef747e1a20b71_draw_211213121249.jpg,0,25
203,2,,tutorial_manual-10000203,tutorial_manual-20000203,,d33d38f880c3ea1f_draw_221017174354.jpg|b416f61110a8abe4_draw_221017174354.jpg|472ace315e206de6_draw_221017174354.jpg|9a85f533742f463d_draw_221017174354.jpg,0,0
204,2,,tutorial_manual-10000204,tutorial_manual-20000204,,fc2240e2d04a61c2_draw_221017174354.jpg|71b1a5b972c5d8b8_draw_221017174354.jpg,0,7
205,2,,tutorial_manual-10000205,tutorial_manual-20000205,,c7623a53a5534dc8_draw_251216185750.jpg|16a988284f0db727_draw_251216185751.jpg|ae07b23cee93e0e0_draw_251216185751.jpg|f58e8172cc357640_draw_251216185751.jpg|cb87f56cc9df7010_draw_251216185752.jpg,0,0
206,2,,tutorial_manual-10000206,tutorial_manual-20000206,,13336f576ba5ca75_draw_211213121531.jpg|8fe2321799c5df72_draw_211213121602.jpg|4591acc2759a7b8f_draw_211213121632.jpg,0,5
207,2,,tutorial_manual-10000207,tutorial_manual-20000207,,ab0801598dc72003_draw_251216185851.jpg,0,63
208,2,,tutorial_manual-10000208,tutorial_manual-20000208,,10503e4b60d4ca7a_draw_211213122443.jpg|0da3d6ae304494d3_draw_211213122527.jpg,0,8
209,2,,tutorial_manual-10000209,tutorial_manual-20000209,,b91a266259faee76_draw_251216185926.jpg|329eb378f2af6b96_draw_251216185926.jpg|26764c60ea3979b1_draw_251216185927.jpg|4b8bc540446bda9e_draw_251216185927.jpg,0,0
210,2,,tutorial_manual-10000210,tutorial_manual-20000210,,9527faad024538fd_draw_251216190025.jpg|d4b14c1c681e6f90_draw_251216190025.jpg,17,0
211,2,,tutorial_manual-10000211,tutorial_manual-20000211,,f8b261d5497ea146_draw_251216190110.jpg|a9d1bfbc23504bb3_draw_251216190110.jpg|c33bb1d11c44c13a_draw_251216190111.jpg|61f8859966cfeedb_draw_251216190111.jpg,0,0
212,2,,tutorial_manual-10000212,tutorial_manual-20000212,,b2a4b1031866baa7_draw_221018124423.jpg|522dfadc8ccd1cee_draw_221018124423.jpg|47c332456910ba33_draw_221018124424.jpg,10,186
300,1,301|302|303|304|305,tutorial_manual-10000300,tutorial_manual-20000300,manural_equip,,2,0
301,2,,tutorial_manual-10000301,tutorial_manual-20000301,,b221bb52b6d0d359_draw_260320175551.jpg|ac3054b3a1ac4559_draw_260320175551.jpg|7cc6a0b9e3e44751_draw_260320175551.jpg,2,0
302,2,,tutorial_manual-10000302,tutorial_manual-20000302,,2ba84799686f4029_draw_260320175550.jpg|c648ac6db4eca24f_draw_260320175551.jpg,2,0
303,2,,tutorial_manual-10000303,tutorial_manual-20000303,,62254f86cd283d5f_draw_260320175552.jpg|321b30627b3dea1d_draw_260320175552.jpg|9c88459fbfc58de0_draw_260402192717.jpg,2,21
304,2,,tutorial_manual-10000304,tutorial_manual-20000304,,5951c9c20650cbab_draw_260320175551.jpg|e03d658964809084_draw_260320175552.jpg,5,250
305,2,,tutorial_manual-10000305,tutorial_manual-20000305,,1aafd04a2531e7db_draw_260320175552.jpg|0faa5bc4318e88c1_draw_260320175552.jpg,6,54
400,1,401|402|403|404|405|406|407,tutorial_manual-10000400,tutorial_manual-20000400,manural_fairy,,1,0
401,2,,tutorial_manual-10000401,tutorial_manual-20000401,,dc85c60036e45f80_draw_220628121025.jpg,1,0
402,2,,tutorial_manual-10000402,tutorial_manual-20000402,,119ae27100a2d4c9_draw_221018121824.jpg,1,21
403,2,,tutorial_manual-10000403,tutorial_manual-20000403,,6987e1ecbc6b96e1_draw_220628121159.jpg|06f09528eeeae5c2_draw_220628121159.jpg|e2cd41e011f6b32f_draw_220628121159.jpg,1,0
404,2,,tutorial_manual-10000404,tutorial_manual-20000404,,b54e9975a0808e3b_draw_220628121258.jpg|e2f1c9053bf7244f_draw_220628121258.jpg,1,0
405,2,,tutorial_manual-10000405,tutorial_manual-20000405,,a588c02a126aaf22_draw_220628131831.jpg|bcd978bb7b43bb75_draw_220628131831.jpg,1,172
406,2,,tutorial_manual-10000406,tutorial_manual-20000406,,38a4bb3a98693969_draw_220628131915.jpg|6ad07de3bd118440_draw_220628131915.jpg|1ec750d799f2b41a_draw_220628131915.jpg,1,144
407,2,,tutorial_manual-10000407,tutorial_manual-20000407,,ff3c71a3f409df9d_draw_220628131950.jpg|7e2fa420fb0161fc_draw_220628131950.jpg,1,206
500,1,501|502|503|504|505|506|507|508,tutorial_manual-10000500,tutorial_manual-20000500,manural_squad,,15,0
501,2,,tutorial_manual-10000501,tutorial_manual-20000501,,93226d0dfcaaf9fe_draw_260409181133.jpg|18dd0d98f80a57e0_draw_260409181134.jpg,15,0
502,2,,tutorial_manual-10000502,tutorial_manual-20000502,,7b17db60919a3374_draw_240422121849.jpg|d9cb19706989fe42_draw_240422121850.jpg|0320363a0954ef61_draw_240422121853.jpg,15,340
503,2,,tutorial_manual-10000503,tutorial_manual-20000503,,9cf8902d456873c8_draw_260409181134.jpg|360238cc73a1d8da_draw_260409181134.jpg|153e328fe4600f88_draw_260409181134.jpg|227731a83e66a75a_draw_260409181135.jpg,15,0
504,2,,tutorial_manual-10000504,tutorial_manual-20000504,,246221a010b0efa1_draw_240422121850.jpg,15,389
505,2,,tutorial_manual-10000505,tutorial_manual-20000505,,7cea9aa58cb1fffa_draw_240422121851.jpg|3788045283a48524_draw_240422121852.jpg|00d01f87d35bf7bf_draw_240422121852.jpg,15,0
506,2,,tutorial_manual-10000506,tutorial_manual-20000506,,3ea61f4b389cbcbf_draw_240422121851.jpg,15,389
507,2,,tutorial_manual-10000507,tutorial_manual-20000507,,6525fc86712fdcae_draw_240422121853.jpg,15,0
508,2,,tutorial_manual-10000508,tutorial_manual-20000508,,9ed84d390adea4eb_draw_240422121848.jpg|7e664a563cfc3b4a_draw_240422121849.jpg,15,340
600,1,601|602|603|604|605|606|607|608|609,tutorial_manual-10000600,tutorial_manual-20000600,manual_combat,,0,0
601,2,,tutorial_manual-10000601,tutorial_manual-20000601,,01aecc769a20618f_draw_260401173358.jpg|2a88054fa529edb3_draw_260401173358.jpg,0,4
602,2,,tutorial_manual-10000602,tutorial_manual-20000602,,8425ea0fbfdf0191_draw_260401173355.jpg|0ec551d2e244af96_draw_260401173356.jpg|761790976e3d0ea5_draw_260401173357.jpg|e2ccd202014ab7f6_draw_260401173357.jpg,0,0
603,2,,tutorial_manual-10000603,tutorial_manual-20000603,,0fdb5e896415da5a_draw_260401173357.jpg,0,0
