"id","type","sub_type","title","sub_title","function_control_id"
"1","1","0","career_quest_group-10000001","career_quest_group-20000001","0"
"2","1","1","career_quest_group-10000002","career_quest_group-20000002","0"
"3","1","2","career_quest_group-10000003","career_quest_group-20000003","2"
"4","1","3","career_quest_group-10000004","career_quest_group-20000004","1"
"5","1","4","career_quest_group-10000005","career_quest_group-20000005","15"
"6","1","5","career_quest_group-10000006","career_quest_group-20000006","21"
"7","2","0","career_quest_group-10000007","career_quest_group-20000007","0"
"8","2","1","career_quest_group-10000008","career_quest_group-20000008","0"
"9","2","2","career_quest_group-10000009","career_quest_group-20000009","0"
"10","2","3","career_quest_group-10000010","career_quest_group-20000010","0"
"11","2","4","career_quest_group-10000011","career_quest_group-20000011","0"
