id,name,type,desc,condition_coef,score_coef
1,fight_success_condition-10000001,1,fight_success_condition-20000001,1,100
2,fight_success_condition-10000002,2,fight_success_condition-20000002,4,100
3,fight_success_condition-10000003,3,fight_success_condition-20000003,5,100
4,fight_success_condition-10000004,4,fight_success_condition-20000004,30|10041|1,100
5,fight_success_condition-10000005,4,fight_success_condition-20000005,30|10007|3;10005|3,100
6,fight_success_condition-10000006,5,fight_success_condition-20000006,60,100
7,fight_success_condition-10000007,6,fight_success_condition-20000007,2|50,100
8,fight_success_condition-10000008,7,fight_success_condition-20000008,2|10,100
9,fight_success_condition-10000009,8,fight_success_condition-20000009,5,100
10,fight_success_condition-10000010,9,fight_success_condition-20000010,16|26|104,100
11,fight_success_condition-10000011,10,fight_success_condition-20000011,16|26|104,100
12,fight_success_condition-10000012,11,fight_success_condition-20000012,1|2,100
13,fight_success_condition-10000013,12,fight_success_condition-20000013,1|2|4,100
14,fight_success_condition-10000014,12,fight_success_condition-20000014,0|2|4,100
701,fight_success_condition-10000701,5,fight_success_condition-20000701,30,100
702,fight_success_condition-10000702,12,fight_success_condition-20000702,0|1,100
703,fight_success_condition-10000703,6,fight_success_condition-20000703,1|50,100
704,fight_success_condition-10000704,12,fight_success_condition-20000704,0|3,100
705,fight_success_condition-10000705,4,fight_success_condition-20000705,50|800003|1,100
706,fight_success_condition-10000706,11,fight_success_condition-20000706,4|3,100
707,fight_success_condition-10000707,12,fight_success_condition-20000707,0|6,100
708,fight_success_condition-10000708,8,fight_success_condition-20000708,10,100
709,fight_success_condition-10000709,11,fight_success_condition-20000709,2|2,100
710,fight_success_condition-10000710,12,fight_success_condition-20000710,1|4,100
711,fight_success_condition-10000711,6,fight_success_condition-20000711,1|40,100
712,fight_success_condition-10000712,11,fight_success_condition-20000712,1|1,100
713,fight_success_condition-10000713,5,fight_success_condition-20000713,30,100
714,fight_success_condition-10000714,11,fight_success_condition-20000714,3|1,100
715,fight_success_condition-10000715,4,fight_success_condition-20000715,50|800001|1,100
716,fight_success_condition-10000716,2,fight_success_condition-20000716,4,100
717,fight_success_condition-10000717,11,fight_success_condition-20000717,3|3,100
718,fight_success_condition-10000718,11,fight_success_condition-20000718,5|1,100
719,fight_success_condition-10000719,6,fight_success_condition-20000719,1|40,100
720,fight_success_condition-10000720,8,fight_success_condition-20000720,5,100
721,fight_success_condition-10000721,9,fight_success_condition-20000721,88|125|109,100
722,fight_success_condition-10000722,6,fight_success_condition-20000722,1|50,100
723,fight_success_condition-10000723,12,fight_success_condition-20000723,0|1,100
724,fight_success_condition-10000724,11,fight_success_condition-20000724,1|3,100
725,fight_success_condition-10000725,4,fight_success_condition-20000725,60|800001|1,100
726,fight_success_condition-10000726,11,fight_success_condition-20000726,6|2,100
727,fight_success_condition-10000727,12,fight_success_condition-20000727,0|2,100
728,fight_success_condition-10000728,11,fight_success_condition-20000728,4|2,100
729,fight_success_condition-10000729,12,fight_success_condition-20000729,0|5,100
801,fight_success_condition-10000801,4,fight_success_condition-20000801,40|10094|1,100
802,fight_success_condition-10000802,4,fight_success_condition-20000802,40|10090|2,100
901,fight_success_condition-10000901,11,fight_success_condition-20000901,3|2,100
902,fight_success_condition-10000902,9,fight_success_condition-20000902,55|56|57,100
903,fight_success_condition-10000903,11,fight_success_condition-20000903,5|2,100
904,fight_success_condition-10000904,11,fight_success_condition-20000904,5|3,100
