id,item_id,sub_type,mp,ammo,mre,part,gem,item_ids,onsale,in_gasha,code,order,rarity,decompose_gift,skin,is_live2d,filter_type,frame_id,logo_code,event_id
1,1001,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_AAT-52.png,1,2,100001:1,0,0,5,0,,0
2,1002,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_G43.png,1,2,100001:1,0,0,5,0,,0
3,1003,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_IDW.png,1,2,100001:1,0,0,5,0,,0
4,1004,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_L85A1.png,1,2,100001:1,0,0,5,0,,0
5,1005,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_M1911.png,1,2,100001:1,0,0,5,0,,0
6,1006,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_PPSH-41.png,1,2,100001:1,0,0,5,0,,0
7,1007,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_MAB38.png,1,2,100001:1,0,0,5,0,,0
8,1008,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_AK-47.png,2,3,100001:1,0,0,5,200012,,0
9,1009,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_Glock17.png,2,3,100001:1,0,0,5,200012,,0
10,1010,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_PM.png,2,3,100001:1,0,0,5,200012,,0
11,1011,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_Vz61.png,2,3,100001:1,0,0,5,200012,,0
13,1013,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_AR15.png,3,4,100002:1,0,0,5,200001,,0
14,1014,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_M1918.png,3,4,100002:1,0,0,5,200001,,0
15,1015,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_mp5.png,3,4,100002:1,0,0,5,200001,,0
16,1016,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_PTRD.png,3,4,100002:1,0,0,5,200001,,0
17,1017,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_ump9.png,3,4,100002:1,0,0,5,200001,,0
18,1018,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_G11.png,4,5,100003:1,0,0,5,200002,,0
19,1019,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_OTs14.png,4,5,100003:1,0,0,5,200002,,0
20,1020,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_KP31.png,4,5,100003:1,0,0,5,200002,,0
21,1021,2,0,0,0,0,80,508-2000,1,0,card_rank1_iop.prefab,1,1,,0,0,2,0,,2662
22,1022,2,0,0,0,0,160,508-4000,1,0,card_rankJ_aegis.prefab,2,2,,0,0,3,0,,2663
23,1023,2,0,0,0,0,320,508-8000,1,0,card_rankK_jupiter.prefab,2,3,,0,0,3,0,,2664
24,1024,2,0,0,0,0,320,508-8000,1,0,card_rankK_sop2.prefab,3,3,,0,0,2,0,,2708
25,1025,2,0,0,0,0,400,508-10000,1,0,card_rankA_kp31.prefab,4,4,,0,0,2,0,,2709
26,1026,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_M4.png,100,10,,0,0,1,200005,,2666
27,1027,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_ar15.png,100,10,,0,0,1,200005,,2667
28,1028,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_m16.png,100,10,,0,0,1,200005,,2665
29,1029,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_sop2.png,100,10,,0,0,1,200005,,2668
30,1030,2,0,0,0,0,400,508-10000,1,0,card_rankA_anniv1.prefab,26,4,,0,0,1,0,,2836
31,1031,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_BrenMK.png,3,3,100001:1,0,0,5,200012,,0
32,1032,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_FMG9.png,3,3,100001:1,0,0,5,200012,,0
33,1033,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_KS23.png,3,3,100001:1,0,0,5,200012,,0
34,1034,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M9.png,3,3,100001:1,0,0,5,200012,,0
35,1035,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M1919A4.png,3,3,100001:1,0,0,5,200012,,0
36,1036,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_MAC10.png,3,3,100001:1,0,0,5,200012,,0
37,1037,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_MicroUZI.png,3,3,100001:1,0,0,5,200012,,0
38,1038,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_OTs12.png,3,3,100001:1,0,0,5,200012,,0
39,1039,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_PPS43.png,3,3,100001:1,0,0,5,200012,,0
40,1040,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_RMB93.png,3,3,100001:1,0,0,5,200012,,0
41,1041,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_StenMK2.png,3,3,100001:1,0,0,5,200012,,0
42,1042,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_SV98.png,3,3,100001:1,0,0,5,200012,,0
43,1043,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_G36.png,4,4,100002:1,0,0,5,200001,,0
44,1044,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_M1873.png,4,4,100002:1,0,0,5,200001,,0
45,1045,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_SPAS12.png,4,4,100002:1,0,0,5,200001,,0
46,1046,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_SVD.png,4,4,100002:1,0,0,5,200001,,0
47,1047,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_UMP45.png,4,4,100002:1,0,0,5,200001,,0
48,1048,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_KSG.png,5,5,100003:1,0,0,5,200002,,0
49,1049,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_M99.png,5,5,100003:1,0,0,5,200002,,0
