id,name,type,rank,favor,fit_gun,skin,poster,code,normal_description,bonus_description,description,is_hidden,exp,profile_pic,item_access,detail_introduction,sort,type_sort
1,gift_item-10000001,2,6,50000,8,1,30001,gift_bundle_halloween_PM,gift_item-20000001,gift_item-30000001,gift_item-50000001,0,0,0,,gift_item-40000001,2000,6
2,gift_item-10000002,2,6,50000,20,2,30002,gift_bundle_halloween_VECTOR,gift_item-20000002,gift_item-30000002,gift_item-50000002,0,0,0,,gift_item-40000002,2000,6
3,gift_item-10000003,2,6,50000,26,3,30003,gift_bundle_halloween_MP5,gift_item-20000003,gift_item-30000003,gift_item-50000003,0,0,0,,gift_item-40000003,2000,6
4,gift_item-10000004,2,6,50000,33,4,30004,gift_bundle_halloween_M45,gift_item-20000004,gift_item-30000004,gift_item-50000004,0,0,0,,gift_item-40000004,2000,6
5,gift_item-10000005,2,6,50000,36,5,30005,gift_bundle_halloween_M1903,gift_item-20000005,gift_item-30000005,gift_item-50000005,0,0,0,,gift_item-40000005,2000,6
6,gift_item-10000006,2,6,50000,48,6,30006,gift_bundle_halloween_WA2000,gift_item-20000006,gift_item-30000006,gift_item-50000006,0,0,0,,gift_item-40000006,2000,6
7,gift_item-10000007,2,6,50000,80,7,30007,gift_bundle_halloween_M1919A4,gift_item-20000007,gift_item-30000007,gift_item-50000007,0,0,0,,gift_item-40000007,2000,6
8,gift_item-10000008,2,6,50000,99,8,30008,gift_bundle_halloween_MK23,gift_item-20000008,gift_item-30000008,gift_item-50000008,0,0,0,,gift_item-40000008,2000,6
9,gift_item-10000009,2,6,50000,122,9,30009,gift_bundle_halloween_G11,gift_item-20000009,gift_item-30000009,gift_item-50000009,0,0,0,,gift_item-40000009,2000,6
10,gift_item-10000010,2,6,50000,50,10,30010,gift_bundle_nichijou_MLEMK1,gift_item-20000010,gift_item-30000010,gift_item-50000010,0,0,0,,gift_item-40000010,2000,6
11,gift_item-10000011,2,6,50000,94,11,30011,gift_bundle_halloween_64type,gift_item-20000011,gift_item-30000011,gift_item-50000011,0,0,0,,gift_item-40000011,2000,6
101,gift_item-10000101,2,6,50000,32,101,30101,gift_bundle_nichijou_Microuzi,gift_item-20000101,gift_item-30000101,gift_item-50000101,0,0,0,,gift_item-40000101,2000,6
102,gift_item-10000102,2,6,50000,75,102,30102,gift_bundle_nichijou_M1918,gift_item-20000102,gift_item-30000102,gift_item-50000102,0,0,0,,gift_item-40000102,2000,6
103,gift_item-10000103,2,6,50000,91,103,30103,gift_bundle_nichijou_MP466,gift_item-20000103,gift_item-30000103,gift_item-50000103,0,0,0,,gift_item-40000103,2000,6
