id,name,carnival_goto_page_id,function_control_id
1,item_access-10000001,-1,0
2,item_access-10000002,0,0
3,item_access-10000003,0,0
4,item_access-10000004,41,0
5,item_access-10000005,254,0
6,item_access-10000006,217,17
7,item_access-10000007,63,0
8,item_access-10000008,202,15
9,item_access-10000009,202,15
10,item_access-10000010,203,15
11,item_access-10000011,251,0
12,item_access-10000012,3,0
13,item_access-10000013,3,6
14,item_access-10000014,3,12
15,item_access-10000015,207,11
16,item_access-10000016,205,0
17,item_access-10000017,66,0
18,item_access-10000018,0,0
19,item_access-10000019,230,21
20,item_access-10000020,3,21
21,item_access-10000021,12,0
22,item_access-10000022,224,21
23,item_access-10000023,0,0
