id,type,sort,item_ids,gem,mp,ammo,mre,part,bp_pay,skin,gift,gemprice,original_price,pointprice,if_cheap,quota,giftbag_name,event_code,icon,daily_quota,tips,discount,sale_starttime,sale_endtime,label,prize_id,pay_type,itemprice,on_sale_days,price_up,classification_id,description,increasing_price
1,2,0,0,0,1500,0,0,0,0,0,,180,0,0,0,0,mall-10000001,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
2,2,1,0,0,4500,0,0,0,0,0,,480,0,0,0,0,mall-10000002,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
3,2,2,0,0,0,0,1500,0,0,0,,180,0,0,0,0,mall-10000003,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
4,2,3,0,0,0,0,4500,0,0,0,,480,0,0,0,0,mall-10000004,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
5,2,4,0,0,0,1500,0,0,0,0,,180,0,0,0,0,mall-10000005,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
6,2,5,0,0,0,4500,0,0,0,0,,480,0,0,0,0,mall-10000006,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
7,2,6,0,0,0,0,0,500,0,0,,180,0,0,0,0,mall-10000007,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
8,2,7,0,0,0,0,0,1500,0,0,,480,0,0,0,0,mall-10000008,0,,0,,1,0,0,0,0,0,0,0,0,5001,,
9,1,1,1-1,0,0,0,0,0,0,0,,30,0,0,0,1,mall-10000009,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
10,1,3,1-1,0,0,0,0,0,0,0,,60,0,0,0,0,mall-10000010,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
11,1,4,1-10,0,0,0,0,0,0,0,,480,0,0,1,0,mall-10000011,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
12,1,5,3-1,0,0,0,0,0,0,0,,50,0,0,0,0,mall-10000012,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
13,1,6,3-10,0,0,0,0,0,0,0,,380,0,0,1,0,mall-10000013,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
14,1,7,4-1,0,0,0,0,0,0,0,,50,0,0,0,0,mall-10000014,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
15,1,8,4-10,0,0,0,0,0,0,0,,380,0,0,1,0,mall-10000015,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
16,1,9,8-1,0,0,0,0,0,0,0,,250,0,0,0,0,mall-10000016,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
17,1,10,8-5,0,0,0,0,0,0,0,,980,0,0,1,0,mall-10000017,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
18,1,2,2-1,0,0,0,0,0,0,0,,15,0,0,0,1,mall-10000018,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
19,1,11,2-1,0,0,0,0,0,0,0,,30,0,0,0,0,mall-10000019,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
20,1,12,2-10,0,0,0,0,0,0,0,,240,0,0,1,0,mall-10000020,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
22,1,0,7-1,0,0,0,0,0,0,0,,580,0,0,0,0,mall-10000022,0,,0,,1,0,0,0,0,0,0,0,0,5004,,
23,1,0,,0,0,0,0,0,3,0,,20,0,0,0,2001,mall-10000023,dailyGiftbag,,10,,1,0,0,1,0,0,0,0,10000,5004,,
24,1,1,41-10,0,0,0,0,0,0,0,,80,0,0,0,0,mall-10000024,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
25,1,1,41-100,0,0,0,0,0,0,0,,600,0,0,0,0,mall-10000025,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
26,1,13,16-1,0,0,0,0,0,0,0,,50,0,0,0,0,mall-10000026,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
27,1,14,16-10,0,0,0,0,0,0,0,,380,0,0,1,0,mall-10000027,0,,0,,1,0,0,0,0,0,0,0,0,5002,,
28,1,3,601-1,0,0,0,0,0,0,0,,98,0,0,0,0,mall-10000028,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
29,1,3,601-10,0,0,0,0,0,0,0,,980,0,0,0,0,mall-10000029,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
30,1,3,10603-3,0,0,0,0,0,0,0,,20,0,0,0,2001,mall-10000030,dailyGiftbag,,10,,1,0,0,1,0,0,0,0,10000,5004,,
31,1,3,605-1,0,0,0,0,0,0,0,,160,0,0,0,0,mall-10000031,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
32,1,3,605-10,0,0,0,0,0,0,0,,1600,0,0,0,0,mall-10000032,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
35,1,3,10606-5,0,0,0,0,0,0,0,,20,0,0,0,0,mall-10000035,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
36,1,3,10606-5,0,0,0,0,0,0,0,,20,0,0,0,0,mall-10000036,0,,0,,1,0,0,1,0,0,0,0,0,5004,,
253,8,0,,0,0,0,0,0,0,0,,0,0,0,0,2001,mall-10000253,dailyGiftbag,profilePic_kalina_2017Christmas,0,,1,0,0,0,128,1,100006-150,0,0,1004,,
254,8,1,,0,0,0,0,0,0,0,,0,0,0,0,2001,mall-10000254,dailyGiftbag,xmas2017SP_sofa_icon,0,,1,0,0,0,122,1,100006-100,0,0,1004,,
255,8,1,,0,0,0,0,0,0,0,,0,0,0,0,2001,mall-10000255,dailyGiftbag,2016xmas_02,0,,1,0,0,0,123,1,100006-100,0,0,1004,,
257,8,3,,0,0,0,0,0,0,0,,0,0,0,0,2001,mall-10000257,dailyGiftbag,弹匣_状态弹_空尖弹_S,0,,1,0,0,0,125,1,100006-80,0,0,1004,,
258,8,3,,0,0,0,0,0,0,0,,0,0,0,0,2001,mall-10000258,dailyGiftbag,人形装备_伪装披风_N3_S,0,,1,0,0,0,126,1,100006-80,0,0,1004,,
259,8,4,1213-1,0,0,0,0,0,0,0,,0,0,0,0,2001,mall-10000259,dailyGiftbag,rfbbg_icon,0,,1,0,0,0,0,1,100006-80,0,0,1004,,
