id,duplicate_type,integration_switch,coin_type,campaign,sub,if_emergency,endless_mode,special_type,name,difficulty,exp_parameter,type,enemy_ai_type,win_turn,win_spot_id,special_spot_id,expect_enemy_die_num,expect_gun_die_num,expect_turn,boss_team_id,turn_duration,costbp,getcoin,getcoin_parameter,coin_ap,turn_limit,limit_gun_pool,limit_team,map_res_name,map_information,is_hide,is_snow,adaptive_gun,fog_length,fog_color,limit_equip_pool,draw_event_s_id,support_available,enemy_quickmove,expect_defend_line_turn,expect_hostage_num,title_logo,random_line_spot,order,reinforce_ally_team,reinforce_ally_turn,reinforce_ally_spot,ally_boss_team_id,ally_code,supply_parameter,drop_mission_key,close_missions,mission_group_id,mission_group_draw_event,open_mission_keys,mission_describe,force_type,round_config,color_change_type,color_change_number,color_change_result,spot_reset,draw_code,reset_drop_key_once,close_mission_control,limit_squad,open_mission_items,drop_mission_item,mapped_mission_id,branch_next_mission_id,win_type,medal_type_silver,drop_item_count,difficulty_recommend,difficulty_recommend_addendum,limit_sangvis,mission_tip,win_step,event_score,score_prize,drop_key_info,lose_type,fight_environment_group,environment_transform_config,"recommended_team_ids,","restart_hide,","auto_battle,",daily_demand
1,0,1-1,0,0,1,0,0,0,mission-10000001,10000,48,2,1,0,7,6,3,0,3,222,360000000,0,0,0,0,0,,0,Chapter0_1_Y,4481|4001|2495|1830|-298|-1274,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,mission-20000001,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,10000|99;0|0;0|0;0|0,mission-30000001,4,mission-40000001,,,,,,,,1,0,0,
2,0,1-1,0,0,2,0,0,0,mission-10000002,12000,49,2,1,0,25,15,5,0,4,233,360000000,0,0,0,0,0,,0,Chapter0_1_Y,3848|3231|2812|3017|370|-171,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,mission-20000002,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,12000|99;0|0;0|0;0|0,mission-30000002,4,mission-40000002,,,,,,,,1,0,0,
3,0,1-1,0,0,3,0,0,0,mission-10000003,14000,50,2,4,0,48,34,6,0,4,242,360000000,0,0,0,0,0,,0,Chapter0_2_Y,2671|3623|2440|3176|0|0,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,mission-20000003,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,14000|99;0|0;0|0;0|0,mission-30000003,4,mission-40000003,,,,,,,,6|1,0,0,
4,0,1-1,0,0,4,0,0,0,mission-10000004,16000,50,2,3,0,87,80,13,0,7,259,360000000,0,0,0,0,0,,0,Chapter0_2_Y,3548|3398|4029|3690|0|0,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,mission-20000004,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,16000|99;0|0;0|0;0|0,mission-30000004,4,mission-40000004,,,,,,,,1,0,0,
5,0,1-1,0,1,1,0,0,0,mission-10000005,200,12,2,1,0,91,0,1,0,2,2,360000000,0,0,0,0,0,,0,Chapter1_Y;OPS86_Y,3000|2625|2472|1574|0|-758;6000|6000|6000|4000|0|5000,0,0,,0|500;0|500,#000000FF;#000000FF,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,mission-20000005,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,200|1;0|0;0|0;0|0,mission-30000005,4,mission-40000005,,,,,,,,1|2|3,1,0,
6,0,1-1,0,1,2,0,0,0,mission-10000006,350,15,2,1,0,96,98,4,0,3,5,360000000,0,0,0,0,0,,0,Chapter1_Y,3000|2625|3444|2001|-102|-420,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,0,0,0,0,,,0,,0,,,mission-20000006,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,350|3;0|0;0|0;0|0,mission-30000006,4,mission-40000006,,,,,,,,8|1,0,0,
7,0,1-1,0,1,3,0,0,0,mission-10000007,500,16,2,1,0,107,101,4,0,4,10,360000000,0,0,0,0,0,,0,Chapter1_Y,3000|2625|2591|1876|0|437,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,7,0,0,0,ArmyLOGO,,0,,0,,,mission-20000007,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,500|5;0|0;0|0;0|0,mission-30000007,4,mission-40000007,,,,,,,,1,0,0,
8,0,1-1,0,1,4,0,0,0,mission-10000008,550,18,2,4,0,118,114,4,0,3,14,360000000,0,0,0,0,0,,0,Chapter1_Y,3000|2625|-3373|2298|55|242,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,8,0,0,0,,,0,,0,,,mission-20000008,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,550|7;0|0;0|0;0|0,mission-30000008,4,mission-40000008,,,,,,,,1,0,0,
9,0,1-1,0,1,5,0,0,0,mission-10000009,650,19,2,4,0,132,127,5,0,4,20,360000000,0,0,0,0,0,,0,Chapter1_Y,3000|2625|-3493|2079|49|-88,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,9,0,0,0,,,0,,0,,,mission-20000009,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,650|9;0|0;0|0;0|0,mission-30000009,4,mission-40000009,,,,,,,,8|1,0,0,
10,0,1-1,0,1,6,0,0,0,mission-10000010,800,20,2,4,0,147,140,6,0,5,27,360000000,0,0,0,0,0,15,0,Chapter1_Y,3000|2625|-3490|-3097|0|0,0,0,,0|500,#000000FF,,0,2,0,0,,,0,0,10,0,0,0,,,0,,0,,,mission-20000010,0,1:1|2:2|3:3,0,0,0,0,0,0,0,-1,,,0,,,,,800|10;0|0;0|0;0|0,mission-30000010,4,mission-40000010,,,,,,,,8|1,0,0,
