id,name,target_type,type,is_number,life_type,value,hostage_value,is_armor,effect_birth,effect_process_star,effect_process_end,effect_process_duration,defender_value
1,mission_hurt_config-10000001,2,1,0,1,*0,1,0,3,0,0,0,0
2,mission_hurt_config-10000002,2,1,0,1,*0,0,0,3,0,0,4,0
8,mission_hurt_config-10000008,1,2,1,2,-100,0,0,0,0,0,0,0
21,mission_hurt_config-10000021,2,2,0,1,*0,0,0,0,0,0,0,0
22,mission_hurt_config-10000022,2,2,0,2,*0,0,0,0,0,0,0,0
1002,mission_hurt_config-10001002,2,1,0,1,*0,0,0,1003,0,0,0,0
70012,mission_hurt_config-10070012,2,2,0,1,20,0,0,0,0,0,0,0
70014,mission_hurt_config-10070014,1,2,0,2,40,0,0,0,0,0,0,0
482401,mission_hurt_config-10482401,2,2,1,2,*0,0,0,1000083,0,0,0,0
483901,mission_hurt_config-10483901,2,2,0,1,100,0,0,0,0,0,0,0
483902,mission_hurt_config-10483902,0,1,0,2,0,0,0,0,0,0,0,99599
520801,mission_hurt_config-10520801,2,2,1,2,*0,0,0,1000083,0,0,0,0
520811,mission_hurt_config-10520811,2,2,1,2,3,0,0,1000083,0,0,0,0
520812,mission_hurt_config-10520812,2,2,1,2,4,0,0,1000083,0,0,0,0
520813,mission_hurt_config-10520813,2,2,1,2,9,0,0,1000083,0,0,0,0
520814,mission_hurt_config-10520814,2,2,1,2,6,0,0,1000083,0,0,0,0
520815,mission_hurt_config-10520815,2,2,1,2,18,0,0,1000083,0,0,0,0
541213,mission_hurt_config-10541213,2,2,1,2,200,0,0,0,0,0,0,0
541321,mission_hurt_config-10541321,2,2,0,2,200,0,0,0,0,0,0,99999
541331,mission_hurt_config-10541331,2,1,1,1,99999,5,0,0,0,0,0,0
543900,mission_hurt_config-10543900,2,2,1,2,70,0,0,1000083,0,0,0,0
543901,mission_hurt_config-10543901,2,1,1,1,1,1,0,0,0,0,0,0
544223,mission_hurt_config-10544223,2,2,1,1,50,0,0,0,0,0,0,0
580001,mission_hurt_config-10580001,2,2,0,1,30,0,0,0,0,0,0,0
580903,mission_hurt_config-10580903,2,2,0,1,50,0,0,1000153,0,0,0,0
900003,mission_hurt_config-10900003,2,2,0,2,34,1,0,0,0,0,0,0
900007,mission_hurt_config-10900007,2,2,0,2,100,0,0,0,0,0,0,0
