id,name,type,sub_type,sub_rank,sub_rank_name,refresh,title,top_rewards,percentage_rewards,out_rewards,visable_rank,score_rewards,ranking_onlist_number,visable_count,rank_list_num,begin_show_time,end_show_time,prize_preview
1,rank-20000001,1,0,1,rank-30000001,month:1:0,rank-10000001,,,,100,,20000,100,0,,,
2,rank-20000002,2,1,2,rank-30000002,week:7:0,rank-10000002,,,,100,,20000,100,0,,,
3,rank-20000003,2,2,3,rank-30000003,week:7:0,rank-10000003,,,,100,,20000,100,0,,,
4,rank-20000004,2,3,1,rank-30000004,week:7:0,rank-10000004,,,,100,,20000,100,0,,,
5,rank-20000005,3,0,0,rank-30000005,week:7:0,rank-10000005,,,,100,,20000,100,0,,,
6,rank-20000006,4,0,0,rank-30000006,month:1:0,rank-10000006,,,,100,,20000,100,0,,,
7,rank-20000007,5,0,0,rank-30000007,month:1:0,rank-10000007,,,,100,,20000,100,0,,,
8,rank-20000008,6,11002|11003|11004|11005|11006|11007|11008|11009|11010,0,rank-30000008,end:2025-11-01 23:59:59,rank-10000008,1:331633|2:331634|3:331635|4:331636|5:331637|6:331638|7:331639|8:331640|9:331641|10:331642|100:331643,,,100,450000:331644|600000:331645|1000000:331646|1300000:331647|1700000:331648,80000,100,1,2025-10-17 00:00:00,2025-11-14 23:59:59,http://gfjp-cdn.sunborngame.com/banner/listAward20251017.html
101,rank-20000101,101,0,0,rank-30000101,test,rank-10000101,1:331315|2:331316|3:331317|4:331318|5:331319|6:331320|7:331321|8:331322|9:331323|10:331324|100:331325,5:331326|10:331327|15:331328|20:331329|30:331330|40:331331|50:331332|100:331333,,100,,160000,300,0,,,
102,rank-20000102,102,0,0,rank-30000102,test,rank-10000102,,,,100,,120,300,0,,,
112,rank-20000112,112,0,0,rank-30000112,test,rank-10000112,1:331334|2:331335|3:331336|4:331337|5:331338|6:331339|7:331340|8:331341|9:331342|10:331343|100:331344,5:331345|10:331346|15:331347|20:331348|30:331349|40:331350|50:331351|100:331352,,100,,160000,300,0,,,
132,rank-20000132,113,1708,0,rank-30000132,test,rank-10000132,,,,100,,160000,100,0,,,
133,rank-20000133,113,1709,0,rank-30000133,test,rank-10000133,,,,100,,160000,100,0,,,
134,rank-20000134,113,1710,0,rank-30000134,test,rank-10000134,,,,100,,160000,100,0,,,
135,rank-20000135,114,1708,0,rank-30000135,test,rank-10000135,,,,100,,160000,100,0,,,
136,rank-20000136,114,1709,0,rank-30000136,test,rank-10000136,,,,100,,160000,100,0,,,
137,rank-20000137,114,1710,0,rank-30000137,test,rank-10000137,,,,100,,160000,100,0,,,
138,rank-20000138,113,1711,0,rank-30000138,test,rank-10000138,,,,100,,160000,100,0,,,
139,rank-20000139,113,1712,0,rank-30000139,test,rank-10000139,,,,100,,160000,100,0,,,
140,rank-20000140,113,1713,0,rank-30000140,test,rank-10000140,,,,100,,160000,100,0,,,
141,rank-20000141,114,1711,0,rank-30000141,test,rank-10000141,,,,100,,160000,100,0,,,
142,rank-20000142,114,1712,0,rank-30000142,test,rank-10000142,,,,100,,160000,100,0,,,
143,rank-20000143,114,1713,0,rank-30000143,test,rank-10000143,,,,100,,160000,100,0,,,
154,rank-20000154,113,1720,0,rank-30000154,test,rank-10000154,,,,100,,160000,100,0,,,
155,rank-20000155,113,1721,0,rank-30000155,test,rank-10000155,,,,100,,160000,100,0,,,
156,rank-20000156,113,1722,0,rank-30000156,test,rank-10000156,,,,100,,160000,100,0,,,
157,rank-20000157,114,1720,0,rank-30000157,test,rank-10000157,,,,100,,160000,100,0,,,
158,rank-20000158,114,1721,0,rank-30000158,test,rank-10000158,,,,100,,160000,100,0,,,
159,rank-20000159,114,1722,0,rank-30000159,test,rank-10000159,,,,100,,160000,100,0,,,
162,rank-20000162,8,0,0,rank-30000162,test,rank-10000162,,,,100,,20000,100,0,,,
163,rank-20000163,113,1724,0,rank-30000163,test,rank-10000163,,,,100,,160000,100,0,,,
164,rank-20000164,113,1725,0,rank-30000164,test,rank-10000164,,,,100,,160000,100,0,,,
165,rank-20000165,113,1726,0,rank-30000165,test,rank-10000165,,,,100,,160000,100,0,,,
166,rank-20000166,114,1724,0,rank-30000166,test,rank-10000166,,,,100,,160000,100,0,,,
167,rank-20000167,114,1725,0,rank-30000167,test,rank-10000167,,,,100,,160000,100,0,,,
168,rank-20000168,114,1726,0,rank-30000168,test,rank-10000168,,,,100,,160000,100,0,,,
169,rank-20000169,113,1727,0,rank-30000169,test,rank-10000169,,,,100,,160000,100,0,,,
170,rank-20000170,113,1728,0,rank-30000170,test,rank-10000170,,,,100,,160000,100,0,,,
171,rank-20000171,113,1729,0,rank-30000171,test,rank-10000171,,,,100,,160000,100,0,,,
172,rank-20000172,114,1727,0,rank-30000172,test,rank-10000172,,,,100,,160000,100,0,,,
173,rank-20000173,114,1728,0,rank-30000173,test,rank-10000173,,,,100,,160000,100,0,,,
174,rank-20000174,114,1729,0,rank-30000174,test,rank-10000174,,,,100,,160000,100,0,,,
175,rank-20000175,113,1730,0,rank-30000175,test,rank-10000175,,,,100,,160000,100,0,,,
176,rank-20000176,114,1730,0,rank-30000176,test,rank-10000176,,,,100,,160000,100,0,,,
178,rank-20000178,113,1731,0,rank-30000178,test,rank-10000178,,,,100,,160000,100,0,,,
179,rank-20000179,113,1732,0,rank-30000179,test,rank-10000179,,,,100,,160000,100,0,,,
180,rank-20000180,113,1733,0,rank-30000180,test,rank-10000180,,,,100,,160000,100,0,,,
181,rank-20000181,114,1731,0,rank-30000181,test,rank-10000181,,,,100,,160000,100,0,,,
182,rank-20000182,114,1732,0,rank-30000182,test,rank-10000182,,,,100,,160000,100,0,,,
183,rank-20000183,114,1733,0,rank-30000183,test,rank-10000183,,,,100,,160000,100,0,,,
184,rank-20000184,113,1734,0,rank-30000184,test,rank-10000184,,,,100,,160000,100,0,,,
185,rank-20000185,113,1735,0,rank-30000185,test,rank-10000185,,,,100,,160000,100,0,,,
186,rank-20000186,113,1736,0,rank-30000186,test,rank-10000186,,,,100,,160000,100,0,,,
187,rank-20000187,114,1734,0,rank-30000187,test,rank-10000187,,,,100,,160000,100,0,,,
188,rank-20000188,114,1735,0,rank-30000188,test,rank-10000188,,,,100,,160000,100,0,,,
189,rank-20000189,114,1736,0,rank-30000189,test,rank-10000189,,,,100,,160000,100,0,,,
190,rank-20000190,113,1737,0,rank-30000190,test,rank-10000190,,,,100,,160000,100,0,,,
191,rank-20000191,113,1738,0,rank-30000191,test,rank-10000191,,,,100,,160000,100,0,,,
192,rank-20000192,114,1737,0,rank-30000192,test,rank-10000192,,,,100,,160000,100,0,,,
193,rank-20000193,114,1738,0,rank-30000193,test,rank-10000193,,,,100,,160000,100,0,,,
194,rank-20000194,113,1739,0,rank-30000194,test,rank-10000194,,,,100,,160000,100,0,,,
195,rank-20000195,113,1740,0,rank-30000195,test,rank-10000195,,,,100,,160000,100,0,,,
196,rank-20000196,113,1741,0,rank-30000196,test,rank-10000196,,,,100,,160000,100,0,,,
197,rank-20000197,113,1742,0,rank-30000197,test,rank-10000197,,,,100,,160000,100,0,,,
198,rank-20000198,114,1739,0,rank-30000198,test,rank-10000198,,,,100,,160000,100,0,,,
199,rank-20000199,114,1740,0,rank-30000199,test,rank-10000199,,,,100,,160000,100,0,,,
200,rank-20000200,114,1741,0,rank-30000200,test,rank-10000200,,,,100,,160000,100,0,,,
201,rank-20000201,114,1742,0,rank-30000201,test,rank-10000201,,,,100,,160000,100,0,,,
202,rank-20000202,113,1743,0,rank-30000202,test,rank-10000202,,,,100,,160000,100,0,,,
203,rank-20000203,113,1744,0,rank-30000203,test,rank-10000203,,,,100,,160000,100,0,,,
204,rank-20000204,113,1745,0,rank-30000204,test,rank-10000204,,,,100,,160000,100,0,,,
205,rank-20000205,114,1743,0,rank-30000205,test,rank-10000205,,,,100,,160000,100,0,,,
206,rank-20000206,114,1744,0,rank-30000206,test,rank-10000206,,,,100,,160000,100,0,,,
207,rank-20000207,114,1745,0,rank-30000207,test,rank-10000207,,,,100,,160000,100,0,,,
301,rank-20000301,10,10105,1,rank-30000301,test,rank-10000301,,,,100,,80000,100,0,,,
302,rank-20000302,10,10158,1,rank-30000302,test,rank-10000302,,,,100,,80000,100,0,,,
303,rank-20000303,10,10508,1,rank-30000303,test,rank-10000303,,,,100,,80000,100,0,,,
304,rank-20000304,10,10766,1,rank-30000304,test,rank-10000304,,,,100,,80000,100,0,,,
305,rank-20000305,10,11116,1,rank-30000305,test,rank-10000305,,,,100,,80000,100,0,,,
306,rank-20000306,10,11320,1,rank-30000306,test,rank-10000306,,,,100,,80000,100,0,,,
307,rank-20000307,10,11435,1,rank-30000307,test,rank-10000307,,,,100,,80000,100,0,,,
1001,rank-20001001,1001,0,0,rank-30001001,test,rank-10001001,,,,10,,160000,300,0,2023-03-31 13:00:00,2023-04-28 23:59:59,
2001,rank-20002001,2000,1,0,rank-30002001,test,rank-10002001,,,,100,,160000,100,0,,,
2002,rank-20002002,2000,2,0,rank-30002002,test,rank-10002002,,,,100,,160000,100,0,,,
2003,rank-20002003,2000,3,0,rank-30002003,test,rank-10002003,,,,100,,160000,100,0,,,
