id,type,child_ids,title,sub_title,code,content,function_control_id,goto_page
100,1,101|102|103|104|105|106|107|108|109,tutorial_manual-10000100,tutorial_manual-20000100,manual_base,,0,0
101,2,,tutorial_manual-10000101,tutorial_manual-20000101,,2ef9283b6c58cbf7_draw_201118170355.jpg|c8724b2bdaa0daab_draw_201118164406.jpg,0,0
102,2,,tutorial_manual-10000102,tutorial_manual-20000102,,c65a9042a8464251_draw_201118164603.jpg|6d69f10aba8b87c4_draw_201118164648.jpg|a1aca3e09ad19896_draw_201118164726.jpg|f9243d61693d2026_draw_201118164833.jpg|430de166e56e50f7_draw_201118165145.jpg|511ff28dcf288a19_draw_201118165226.jpg,0,0
103,2,,tutorial_manual-10000103,tutorial_manual-20000103,,44b8dddafbdeb000_draw_201118165308.jpg,0,252
104,2,,tutorial_manual-10000104,tutorial_manual-20000104,,66c2ab0bcb12205c_draw_201118165355.jpg|6377fa35a192fb3c_draw_201118165355.jpg,0,2
105,2,,tutorial_manual-10000105,tutorial_manual-20000105,,9f8227fe12eebb16_draw_201118165419.jpg,0,257
106,2,,tutorial_manual-10000106,tutorial_manual-20000106,,49ca93550d95d71e_draw_201118165455.jpg|c984f3587d5893a5_draw_201118165455.jpg,0,253
107,2,,tutorial_manual-10000107,tutorial_manual-20000107,,ff03baf3b9345876_draw_201118171634.jpg|de6e97a2ce618dd4_draw_201118171710.jpg|9d845b4f232544df_draw_201118171741.jpg|0e0a5e1c751f3bec_draw_201119225617.jpg|ca3668fc487802f9_draw_201118171838.jpg,0,254
108,2,,tutorial_manual-10000108,tutorial_manual-20000108,,d650011a260ca438_draw_201118171907.jpg,0,255
109,2,,tutorial_manual-10000109,tutorial_manual-20000109,,4888dbe8b8d98c27_draw_201118172000.jpg|ff7a812b9a86009f_draw_201118172028.jpg|f0a721ab29d3fe60_draw_201118172100.jpg|97f4fb33b89ea3f4_draw_201118172133.jpg,0,256
110,2,,tutorial_manual-10000110,tutorial_manual-20000110,,bbcb0e6a5747afcc_draw_260202160152.jpg|2aef266316e05abc_draw_260202160153.jpg|b773b2eb59310a86_draw_260202160153.jpg|04e88a6fcf7bb9f7_draw_260202160153.jpg|87f7eaff5ed2a9ce_draw_260202160153.jpg|83abd473bce526f9_draw_260202160153.jpg,33,0
200,1,201|202|203|204|205|206|207|208|209|210|211|212,tutorial_manual-10000200,tutorial_manual-20000200,manual_develop,,0,0
201,2,,tutorial_manual-10000201,tutorial_manual-20000201,,3d5f59653b64f5d5_draw_201118172232.jpg|17da11e8c0f36801_draw_201123182537.jpg|748b29c0c5240b0c_draw_201118172313.jpg,0,0
202,2,,tutorial_manual-10000202,tutorial_manual-20000202,,a0ee427d46f221ee_draw_201118172419.jpg|bd67108eda6499a8_draw_201118174421.jpg|a6784a4c04007935_draw_201118174458.jpg|be1841814655bcee_draw_201118174527.jpg|95ce1e79175fb436_draw_201119225758.jpg,0,25
203,2,,tutorial_manual-10000203,tutorial_manual-20000203,,cc915c99e6aa0697_draw_201118174755.jpg|b8f1b082d553cd04_draw_201118174857.jpg|481fd7918b23d8b2_draw_201118174924.jpg|52d31605e6099045_draw_201118174958.jpg,0,0
204,2,,tutorial_manual-10000204,tutorial_manual-20000204,,fb77322e7c47ab58_draw_201118175514.jpg|6880c6b9165a8aa8_draw_201118175539.jpg,0,7
205,2,,tutorial_manual-10000205,tutorial_manual-20000205,,aa147f40670b5a8a_draw_201118175629.jpg|2fcab845b81d43a6_draw_201118175714.jpg|81117d7a548df151_draw_201118175743.jpg|d06176d3f3578ee8_draw_201118175810.jpg,0,0
206,2,,tutorial_manual-10000206,tutorial_manual-20000206,,deb6507a8d25831f_draw_201118175958.jpg|3180d90213696935_draw_201118180021.jpg|ff631a31d8e37492_draw_201118180046.jpg,0,5
207,2,,tutorial_manual-10000207,tutorial_manual-20000207,,b4e04dffb3bb1814_draw_201118180107.jpg,0,63
208,2,,tutorial_manual-10000208,tutorial_manual-20000208,,977a4cd92836393d_draw_201118180231.jpg|1774324524ac54f4_draw_201123182537.jpg|dd7871175abd9422_draw_201118180316.jpg,0,8
209,2,,tutorial_manual-10000209,tutorial_manual-20000209,,585c8138a9384857_draw_201118180343.jpg|c941d4588f93a9ba_draw_201118180408.jpg|ef3958b937bcecdf_draw_201118180440.jpg|b87ac16396953ad4_draw_201118180502.jpg,0,0
210,2,,tutorial_manual-10000210,tutorial_manual-20000210,,4b502403bb46ec27_draw_201118180601.jpg|1227bee547ee6f53_draw_201118180601.jpg,17,0
211,2,,tutorial_manual-10000211,tutorial_manual-20000211,,c8f46b81c19bff7c_draw_201118180646.jpg|07c07e2a7b16b904_draw_201118180714.jpg|42efe63c42728e73_draw_201118180714.jpg|8dee59bd81d054fb_draw_201118180815.jpg|64b5772e2b9b5338_draw_201118180846.jpg,0,0
212,2,,tutorial_manual-10000212,tutorial_manual-20000212,,66402db7c225fe0f_draw_201118181519.jpg|9988efa9c6b08d33_draw_201118181542.jpg|54fd2e38399e0784_draw_201118181542.jpg,10,186
300,1,301|302|303|304|305,tutorial_manual-10000300,tutorial_manual-20000300,manural_equip,,2,0
301,2,,tutorial_manual-10000301,tutorial_manual-20000301,,be3b82e3217f7f6c_draw_201118181628.jpg|7d707329e0b42733_draw_201118181628.jpg|c1ebdc9386f54b97_draw_201118181628.jpg|d40bad1b7bc4d948_draw_201118181629.jpg,2,0
302,2,,tutorial_manual-10000302,tutorial_manual-20000302,,ea0b7de48f2489cf_draw_201118183347.jpg|ca71df1747ead374_draw_201118183404.jpg,2,0
303,2,,tutorial_manual-10000303,tutorial_manual-20000303,,48a67bd3a168b369_draw_201118181812.jpg|628474c1bfcfdd5d_draw_201118183158.jpg|3067b208415fc837_draw_201118183231.jpg|83191c1649b37acc_draw_201118183311.jpg,2,21
304,2,,tutorial_manual-10000304,tutorial_manual-20000304,,0e9d832a70298c67_draw_201118183619.jpg|2d87e937e9b4ce3f_draw_201118183619.jpg,5,250
305,2,,tutorial_manual-10000305,tutorial_manual-20000305,,aa4dfd8bdb646ef8_draw_201118183500.jpg|bad827ac3567404d_draw_201118183500.jpg,6,54
400,1,401|402|403|404|405|406|407,tutorial_manual-10000400,tutorial_manual-20000400,manural_fairy,,1,0
401,2,,tutorial_manual-10000401,tutorial_manual-20000401,,5d36398418deffec_draw_201118183711.jpg,1,0
402,2,,tutorial_manual-10000402,tutorial_manual-20000402,,3067b208415fc837_draw_201118183808.jpg|f05e333dbeed1d13_draw_201118183835.jpg,1,21
403,2,,tutorial_manual-10000403,tutorial_manual-20000403,,096c3a2ef7455d46_draw_201118183906.jpg|038b92cb8e85fb7a_draw_201118183944.jpg|aec8781a225bb950_draw_201118183944.jpg,1,0
404,2,,tutorial_manual-10000404,tutorial_manual-20000404,,4f25c9b06e08f783_draw_201118184035.jpg|4858bfb4c216ea2a_draw_201118184035.jpg,1,0
405,2,,tutorial_manual-10000405,tutorial_manual-20000405,,9bc1f6d54e3348e3_draw_201118184152.jpg|ef0d09fb5eb67cd6_draw_201118184152.jpg|078c619ca7bc6e18_draw_201118184152.jpg,1,172
406,2,,tutorial_manual-10000406,tutorial_manual-20000406,,4b4a8a9de7ebae11_draw_201118184239.jpg|1aa1b72fa385289f_draw_201118184302.jpg|1504e5ffa8d8cf77_draw_201118184302.jpg,1,144
407,2,,tutorial_manual-10000407,tutorial_manual-20000407,,13845042b7d5ed62_draw_201118184418.jpg|b0d310d2306c7704_draw_201118184418.jpg,1,206
500,1,501|502|503|504|505|506|507|508|509,tutorial_manual-10000500,tutorial_manual-20000500,manural_squad,,15,0
501,2,,tutorial_manual-10000501,tutorial_manual-20000501,,5b9498559466dc10_draw_201118184542.jpg|e99b9c94b4b3d23c_draw_201118184542.jpg,15,0
502,2,,tutorial_manual-10000502,tutorial_manual-20000502,,e1e464c461e8a310_draw_201118192120.jpg|e4cac1c636710fd2_draw_201118192151.jpg|091e5d201f8e7e00_draw_201118192216.jpg|736ac1e4e12eab16_draw_201118192242.jpg|f4500ada24903999_draw_201118192303.jpg,15,202
503,2,,tutorial_manual-10000503,tutorial_manual-20000503,,c33bd46318a9b262_draw_201118192412.jpg|072899467f87aa41_draw_201118192545.jpg|db4c4281b0c22000_draw_201118192634.jpg|707cd9d566de5c56_draw_201118192700.jpg|5b9a0365110c6f1f_draw_201118192728.jpg|2a5f7415ef71cda6_draw_201118192754.jpg,15,0
504,2,,tutorial_manual-10000504,tutorial_manual-20000504,,5ab92bd4fe301e55_draw_201118192918.jpg|c15fabb8f7b3e1e3_draw_201118192919.jpg,15,203
