id,code,icon,name,type,cost_deploy,cost_upgrade,cost_mre,hp,atk,rate,dodge,armor,piercing,range,speed,shield,skills,skill_dec,deployment_cd,bt_tree
-1,CommanderSelf,CommanderSelf,breakout_gun-9999999,1,0,0,0,200,200,200,200,200,200,200,200,200,701|702|703|704,breakout_gun-19999999,60,Tarkov/ItemSkill
1,MDR,MDR,breakout_gun-10000001,4,4,50|100,4,550|1100|1650,110|220|330,100|100|100,0|0|0,0|0|0,15|15|15,120|120|120,10|11|12,0|0|0,100|101,breakout_gun-20000001,60,Tarkov/Units/Guns/GunAI_MDR
2,G3,G3,breakout_gun-10000002,4,4,50|100,4,500|1000|1500,110|220|330,100|100|100,0|0|0,0|0|0,15|15|15,120|120|120,10|11|12,0|0|0,100|102,breakout_gun-20000002,60,Tarkov/Units/Guns/GunAI_G3
3,ACR,ACR,breakout_gun-10000003,4,4,50|100,4,500|1000|1500,100|200|300,110|110|110,0|0|0,0|0|0,15|15|15,120|120|120,10|11|12,0|0|0,103|104,breakout_gun-20000003,60,Tarkov/Units/Guns/GunAI_ACR
4,wz29,wz29,breakout_gun-10000004,3,4,50|100,4,495|990|1485,150|300|450,75|75|75,0|0|0,0|0|0,50|50|50,180|180|180,8|9|10,0|0|0,200|201,breakout_gun-20000004,60,Tarkov/Units/Guns/GunAI_wz.29
5,M1,M1,breakout_gun-10000005,3,4,50|100,4,450|900|1350,165|330|495,75|75|75,0|0|0,0|0|0,50|50|50,180|180|180,8|9|10,0|0|0,200|202,breakout_gun-20000005,60,Tarkov/Units/Guns/GunAI_M1
6,4type,4type,breakout_gun-10000006,3,4,50|100,4,450|900|1350,150|300|450,75|75|75,0|0|0,0|0|0,50|50|50,180|180|180,8|9|10,0|0|0,203,breakout_gun-20000006,60,Tarkov/Units/Guns/GunAI_Type4
7,RPD,RPD,breakout_gun-10000007,5,5,50|100,5,550|1100|1650,110|220|330,150|150|150,0|0|0,0|0|0,100|100|100,120|120|120,9|10|11,0|0|0,301,breakout_gun-20000007,60,Tarkov/Units/Guns/GunAI_RPD
8,MG5,MG5,breakout_gun-10000008,5,5,50|100,5,550|1100|1650,110|220|330,150|150|150,0|0|0,0|0|0,100|100|100,120|120|120,9|10|11,0|0|0,302,breakout_gun-20000008,60,Tarkov/Units/Guns/GunAI_MG5
9,MG338,MG338,breakout_gun-10000009,5,5,50|100,5,550|1100|1650,110|220|330,150|150|150,0|0|0,0|0|0,100|100|100,120|120|120,9|10|11,0|0|0,303,breakout_gun-20000009,60,Tarkov/Units/Guns/GunAI_MG338
10,AK74U,AK74U,breakout_gun-10000010,2,4,50|100,4,825|1650|2475,50|100|150,125|125|125,10|11|12,0|0|0,0|0|0,100|100|100,10|11|12,0|0|0,400|401,breakout_gun-20000010,60,Tarkov/Units/Guns/GunAI_AK74U
11,VZ61,VZ61,breakout_gun-10000011,2,4,50|100,4,750|1500|2250,55|110|165,125|125|125,10|11|12,0|0|0,0|0|0,100|100|100,10|11|12,0|0|0,400|402,breakout_gun-20000011,60,Tarkov/Units/Guns/GunAI_Vz.61
12,P90,P90,breakout_gun-10000012,2,4,50|100,4,825|1650|2475,55|110|165,125|125|125,10|11|12,0|0|0,0|0|0,100|100|100,10|11|12,0|0|0,400|403,breakout_gun-20000012,60,Tarkov/Units/Guns/GunAI_P90
13,KSG,KSG,breakout_gun-10000013,6,5,50|100,5,660|1320|1980,60|120|180,75|75|75,0|0|0,140|154|168,0|0|0,90|90|90,9|10|11,0|0|0,500|501,breakout_gun-20000013,60,Tarkov/Units/Guns/GunAI_KSG
14,97typeS,97typeS,breakout_gun-10000014,6,5,50|100,5,600|1200|1800,60|120|180,60|60|60,0|0|0,140|154|168,0|0|0,90|90|90,9|10|11,0|0|0,502,breakout_gun-20000014,60,Tarkov/Units/Guns/GunAI_Type97S
15,MK3A1,MK3A1,breakout_gun-10000015,6,5,50|100,5,600|1200|1800,60|120|180,75|75|75,0|0|0,140|154|168,0|0|0,120|120|120,9|10|11,0|0|0,503,breakout_gun-20000015,60,Tarkov/Units/Guns/GunAI_MK3A1
16,M1873,M1873,breakout_gun-10000016,1,3,50|100,3,500|1000|1500,55|110|165,100|100|100,40|44|48,0|0|0,0|0|0,110|110|110,12|13|14,0|0|0,600|601,breakout_gun-20000016,60,Tarkov/Units/Guns/GunAI_M1873
17,357,357,breakout_gun-10000017,1,3,50|100,3,500|1000|1500,50|100|150,110|110|110,40|44|48,0|0|0,0|0|0,110|110|110,12|13|14,0|0|0,600|602,breakout_gun-20000017,60,Tarkov/Units/Guns/GunAI_357
18,TT33,TT33,breakout_gun-10000018,1,3,50|100,3,550|1100|1650,50|100|150,100|100|100,40|44|48,0|0|0,0|0|0,110|110|110,12|13|14,0|0|0,600|603,breakout_gun-20000018,60,Tarkov/Units/Guns/GunAI_TT33
