identity,mission_type,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,title,content,function_control_id,prize_id,exchange_prize_id,goto_page_id
1,1,win_normal,50,0,0,0,0,0,0,0,0,,daily-10000001,daily-20000001,0,8308,8315,0
2,1,s_win,8,0,0,0,0,0,0,0,0,,daily-10000002,daily-20000002,0,8308,8315,0
3,1,rescue,5,0,0,0,0,0,0,0,0,,daily-10000003,daily-20000003,0,8308,8315,0
4,1,mission,2,0,0,0,0,0,0,0,0,,daily-10000004,daily-20000004,0,8308,8315,0
5,2,get_vehicle_component,6,0,0,0,0,0,0,0,0,,daily-10000005,daily-20000005,30,8308,8315,0
6,2,develop_equip,4,0,0,0,0,0,0,0,0,,daily-10000006,daily-20000006,2,8308,8315,0
7,2,develop_gun,2,0,0,0,0,0,0,0,0,,daily-10000007,daily-20000007,0,8308,8315,0
8,2,recycle,3,0,0,0,0,0,0,0,0,,daily-10000008,daily-20000008,0,8308,8315,0
9,3,upgrade_value,3,0,0,0,0,0,0,0,0,,daily-10000009,daily-20000009,0,8308,8315,0
10,3,adjust_equip,1,0,0,0,0,0,0,0,0,,daily-10000010,daily-20000010,6,8308,8315,0
11,3,upgrade_equip,3,0,0,0,0,0,0,0,0,,daily-10000011,daily-20000011,5,8308,8315,0
12,4,operation,3,0,0,0,0,0,0,0,0,,daily-10000012,daily-20000012,0,8308,8315,0
13,4,coin_mission,3,0,0,0,0,0,0,0,0,,daily-10000013,daily-20000013,0,8308,8315,0
14,4,sangvis_exercise,3,0,0,0,0,0,0,0,0,,daily-10000014,daily-20000014,21,8308,8315,0
15,4,auto_battle,1,0,0,0,0,0,0,0,0,,daily-10000015,daily-20000015,15,8308,8315,0
16,5,like,5,0,0,0,0,0,0,0,0,,daily-10000016,daily-20000016,0,8308,8315,0
17,5,borrow_friend_team,2,0,0,0,0,0,0,0,0,,daily-10000017,daily-20000017,0,8308,8315,0
18,6,explore,1,0,0,0,0,0,0,0,0,,daily-10000018,daily-20000018,17,8308,8315,0
19,6,sangvis_daily_retrieval,1,0,0,0,0,0,0,0,0,,daily-10000019,daily-20000019,21,8308,8315,0
20,6,heart_collect,5,0,0,0,0,0,0,0,0,,daily-10000020,daily-20000020,0,8308,8315,0
21,6,gift,1,0,0,0,0,0,0,0,0,,daily-10000021,daily-20000021,0,8308,8315,0
