id,type,equip_or_gun_id,get_type,is_limit,drop_difficulty
1,1,259,1,1,|1|2|3|4|
2,1,319,1,1,|1|2|3|4|
3,1,6,1,0,|1|2|3|4|
4,1,3,1,0,|1|2|3|4|
5,1,34,1,0,|1|2|3|4|
6,1,32,1,0,|1|2|3|4|
7,1,11,1,0,|1|2|3|4|
8,1,8,1,0,|1|2|3|4|
9,1,44,1,0,|1|2|3|4|
10,1,37,1,0,|1|2|3|4|
11,1,13,1,0,|1|2|3|4|
12,1,12,1,0,|1|2|3|4|
13,1,61,1,0,|1|2|3|4|
14,1,58,1,0,|1|2|3|4|
15,1,22,1,0,|1|2|3|4|
16,1,18,1,0,|1|2|3|4|
17,1,80,1,0,|1|2|3|4|
18,1,77,1,0,|1|2|3|4|
19,1,3,1,0,|1|2|3|4|
20,1,14,1,0,|1|2|3|4|
21,1,105,1,0,|1|2|3|4|
22,1,70,1,0,|1|2|3|4|
23,1,29,1,0,|1|2|3|4|
24,1,27,1,0,|1|2|3|4|
25,1,89,1,0,|1|2|3|4|
26,1,86,1,0,|1|2|3|4|
27,3,1001,1,0,|4|
28,3,1002,1,0,|4|
29,3,1003,1,0,|4|
30,3,1004,1,0,|4|
31,3,1005,1,0,|4|
32,3,1006,1,0,|4|
33,3,1007,1,0,|4|
34,3,1008,1,0,|4|
35,3,1009,1,0,|4|
36,3,1010,1,0,|4|
37,3,1011,1,0,|4|
38,3,1012,1,0,|4|
39,3,1013,1,0,|4|
40,3,1101,1,0,|4|
41,3,1102,1,0,|4|
42,3,1103,1,0,|4|
43,3,1104,1,0,|4|
44,3,1105,1,0,|4|
45,3,1106,1,0,|4|
46,3,1107,1,0,|4|
47,3,1108,1,0,|4|
48,3,1109,1,0,|4|
49,3,1110,1,0,|4|
50,3,1111,1,0,|4|
51,3,1112,1,0,|4|
52,3,1113,1,0,|4|
53,3,1114,1,0,|4|
54,3,1115,1,0,|4|
55,3,1116,1,0,|4|
56,3,1117,1,0,|4|
57,3,1118,1,0,|4|
58,3,1119,1,0,|4|
59,3,1120,1,0,|4|
60,3,1121,1,0,|4|
61,3,1122,1,0,|4|
62,3,1123,1,0,|4|
63,3,1124,1,0,|4|
64,3,1125,1,0,|4|
65,3,1126,1,0,|4|
66,3,1127,1,0,|4|
67,3,1128,1,0,|4|
68,3,1129,1,0,|4|
69,3,1130,1,0,|4|
70,3,1131,1,0,|4|
71,3,1132,1,0,|4|
72,3,1133,1,0,|4|
73,3,1134,1,0,|4|
74,3,2001,1,0,|4|
75,3,2002,1,0,|4|
76,3,2003,1,0,|4|
77,3,2004,1,0,|4|
78,3,2005,1,0,|4|
79,3,2006,1,0,|4|
80,3,2007,1,0,|4|
81,3,2008,1,0,|4|
82,3,2009,1,0,|4|
83,3,2010,1,0,|4|
84,3,2011,1,0,|4|
85,3,2012,1,0,|4|
86,3,2013,1,0,|4|
87,3,2101,1,0,|4|
88,3,2102,1,0,|4|
89,3,2103,1,0,|4|
90,3,2104,1,0,|4|
91,3,2105,1,0,|4|
92,3,2106,1,0,|4|
93,3,2107,1,0,|4|
94,3,2108,1,0,|4|
95,3,2109,1,0,|4|
96,3,2110,1,0,|4|
97,3,2111,1,0,|4|
98,3,2112,1,0,|4|
99,3,2113,1,0,|4|
100,3,2114,1,0,|4|
101,3,2115,1,0,|4|
102,3,2116,1,0,|4|
103,3,2117,1,0,|4|
104,3,2118,1,0,|4|
105,3,2119,1,0,|4|
106,3,2120,1,0,|4|
107,3,2121,1,0,|4|
108,3,2122,1,0,|4|
109,3,2123,1,0,|4|
110,3,2124,1,0,|4|
111,3,2125,1,0,|4|
112,3,2126,1,0,|4|
113,3,2127,1,0,|4|
114,3,2128,1,0,|4|
115,3,2129,1,0,|4|
116,3,2130,1,0,|4|
117,3,2131,1,0,|4|
118,3,2132,1,0,|4|
119,3,2133,1,0,|4|
120,3,2134,1,0,|4|
121,3,3001,1,0,|4|
122,3,3002,1,0,|4|
123,3,3003,1,0,|4|
124,3,3004,1,0,|4|
125,3,3005,1,0,|4|
126,3,3006,1,0,|4|
127,3,3007,1,0,|4|
128,3,3008,1,0,|4|
129,3,3009,1,0,|4|
130,3,3010,1,0,|4|
131,3,3011,1,0,|4|
132,3,3012,1,0,|4|
133,3,3013,1,0,|4|
134,3,3101,1,0,|4|
135,3,3102,1,0,|4|
136,3,3103,1,0,|4|
137,3,3104,1,0,|4|
138,3,3105,1,0,|4|
139,3,3106,1,0,|4|
140,3,3107,1,0,|4|
141,3,3108,1,0,|4|
142,3,3109,1,0,|4|
143,3,3110,1,0,|4|
144,3,3111,1,0,|4|
145,3,3112,1,0,|4|
146,3,3113,1,0,|4|
147,3,3114,1,0,|4|
148,3,3115,1,0,|4|
149,3,3116,1,0,|4|
150,3,3117,1,0,|4|
151,3,3118,1,0,|4|
152,3,3119,1,0,|4|
153,3,3120,1,0,|4|
154,3,3121,1,0,|4|
155,3,3122,1,0,|4|
156,3,3123,1,0,|4|
157,3,3124,1,0,|4|
158,3,3125,1,0,|4|
159,3,3126,1,0,|4|
160,3,3127,1,0,|4|
161,3,3128,1,0,|4|
162,3,3129,1,0,|4|
163,3,3130,1,0,|4|
164,3,3131,1,0,|4|
165,3,3132,1,0,|4|
166,3,3133,1,0,|4|
167,3,3134,1,0,|4|
