id,name,type,code,introduce,forces,if_capture,pow_rank,life_rank,hit_rank,dodge_rank,rate_rank,armor_rank,speed_rank,range_rank,counter,character,enemy_skill,launch_time,extra,spine_scale
1,enemy_illustration-10000001,2,Drone,enemy_illustration-20000001,0,0,0,7,0,0,0,0,0,0,enemy_illustration-30000001,"1001,903",,2016-5-20 00:00:00,enemy_illustration-40000001,"90,90,1"
2,enemy_illustration-10000002,2,Prowler,enemy_illustration-20000002,1,1,1,1,1,1,3,0,2,2,enemy_illustration-30000002,300,,2016-5-20 00:00:00,enemy_illustration-40000002,"100,100,1"
3,enemy_illustration-10000003,2,Scouts,enemy_illustration-20000003,1,1,2,2,2,6,2,0,4,3,enemy_illustration-30000003,300,,2016-5-20 00:00:00,enemy_illustration-40000003,"100,100,1"
4,enemy_illustration-10000004,3,Ripper,enemy_illustration-20000004,1,1,2,3,3,5,3,0,3,3,enemy_illustration-30000004,303,,2016-5-20 00:00:00,enemy_illustration-40000004,"100,100,1"
5,enemy_illustration-10000005,1,Scarecrow,enemy_illustration-20000005,1,1,5,4,4,4,4,0,4,3,enemy_illustration-30000005,"1001,201",59,2016-5-20 00:00:00,enemy_illustration-40000005,"70,70,1"
6,enemy_illustration-10000006,2,Dinergate,enemy_illustration-20000006,1,1,5,1,5,0,2,0,5,2,enemy_illustration-30000006,303,,2016-5-20 00:00:00,enemy_illustration-40000006,"100,100,1"
7,enemy_illustration-10000007,3,Vespid,enemy_illustration-20000007,1,1,3,2,4,4,2,0,3,4,enemy_illustration-30000007,300,,2016-5-20 00:00:00,enemy_illustration-40000007,"100,100,1"
8,enemy_illustration-10000008,1,Excutioner,enemy_illustration-20000008,1,1,5,4,4,5,3,3,3,2,enemy_illustration-30000008,"1001,202,309",60,2016-5-20 00:00:00,enemy_illustration-40000008,"80,80,1"
9,enemy_illustration-10000009,3,Jaeger,enemy_illustration-20000009,1,1,3,1,5,3,2,0,3,4,enemy_illustration-30000009,307,,2016-5-20 00:00:00,enemy_illustration-40000009,"100,100,1"
10,enemy_illustration-10000010,3,Guard,enemy_illustration-20000010,1,1,1,4,3,1,4,0,2,2,enemy_illustration-30000010,303,,2016-5-20 00:00:00,enemy_illustration-40000010,"90,90,1"
11,enemy_illustration-10000011,1,Hunter,enemy_illustration-20000011,1,1,4,4,5,5,5,4,5,4,enemy_illustration-30000011,"1001,203,309",62,2016-5-20 00:00:00,enemy_illustration-40000011,"75,75,1"
12,enemy_illustration-10000012,3,Dragoon,enemy_illustration-20000012,1,1,3,3,5,3,3,0,5,5,enemy_illustration-30000012,304,,2016-5-20 00:00:00,enemy_illustration-40000012,"75,75,1"
13,enemy_illustration-10000013,2,Jaguar,enemy_illustration-20000013,1,1,6,2,6,3,1,0,3,5,enemy_illustration-30000013,"1003,325",8,2016-5-20 00:00:00,enemy_illustration-40000013,"100,100,1"
14,enemy_illustration-10000014,4,Nemeum,enemy_illustration-20000014,1,1,4,3,5,0,1,3,3,4,enemy_illustration-30000014,309,,2016-5-20 00:00:00,enemy_illustration-40000014,"100,100,1"
15,enemy_illustration-10000015,5,Aegis,enemy_illustration-20000015,1,1,2,4,2,0,3,5,2,2,enemy_illustration-30000015,"303,309",,2016-5-20 00:00:00,enemy_illustration-40000015,"100,100,1"
16,enemy_illustration-10000016,4,Manticore,enemy_illustration-20000016,1,1,6,5,4,0,4,3,2,3,enemy_illustration-30000016,"1003,309,301",,2016-5-20 00:00:00,enemy_illustration-40000016,"80,80,1"
17,enemy_illustration-10000017,1,Intruder,enemy_illustration-20000017,1,1,4,4,3,4,5,0,3,3,enemy_illustration-30000017,"1001,204",84,2016-5-20 00:00:00,enemy_illustration-40000017,"85,85,1"
18,enemy_illustration-10000018,1,Destroyer,enemy_illustration-20000018,1,1,5,5,4,3,3,0,4,5,enemy_illustration-30000018,"1001,206","64,99",2016-5-20 00:00:00,enemy_illustration-40000018,"85,85,1"
19,enemy_illustration-10000019,1,HunterElite,enemy_illustration-20000019,1,0,5,5,5,5,5,4,5,4,enemy_illustration-30000019,"1001,203,309",62,2016-5-20 00:00:00,enemy_illustration-40000019,"75,75,1"
20,enemy_illustration-10000020,1,ExcutionerElite,enemy_illustration-20000020,1,0,6,5,4,5,3,3,3,2,enemy_illustration-30000020,"1001,202,309","60,61",2016-5-20 00:00:00,enemy_illustration-40000020,"80,80,1"
21,enemy_illustration-10000021,1,Weaver,enemy_illustration-20000021,1,1,4,5,5,4,4,3,4,3,enemy_illustration-30000021,"1001,210,309","71,98",2016-5-20 00:00:00,enemy_illustration-40000021,"80,80,1"
