id,type,mission_campaign,draw_event_id,start_time,end_time,init_mission_id,function_control_id,open_mission,open_time,mission_event_opentime_white_list
1,2,-2|-3|-4,,,,10005,,,,
2,2,-6|-7,,,,10018,,,,
3,2,-10|-11|-12,,,,10030,,,,
4,2,-16|-17|-18,,,,10092,,,,
5,2,-24|-25|-26|-28,,,,10156,,,,
6,2,-31,,,,10194,,,,
7,2,-33,,,,10294,,,,
8,2,-36,,,,10426,,,,
12,2,-10000,,,,10934,,,,
13,2,-10001,,,,10913,,,,
14,2,-10002,,,,10925,,,,
15,2,-10003,,,,10928,,,,
16,2,-10004,,,,11001,,,,
17,2,-10005,,,,10915,,,,
18,2,-37,,,,10481,,,,
19,1,-51,400|401|402|403|404,2022-02-11 15:00:00,2022-03-11 15:00:00,11011,,,,
20,2,-50,,,,11083,,,,
21,2,-41,,,,10528,,,,
22,2,-53,,,,11116,,,,
23,2,-40,,,,10504,,,,
24,2,-47,,,,10780,,,,
25,1,-52,400|401|402|403|404,2023-07-06 15:00:00,2023-07-21 15:00:00,11098,,,,
26,1,-54,400|401|402|403|404,2022-09-19 15:00:00,2022-10-28 15:00:00,11166,,,,
27,2,-42,,,,10588,,,,
28,2,-34,,,,10381,,,,
29,2,-44,,,,10632,,,,
30,2,-55,,,,11320,,,,
31,1,-56,400|401|402|403|404,2024-01-29 15:00:00,2024-02-23 15:00:00,11243,,,,
32,2,-35,,,,10385,,,,
33,1,-49,400|401|402|403|404,2023-11-20 15:00:00,2023-12-15 15:00:00,10988,,,,
34,2,-59,,,,11321,,,,
35,1,-57,400|401|402|403|404,2023-02-11 15:00:00,2023-03-10 15:00:00,11261,,,,
36,1,-58,400|401|402|403|404,2023-04-28 15:00:00,2023-06-10 15:00:00,11333,,,,
37,2,-60,,,,11435,,,,
38,2,-40,,,,10504,,,,
39,1,-61,400|401|402|403|404,2023-07-17 15:00:00,2023-08-11 15:00:00,11436,,,,
40,2,-10006,,,,11484|11485,,,,
41,2,-23,,,,10105,,,,
42,1,-62,400|401|402|403|404,2024-06-03 15:00:00,2024-06-21 15:00:00,11479,,,,
43,2,-48,,,,10799,,,,
44,2,-29,,,,10158,,,,
45,1,-63,400|401|402|403|404,2023-11-07 15:00:00,2023-11-24 15:00:00,11497,,,,
46,2,-39,,,,10508,,,,
48,1,-64,400|401|402|403|404,2024-03-01 15:00:00,2024-03-29 15:00:00,11499,,,,
49,1,-68,400|401|402|403|404,2024-04-26 15:10:00,2024-05-17 15:00:00,11631,,,,
50,2,-45,,,,10766,,,,
51,1,-65,400|401|402|403|404,2024-04-22 15:00:00,2024-05-10 15:00:00,11549,,,,
52,1,-69,400|401|402|403|404,2024-06-18 15:00:00,2024-07-12 15:00:00,11670,,,,
53,1,-67,400|401|402|403|404,2024-06-26 15:00:00,2024-07-12 15:00:00,11630,,,,
