id,name,code,kalina_favor_lv,data,China_data,time
1,npc_charavoice-10000001,_HELLO_JP,0,,,
2,npc_charavoice-10000002,_DIALOGUE1_JP,0,,,
3,npc_charavoice-10000003,_DIALOGUE2_JP,0,,,
4,npc_charavoice-10000004,_DIALOGUE3_JP,0,,,
5,npc_charavoice-10000005,_DIALOGUE4_JP,0,,,
6,npc_charavoice-10000006,_DIALOGUE5_JP,0,,,
7,npc_charavoice-10000007,_DIALOGUE6_JP,0,,,
8,npc_charavoice-10000008,_DIALOGUE7_JP,0,,,
9,npc_charavoice-10000009,_DIALOGUE8_JP,0,,,
10,npc_charavoice-10000010,_DIALOGUE9_JP,0,,,
11,npc_charavoice-10000011,_DIALOGUE10_JP,0,,,
12,npc_charavoice-10000012,BUILDOVER_JP,0,,,
13,npc_charavoice-10000013,_NEWYEAR_JP,0,,01-01|01-02|01-03,
14,npc_charavoice-10000014,_VALENTINE_JP,0,02-14,,
15,npc_charavoice-10000015,_TANABATA_JP,0,,07-07,
16,npc_charavoice-10000016,_ALLHALLOWS_JP,0,10-31|11-01,,
17,npc_charavoice-10000017,_CHRISTMAS_JP,0,12-24|12-25,,
18,npc_charavoice-10000018,_MORNING_JP,0,,,06:30:01-08:00:00|09:00:01-09:30:00
19,npc_charavoice-10000019,_NOON_JP,0,,,11:00:01-11:30:00|13:00:01-13:30:00
20,npc_charavoice-10000020,_AFTERNOON_JP,0,,,14:00:01-16:00:00
21,npc_charavoice-10000021,_EVENING_JP,0,,,20:00:01-21:30:00
22,npc_charavoice-10000022,_MIDNIGHT_JP,0,,,23:45:01-23:59:59|00:00:00-00:15:00|03:00:01-06:30:00
23,npc_charavoice-10000023,_BREAKFAST_JP,0,,,08:00:01-09:00:00
24,npc_charavoice-10000024,_LUNCH_JP,0,,,11:30:01-13:00:00
25,npc_charavoice-10000025,_DINNRER_JP,0,,,17:30:01-19:00:00
26,npc_charavoice-10000026,_SUPPER_JP,0,,,22:30:01-23:45:00|00:15:01-01:15:00
27,npc_charavoice-10000027,_AMUSEMENT_JP,0,,,21:30:01-22:30:00|01:15:01-03:00:00
28,npc_charavoice-10000028,_CONTRIBUTION1_JP,5,,,
29,npc_charavoice-10000029,_CONTRIBUTION2_JP,10,,,
30,npc_charavoice-10000030,_CONTRIBUTION3_JP,10,,,
31,npc_charavoice-10000031,_CONTRIBUTION4_JP,15,,,
32,npc_charavoice-10000032,_CONTRIBUTION5_JP,15,,,
33,npc_charavoice-10000033,_CONTRIBUTION6_JP,20,,,
34,npc_charavoice-10000034,_CONTRIBUTION7_JP,20,,,
35,npc_charavoice-10000035,_CONTRIBUTION8_JP,20,,,
36,npc_charavoice-10000036,_CONTRIBUTION9_JP,25,,,
37,npc_charavoice-10000037,_CONTRIBUTION10_JP,25,,,
38,npc_charavoice-10000038,_CONTRIBUTION11_JP,25,,,
39,npc_charavoice-10000039,_CONTRIBUTION12_JP,30,,,
40,npc_charavoice-10000040,_CONTRIBUTION13_JP,30,,,
41,npc_charavoice-10000041,_CONTRIBUTION14_JP,30,,,
42,npc_charavoice-10000042,_CONTRIBUTION15_JP,30,,,
