id,name,type,sub_type,refresh,title,top_rewards,percentage_rewards,out_rewards,visable_rank,score_rewards,ranking_onlist_number,visable_count,rank_list_num,begin_show_time,end_show_time,prize_preview
1,rank-20000001,1,0,month:1:0,rank-10000001,,,,100,,20000,100,0,,,
2,rank-20000002,2,1,week:7:0,rank-10000002,,,,100,,20000,100,0,,,
3,rank-20000003,2,2,week:7:0,rank-10000003,,,,100,,20000,100,0,,,
4,rank-20000004,2,3,week:7:0,rank-10000004,,,,100,,20000,100,0,,,
5,rank-20000005,3,0,week:7:0,rank-10000005,,,,100,,20000,100,0,,,
6,rank-20000006,4,0,month:1:0,rank-10000006,,,,100,,20000,100,0,,,
7,rank-20000007,5,0,month:1:0,rank-10000007,,,,100,,20000,100,0,,,
8,rank-20000008,6,"11002,11003,11004,11005,11006,11007,11008,11009,11010",end:2022-03-17 23:59:59,rank-10000008,"1:40430,2:40431,3:40432,4:40433,5:40434,6:40435,7:40436,8:40437,9:40438,10:40439,100:40440",,,100,"450000:40441,600000:40442,1000000:40443,1300000:40444,1700000:40445",80000,100,1,2022-02-11 15:00:00,2022-03-17 23:59:59,http://gfcn-transit.gw.sunborngame.com/listAward.html
101,rank-20000101,101,0,test,rank-10000101,"1:74101,2:74102,3:74103,4:74104,5:74105,6:74106,7:74107,8:74108,9:74109,10:74110,100:74111","5:74112,10:74113,15:74114,20:74115,30:74116,40:74117,50:74118,100:74119",,100,,160000,300,0,,,
102,rank-20000102,102,0,test,rank-10000102,,,,100,,120,300,0,,,
112,rank-20000112,112,0,test,rank-10000112,"1:44201,2:44202,3:44203,4:44204,5:44205,6:44206,7:44207,8:44208,9:44209,10:44210,100:44211","5:44212,10:44213,15:44214,20:44215,30:44216,40:44217,50:44218,100:44219",,100,,160000,300,0,,,
122,rank-20000122,113,1703,test,rank-10000122,,,,100,,160000,100,0,,,
123,rank-20000123,113,1704,test,rank-10000123,,,,100,,160000,100,0,,,
124,rank-20000124,113,1705,test,rank-10000124,,,,100,,160000,100,0,,,
125,rank-20000125,113,1706,test,rank-10000125,,,,100,,160000,100,0,,,
126,rank-20000126,113,1707,test,rank-10000126,,,,100,,160000,100,0,,,
127,rank-20000127,114,1703,test,rank-10000127,,,,100,,160000,100,0,,,
128,rank-20000128,114,1704,test,rank-10000128,,,,100,,160000,100,0,,,
129,rank-20000129,114,1705,test,rank-10000129,,,,100,,160000,100,0,,,
130,rank-20000130,114,1706,test,rank-10000130,,,,100,,160000,100,0,,,
131,rank-20000131,114,1707,test,rank-10000131,,,,100,,160000,100,0,,,
132,rank-20000132,113,1708,test,rank-10000132,,,,100,,160000,100,0,,,
133,rank-20000133,113,1709,test,rank-10000133,,,,100,,160000,100,0,,,
134,rank-20000134,113,1710,test,rank-10000134,,,,100,,160000,100,0,,,
