id	name	en_name	code	introduce	dialogue	extra	en_introduce	type	assist_type	population	cpu_id	hp	assist_damage	assist_reload	assist_hit	assist_def_break	damage	atk_speed	hit	basic_rate	cpu_rate	crit_rate	crit_damage	armor_piercing	dodge	move	assist_armor_piercing	battle_assist_range	display_assist_damage_area	display_assist_area_coef	attack_range	night_vision	skill1	skill2	skill3	performance_skill	passive_skill	dynamic_passive_skill	normal_attack	advanced_bonus	deploy_round	assist_attack_round	attack_round	baseammo	basemre	ammo_part	mre_part	is_additional	launch_time	obtain_ids	is_piece_only	piece_item_id	destroy_coef	assist_damage_destroy_coef	mission_skill_repair	develop_duration	dorm_ai	normal_attack_description	is_show	org_id
1	squad-10000001	squad-20000001	TOW	squad-30000001	squad-40000001	squad-50000001	squad-60000001	1	1	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,2	150	270	15	1	500028	500003	500005	900001	500000,500029,500004,500024,501001		900107	101	0	0	0	50	50	10	10	0	2016-05-20	0	0	301	100	0		28800	1001,1002,1003	500000	1	10503
2	squad-10000002	squad-20000002	AGS30	squad-30000002	squad-40000002	squad-50000002	squad-60000002	3	1	2	1002	100	115	95	105	105	100	100	100	105	95	10	150	0	5	5	80	1,3	200	270	15	1	500021	500022	500023	900005	500020,501001		900107	102	0	0	0	40	60	10	10	0	2016-05-20	0	0	302	100	0		28800	1001,1002,1003	500020	1	10503
3	squad-10000003	squad-20000003	2B14	squad-30000003	squad-40000003	squad-50000003	squad-60000003	2	1	2	1003	100	115	95	102	95	100	100	100	100	100	10	150	0	5	5	40	1,3	250	300	15	1	500007	500009	500010	900006	500008,500011,500012,501001		900107	103	0	0	0	60	40	10	10	0	2016-05-20	0	0	303	100	0		28800	1001,1002,1003	500008	1	10503
4	squad-10000004	squad-20000004	M2	squad-30000004	squad-40000004	squad-50000004	squad-60000004	2	1	2	1004	100	95	120	100	90	100	100	100	90	110	10	150	0	5	5	40	1,3	250	300	15	1	510107	510103	510104	900007	510105,510106,510102,501001,510108		900107	104	0	0	0	60	40	10	10	0	2019-03-07	0	0	304	100	0		28800	1001,1002,1003	500008	1	10503
5	squad-10000005	squad-20000005	AT4	squad-30000005	squad-40000005	squad-50000005	squad-60000005	1	1	2	1005	100	95	135	115	95	100	100	100	105	105	10	150	0	5	5	400	1,2	150	270	15	1	510201	510203	510204	900008	501001	510202	900107	105	0	0	0	50	50	10	10	0	2019-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	1	10503
6	squad-10000006	squad-20000006	QLZ04	squad-30000006	squad-40000006	squad-50000006	squad-60000006	3	1	2	1006	100	125	90	110	110	100	100	100	95	100	10	150	0	5	5	80	1,3	200	270	15	1	510301	510303	510304	900025	510302,510305,510306		900107	106	0	0	0	40	60	10	10	0	2019-09-26	0	0	306	100	0		28800	1001,1002,1003	510302	1	10503
7	squad-10000007	squad-20000007	MK153	squad-30000007	squad-40000007	squad-50000007	squad-60000007	1	1	2	1007	100	105	125	110	95	100	100	100	90	110	10	150	0	5	5	400	1,3	150	270	15	1	900954	900951	900957	900001	900950,900952,900953		900107	107	0	0	0	50	50	10	10	0	2020-08-24	0	0	307	100	0		28800	1001,1002,1003	500000	1	10503
8	squad-10000008	squad-20000008	PP93	squad-30000008	squad-40000008	squad-50000008	squad-60000008	2	1	2	1008	100	95	90	125	100	100	100	100	110	90	30	150	0	5	5	40	1,3	250	300	15	1	502001	502003	502004	900026	502002	502005,502006	502002	108	0	0	0	60	40	10	10	0	2019-03-07	0	0	308	100	0		28800	1001,1002,1003	502002	1	10503
9	squad-10000009	squad-20000009	MK47	squad-30000009	squad-40000009	squad-50000009	squad-60000009	3	1	2	1009	100	130	85	115	115	100	100	100	95	95	10	150	0	5	5	80	1,3	200	270	15	1	757091	757093	757094	757096	757092		900107	109	0	0	0	40	60	10	10	0	2022-11-03	0	0	309	100	0		28800	1001,1002,1003	757092	1	10503
10	squad-10000010	squad-20000010	RPG29	squad-30000010	squad-40000010	squad-50000010	squad-60000010	1	1	2	1010	100	115	95	105	120	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	757185	757187	757188	757190	757191,757186,501001		900107	110	0	0	0	50	50	10	10	0	2019-03-21	0	1	310	100	0		28800	1001,1002,1003	500000	1	10503
