"id","name","squad_id","rank","is_random","assist_damage","assist_def_break","assist_hit","assist_reload","damage","atk_speed","hit","def","intensity_ratio","grid_number","unlock_chip_point","color"
"1001","squad_chip-10001001","1","1","1","36","0","0","9","0","0","0","0","0","4","90","2"
"1002","squad_chip-10001002","1","1","1","0","55","13","0","0","0","0","0","0","6","140","2"
"1003","squad_chip-10001003","1","1","1","0","5","40","0","0","0","0","0","0","4","90","2"
"1004","squad_chip-10001004","1","1","1","23","0","0","0","0","0","0","0","0","2","50","2"
"1005","squad_chip-10001005","1","1","1","23","0","0","0","0","0","0","0","0","2","50","2"
"1006","squad_chip-10001006","1","1","1","0","42","0","5","0","0","0","0","0","4","90","2"
"1007","squad_chip-10001007","1","1","1","36","0","0","8","0","0","0","0","0","4","90","2"
"1008","squad_chip-10001008","1","1","1","0","15","30","0","0","0","0","0","0","4","90","2"
"1009","squad_chip-10001009","1","1","1","0","41","5","0","0","0","0","0","0","4","90","2"
"1010","squad_chip-10001010","1","1","1","21","0","4","0","0","0","0","0","0","2","50","2"
"2001","squad_chip-10002001","2","1","1","28","4","0","0","0","0","0","0","0","4","90","1"
"2002","squad_chip-10002002","2","1","1","0","0","9","24","0","0","0","0","0","4","90","1"
"2003","squad_chip-10002003","2","1","1","0","0","8","32","0","0","0","0","0","5","110","1"
"2004","squad_chip-10002004","2","1","1","0","24","0","0","0","0","0","0","0","3","70","1"
"2005","squad_chip-10002005","2","1","1","24","0","24","0","0","0","0","0","0","6","130","1"
"2006","squad_chip-10002006","2","1","1","0","8","0","40","0","0","0","0","0","6","130","1"
"2007","squad_chip-10002007","2","1","1","0","0","0","16","0","0","0","0","0","2","40","1"
"2008","squad_chip-10002008","2","1","1","0","0","16","0","0","0","0","0","0","2","40","1"
"2009","squad_chip-10002009","2","1","1","24","8","0","0","0","0","0","0","0","4","90","1"
"2010","squad_chip-10002010","2","1","1","0","18","0","0","0","0","0","0","0","2","40","1"
"3001","squad_chip-10003001","3","1","1","28","8","0","0","0","0","0","0","0","4","100","1"
"3002","squad_chip-10003002","3","1","1","24","4","0","0","0","0","0","0","0","3","90","1"
"3003","squad_chip-10003003","3","1","1","0","0","4","24","0","0","0","0","0","3","90","1"
"3004","squad_chip-10003004","3","1","1","32","0","4","0","0","0","0","0","0","4","100","1"
"3005","squad_chip-10003005","3","1","1","32","0","4","0","0","0","0","0","0","4","100","1"
"3006","squad_chip-10003006","3","1","1","0","17","0","0","0","0","0","0","0","2","50","1"
"3007","squad_chip-10003007","3","1","1","31","0","5","0","0","0","0","0","0","4","100","1"
"3008","squad_chip-10003008","3","1","1","0","0","28","7","0","0","0","0","0","4","100","1"
"3009","squad_chip-10003009","3","1","1","21","0","0","0","0","0","0","0","0","2","50","1"
"3010","squad_chip-10003010","3","1","1","0","0","0","21","0","0","0","0","0","2","50","1"
"4001","squad_chip-10004001","4","1","1","23","0","0","0","0","0","0","0","0","3","70","2"
"4002","squad_chip-10004002","4","1","1","25","6","0","0","0","0","0","0","0","4","90","2"
"4003","squad_chip-10004003","4","1","1","0","0","25","6","0","0","0","0","0","4","90","2"
"4004","squad_chip-10004004","4","1","1","31","0","0","0","0","0","0","0","0","4","90","2"
"4005","squad_chip-10004005","4","1","1","5","0","0","26","0","0","0","0","0","4","90","2"
"4006","squad_chip-10004006","4","1","1","0","24","7","0","0","0","0","0","0","4","90","2"
"4007","squad_chip-10004007","4","1","1","40","0","0","6","0","0","0","0","0","6","110","2"
"4008","squad_chip-10004008","4","1","1","0","0","0","32","0","0","0","0","0","4","90","2"
"4009","squad_chip-10004009","4","1","1","0","0","16","0","0","0","0","0","0","2","40","2"
"4010","squad_chip-10004010","4","1","1","22","0","0","0","0","0","0","0","0","3","70","2"
"5001","squad_chip-10005001","5","1","1","26","0","15","0","0","0","0","0","0","4","90","2"
"5002","squad_chip-10005002","5","1","1","0","32","0","0","0","0","0","0","0","3","70","2"
"5003","squad_chip-10005003","5","1","1","21","0","0","21","0","0","0","0","0","4","90","2"
"5004","squad_chip-10005004","5","1","1","0","8","33","0","0","0","0","0","0","4","90","2"
"5005","squad_chip-10005005","5","1","1","0","41","0","0","0","0","0","0","0","4","90","2"
"5006","squad_chip-10005006","5","1","1","21","0","0","0","0","0","0","0","0","2","50","2"
"5007","squad_chip-10005007","5","1","1","0","6","0","21","0","0","0","0","0","3","70","2"
"5008","squad_chip-10005008","5","1","1","0","30","0","0","0","0","0","0","0","3","70","2"
"5009","squad_chip-10005009","5","1","1","48","0","15","0","0","0","0","0","0","6","140","2"
"5010","squad_chip-10005010","5","1","1","0","5","26","0","0","0","0","0","0","3","70","2"
"6001","squad_chip-10006001","6","1","1","30","4","0","0","0","0","0","0","0","4","90","1"
"6002","squad_chip-10006002","6","1","1","0","17","0","0","0","0","0","0","0","2","40","1"
"6003","squad_chip-10006003","6","1","1","0","0","13","30","0","0","0","0","0","5","100","1"
"6004","squad_chip-10006004","6","1","1","25","0","11","0","0","0","0","0","0","4","90","1"
"6005","squad_chip-10006005","6","1","1","7","0","0","27","0","0","0","0","0","4","90","1"
