id	name	component_type
129	vehicle_component_group-10000129	0
130	vehicle_component_group-10000130	0
131	vehicle_component_group-10000131	0
132	vehicle_component_group-10000132	0
133	vehicle_component_group-10000133	0
134	vehicle_component_group-10000134	0
135	vehicle_component_group-10000135	0
136	vehicle_component_group-10000136	0
137	vehicle_component_group-10000137	0
138	vehicle_component_group-10000138	0
139	vehicle_component_group-10000139	0
127	vehicle_component_group-10000127	0
128	vehicle_component_group-10000128	0
101	vehicle_component_group-10000101	2
102	vehicle_component_group-10000102	2
103	vehicle_component_group-10000103	2
104	vehicle_component_group-10000104	2
105	vehicle_component_group-10000105	3
106	vehicle_component_group-10000106	2
107	vehicle_component_group-10000107	2
108	vehicle_component_group-10000108	1
109	vehicle_component_group-10000109	1
110	vehicle_component_group-10000110	1
111	vehicle_component_group-10000111	1
112	vehicle_component_group-10000112	1
113	vehicle_component_group-10000113	1
114	vehicle_component_group-10000114	3
115	vehicle_component_group-10000115	3
116	vehicle_component_group-10000116	3
117	vehicle_component_group-10000117	3
118	vehicle_component_group-10000118	1
119	vehicle_component_group-10000119	1
120	vehicle_component_group-10000120	1
121	vehicle_component_group-10000121	4
122	vehicle_component_group-10000122	2
123	vehicle_component_group-10000123	3
124	vehicle_component_group-10000124	4
125	vehicle_component_group-10000125	3
140	vehicle_component_group-10000140	2
141	vehicle_component_group-10000141	4
142	vehicle_component_group-10000142	2
143	vehicle_component_group-10000143	3
144	vehicle_component_group-10000144	2
145	vehicle_component_group-10000145	1
146	vehicle_component_group-10000146	3
147	vehicle_component_group-10000147	4
148	vehicle_component_group-10000148	4
