id,name,description,attr_num,heavy_damage,light_damage,reload,precision,atk_speed,hit,armor,dodge,crit_rate,crit_damage,L_armor_piercing,def_break,H_armor_piercing,energy,energy_bak,skill_group1_weight,skill_group2_weight,skill_group3_weight,skill_group1,skill_group2,skill_group3
1001,vehicle_component_roll-10001001,vehicle_component_roll-20001001,3,100,0,50,100,0,0,0,0,0,0,0,100,50,0,0,100,0,0,"220173,100;220175,100;220181,100;220180,100;220167,100;220185,100;770091,100;770093,100;770045,100;770081,100",,
1002,vehicle_component_roll-10001002,vehicle_component_roll-20001002,3,100,0,50,100,0,0,0,0,0,0,0,100,50,0,0,100,0,0,"220173,100;220175,100;220181,100;220180,100;220167,100;220185,100;220183,100;770114,100;770104,100",,
1003,vehicle_component_roll-10001003,vehicle_component_roll-20001003,3,100,0,50,100,0,0,0,0,0,0,0,100,50,0,0,100,0,0,"220173,100;220175,100;220181,100;220180,100;220167,100;220185,100;770091,100;770096,100;770107,100;770109,100",,
1004,vehicle_component_roll-10001004,vehicle_component_roll-20001004,3,100,0,50,100,0,0,0,0,0,0,0,100,50,0,0,100,0,0,"220173,100;220175,100;220181,100;220180,100;220167,100;220185,100;770093,100;770026,100;770100,100;220182,100",,
2001,vehicle_component_roll-10002001,vehicle_component_roll-20002001,3,0,100,0,0,50,100,0,0,0,0,50,100,0,0,0,100,0,0,"770036,100;770038,100;770125,100;770106,100;220187,100;770113,100;770046,100;770082,100;770090,100;770092,100",,
2002,vehicle_component_roll-10002002,vehicle_component_roll-20002002,3,0,100,0,0,50,100,0,0,0,0,50,100,0,0,0,100,0,0,"770036,100;770038,100;770125,100;770106,100;220187,100;770113,100;220183,100;770114,100;770104,100",,
2003,vehicle_component_roll-10002003,vehicle_component_roll-20002003,3,0,100,0,0,50,100,0,0,0,0,50,100,0,0,0,100,0,0,"770036,100;770038,100;770125,100;770106,100;220187,100;770113,100;770090,100;770096,100;770107,100;770109,100",,
2004,vehicle_component_roll-10002004,vehicle_component_roll-20002004,3,0,100,0,0,50,100,0,0,0,0,50,100,0,0,0,100,0,0,"770036,100;770038,100;770125,100;770106,100;220187,100;770113,100;770092,100;770026,100;770100,100",,
3001,vehicle_component_roll-10003001,vehicle_component_roll-20003001,3,0,0,0,0,0,0,100,100,50,50,0,100,0,0,0,100,0,0,"770014,100;770016,100;770019,100;770024,100;770096,100;770107,100;770109,100;770026,100;770028,100;770100,100",,
3002,vehicle_component_roll-10003002,vehicle_component_roll-20003002,3,0,0,0,0,0,0,100,100,50,50,0,100,0,0,0,100,0,0,"770014,100;770016,100;770019,100;770024,100;770096,100;770107,100;770109,100;220183,100;770114,100;770104,100",,
4001,vehicle_component_roll-10004001,vehicle_component_roll-20004001,3,0,0,0,0,0,0,0,0,100,100,50,100,50,0,0,100,0,0,"770014,100;770024,100;770026,100;770028,100;770047,100;770084,100;770039,100;770040,100;770041,100",,
4002,vehicle_component_roll-10004002,vehicle_component_roll-20004002,3,0,0,0,0,0,0,0,0,100,100,50,100,50,0,0,100,0,0,"770037,100;770039,100;770040,100;770041,100;220183,100;770114,100;770104,100;770047,100;770084,100",,
4003,vehicle_component_roll-10004003,vehicle_component_roll-20004003,3,0,0,0,0,0,0,0,0,100,100,50,100,50,0,0,100,0,0,"770026,100;770028,100;220182,100;770030,100;770032,100;770034,100;770100,100;770047,100;770084,100",,
5001,vehicle_component_roll-10005001,vehicle_component_roll-20005001,2,50,0,100,100,0,0,0,0,0,0,0,0,50,0,0,0,0,0,,,
5002,vehicle_component_roll-10005002,vehicle_component_roll-20005002,2,0,50,0,0,100,100,0,0,0,0,50,0,0,0,0,0,0,0,,,
5003,vehicle_component_roll-10005003,vehicle_component_roll-20005003,2,100,100,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,,,
5004,vehicle_component_roll-10005004,vehicle_component_roll-20005004,2,0,0,0,100,0,100,50,50,0,0,0,0,0,0,0,0,0,0,,,
