id,mission,order,name,breakout_gun_inshop,breakout_item_inshop,breakout_mre_reg,goal,enemy_show,item_drop,drop_missionkey,main,breakout_ammo_ini,breakout_ammo_max,breakout_ammo_reg,breakout_ap_ini,breakout_ap_max,breakout_ap_reg,trigger,avg_start_service,avg_end_service,avg_battle,background,npc_talk
1,11832,1,breakout_phase-20000001,1|16,101:1|102:1,20,breakout_phase-10000001,110101|110201|110301,2-9301:1,1182300:1,1,0,150,500,3,20,50,1010,-73-E1-Begin,-73-E1-Attack,-73-E1-Win,breakout_village,1|2|3|4|9|10|11|12|13|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
2,11832,2,breakout_phase-20000002,1|4|11|16|17|18,101:1|102:1|103:1,15,breakout_phase-10000002,120101|120201|121501|121601,2-9302:1,1182400:1,1,10,150,500,4,20,60,1020,,-73-E2-Attack,,breakout_village,1|2|3|9|10|11|12|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
3,11832,3,breakout_phase-20000003,1|2|4|6|10|11|16|17|18,102:1|104:1|301:1,30,breakout_phase-10000003,130101|130201|130301|131501|131601|131701,2-9303:1,1182500:1,1,20,150,600,5,20,70,1030,-73-E3-Begin,-73-E3-Attack,-73-E3-Win,breakout_village,1|2|3|5|9|10|11|12|14|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
4,11833,1,breakout_phase-20000004,2|6|7|10|12|13|16|17|18,101:1|102:1,50,breakout_phase-10000004,210301|210401|210501|211801,2-9304:1,1182600:1,12,10,200,500,3,15,50,2010,-73-D1-Begin,-73-D1-Attack,,breakout_indoor,1|2|3|6|9|10|11|12|15|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
5,11833,2,breakout_phase-20000005,2|6|7|10|12|13|16|17|18,101:1|102:1|103:1|104:1|301:2,30,breakout_phase-10000005,220401|220501|220601|221701|221801|221901,2-9305:1,1182700:1,12,10,200,600,3,15,50,2020,-73-D2-Begin,,-73-D2-Win,breakout_indoor,1|2|3|9|10|11|12|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
6,11833,3,breakout_phase-20000006,2|3|5|6|7|8|10|12|13|14|16|17|18,101:2|102:2|103:1|104:1|301:1,40,breakout_phase-10000006,230401|230501|230601|231801|231901|232001,,,12,20,200,700,4,15,60,2030,-73-D3-Begin,-73-D3-Attack,,breakout_indoor,1|2|3|7|9|10|11|12|16|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
7,11833,4,breakout_phase-20000007,2|3|5|6|7|8|10|12|13|14|16|17|18,101:2|102:2|103:2|104:2,50,breakout_phase-10000007,240401|240501|240601|241000|241801|241901|242001,2-9306:1,1182800:1,12,20,200,800,4,15,60,2040,-73-D4-Begin,-73-D4-Attack,-73-D4-Win,breakout_indoor,1|2|3|9|10|11|12|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
8,11834,1,breakout_phase-20000008,3|5|8|11|12|14|16|17|18,101:1|102:1,65,breakout_phase-10000008,310301|310701|310801|310901,2-9307:1,1182900:1,12,10,200,500,3,15,50,3010,-73-H1-Begin,-73-H1-Attack,,breakout_forest,1|2|3|8|9|10|11|12|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
9,11834,2,breakout_phase-20000009,3|5|8|11|12|14|16|17|18,101:1|102:2|103:1|104:1|301:2,35,breakout_phase-10000009,320301|320701|320801|320901|322301,2-9308:1,1183000:1,12,10,200,600,3,15,50,3020,-73-H2-Begin,-73-H2-Attack,,breakout_forest,1|2|3|9|10|11|12|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
10,11834,3,breakout_phase-20000010,1|3|4|5|8|9|10|11|12|14|15|16|17|18,101:2|102:3|103:2|104:2|301:2,40,breakout_phase-10000010,330301|330701|330801|330901|332101|332201|332301,,,12,20,200,700,4,15,60,3030,-73-H3-Begin,-73-H3-Attack,,breakout_forest,1|2|3|9|10|11|12|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68
