id,fetter_id,type,value,point,name,description
101,1,collect,g:9,10,fetter_bounty-10000101,fetter_bounty-20000101
102,1,collect,g:167,10,fetter_bounty-10000102,fetter_bounty-20000102
103,1,collect,g:92,10,fetter_bounty-10000103,fetter_bounty-20000103
104,1,collect,g:7,10,fetter_bounty-10000104,fetter_bounty-20000104
105,1,collect,g:272,10,fetter_bounty-10000105,fetter_bounty-20000105
106,1,upgrade_lv,g:9;10,10,fetter_bounty-10000106,fetter_bounty-20000106
107,1,upgrade_lv,g:167;10,10,fetter_bounty-10000107,fetter_bounty-20000107
108,1,upgrade_lv,g:92;10,10,fetter_bounty-10000108,fetter_bounty-20000108
109,1,upgrade_lv,g:7;10,10,fetter_bounty-10000109,fetter_bounty-20000109
110,1,upgrade_lv,g:272;10,10,fetter_bounty-10000110,fetter_bounty-20000110
111,1,upgrade_lv,g:9;30,15,fetter_bounty-10000111,fetter_bounty-20000111
112,1,upgrade_lv,g:167;30,15,fetter_bounty-10000112,fetter_bounty-20000112
113,1,upgrade_lv,g:92;30,15,fetter_bounty-10000113,fetter_bounty-20000113
114,1,upgrade_lv,g:7;30,15,fetter_bounty-10000114,fetter_bounty-20000114
115,1,upgrade_lv,g:272;30,15,fetter_bounty-10000115,fetter_bounty-20000115
116,1,upgrade_lv,g:9;70,15,fetter_bounty-10000116,fetter_bounty-20000116
117,1,upgrade_lv,g:167;70,15,fetter_bounty-10000117,fetter_bounty-20000117
118,1,upgrade_lv,g:92;70,15,fetter_bounty-10000118,fetter_bounty-20000118
119,1,upgrade_lv,g:7;70,15,fetter_bounty-10000119,fetter_bounty-20000119
120,1,upgrade_lv,g:272;70,15,fetter_bounty-10000120,fetter_bounty-20000120
121,1,upgrade_lv,g:9;90,20,fetter_bounty-10000121,fetter_bounty-20000121
122,1,upgrade_lv,g:167;90,20,fetter_bounty-10000122,fetter_bounty-20000122
123,1,upgrade_lv,g:92;90,20,fetter_bounty-10000123,fetter_bounty-20000123
124,1,upgrade_lv,g:7;90,20,fetter_bounty-10000124,fetter_bounty-20000124
125,1,upgrade_lv,g:272;90,20,fetter_bounty-10000125,fetter_bounty-20000125
126,1,upgrade_lv,g:9;100,15,fetter_bounty-10000126,fetter_bounty-20000126
