"id","name","code","is_hidden","is_skin","is_fetter"
"1","gun_charavoice-10000001","_GAIN_JP","0","0","0"
"2","gun_charavoice-10000002","_HELLO_JP","0","0","0"
"3","gun_charavoice-10000003","_FORMATION_JP","0","0","0"
"4","gun_charavoice-10000004","_FEED_JP","0","0","0"
"5","gun_charavoice-10000005","_DIALOGUE1_JP","0","0","0"
"6","gun_charavoice-10000006","_DIALOGUE2_JP","0","0","0"
"7","gun_charavoice-10000007","_DIALOGUE3_JP","0","0","0"
"9","gun_charavoice-10000009","_GOATTACK_JP","0","0","0"
"10","gun_charavoice-10000010","_MEET_JP","0","0","0"
"13","gun_charavoice-10000013","_BREAK_JP","0","0","0"
"14","gun_charavoice-10000014","_WIN_JP","0","0","0"
"15","gun_charavoice-10000015","_RETREAT_JP","0","0","0"
"16","gun_charavoice-10000016","_NEWYEAR_JP","0","1","0"
"17","gun_charavoice-10000017","_VALENTINE_JP","0","1","0"
"18","gun_charavoice-10000018","_TANABATA_JP","0","1","0"
"19","gun_charavoice-10000019","_ALLHALLOWS_JP","0","1","0"
"20","gun_charavoice-10000020","_CHRISTMAS_JP","0","1","0"
"21","gun_charavoice-10000021","_SKILL1_JP","0","0","0"
"22","gun_charavoice-10000022","_SKILL2_JP","0","0","0"
"23","gun_charavoice-10000023","_SKILL3_JP","0","0","0"
"24","gun_charavoice-10000024","_OPERATIONBEGIN_JP","0","0","0"
"25","gun_charavoice-10000025","_OPERATIONOVER_JP","0","0","0"
"26","gun_charavoice-10000026","_FIX_JP","0","0","0"
"27","gun_charavoice-10000027","_COMBINE_JP","0","0","0"
"28","gun_charavoice-10000028","_BLACKACTION_JP","0","0","0"
"29","gun_charavoice-10000029","_SOULCONTRACT_JP","0","0","0"
"30","gun_charavoice-10000030","_TITLECALL_JP","0","0","0"
"31","gun_charavoice-10000031","_DIALOGUEWEDDING_JP","0","0","0"
"41","gun_charavoice-10000041","_LOADING_JP","0","0","0"
"42","gun_charavoice-10000042","_FETTER1_JP","0","0","1"
"43","gun_charavoice-10000043","_FETTER1_JP","0","0","2"
"44","gun_charavoice-10000044","_FETTER1_JP","0","0","3"
"45","gun_charavoice-10000045","_FETTER1_JP","0","0","4"
"46","gun_charavoice-10000046","_FETTER1_JP","0","0","5"
"47","gun_charavoice-10000047","_FETTER1_JP","0","0","6"
"48","gun_charavoice-10000048","_PHRASE_JP","0","0","0"
