id,gun_id,gun_level,location,position,life,pow,hit,dodge,rate,skill1,skill2,number,equip1,equip2,equip3,skin,eat_lv,if_modification,rec
1,26,90,1,14,795,16,10,53,24,9,0,5,56,57,58,0,90,0,17
2,72,90,2,9,500,28,38,35,23,9,0,5,59,60,61,0,90,0,7
3,50,90,3,7,380,81,62,31,11,9,0,5,62,63,64,0,90,0,9
4,16,90,4,13,1130,18,9,43,23,9,0,5,65,66,67,0,90,0,28
5,13,90,5,8,300,17,36,62,17,9,0,5,68,69,70,0,90,0,13
6,152,93,1,18,1220,19,9,8,7,9,0,5,101,102,103,0,93,0,34
7,16,93,2,19,1150,18,10,45,24,9,0,5,104,105,106,0,93,0,29
8,75,93,3,8,760,58,26,27,35,9,0,5,107,108,109,0,93,0,8
9,85,93,4,7,915,56,17,19,24,9,0,5,110,111,112,0,93,0,8
10,99,93,5,13,385,17,43,53,18,9,0,5,113,114,115,0,93,0,17
11,161,97,1,18,1300,19,10,11,8,9,0,5,161,162,163,0,97,0,38
12,99,97,2,13,390,17,45,55,19,9,0,5,164,165,166,0,97,0,18
13,89,97,3,8,855,56,27,24,32,9,0,5,167,168,169,0,97,0,8
14,85,97,4,7,935,58,18,20,25,9,0,5,170,171,172,0,97,0,8
15,109,97,5,9,975,51,23,23,36,9,0,5,173,174,175,0,97,0,9
16,156,100,1,17,1210,18,12,16,10,10,0,5,176,177,178,0,100,0,43
17,151,100,2,19,1375,25,10,10,7,10,0,5,179,180,181,0,100,0,45
18,77,100,3,7,1075,60,15,13,28,10,0,5,182,183,184,0,100,0,8
19,112,100,4,9,870,56,31,32,49,10,0,5,185,186,187,0,100,0,10
20,109,100,5,8,990,53,23,23,37,10,0,5,188,189,190,0,100,0,9
21,27,3,1,13,81,1,1,2,1,1,0,1,0,0,0,0,3,0,1
22,29,3,2,14,95,1,1,2,1,1,0,1,0,0,0,0,3,0,1
23,71,3,3,8,54,1,1,1,1,1,0,1,0,0,0,0,3,0,1
24,2,3,4,9,38,1,1,2,1,1,0,1,0,0,0,0,3,0,1
25,9,3,5,7,34,1,1,2,1,1,0,1,0,0,0,0,3,0,1
26,27,5,1,13,83,1,1,3,2,1,0,1,0,0,0,0,5,0,1
27,29,5,2,14,97,1,1,3,2,1,0,1,0,0,0,0,5,0,1
28,71,5,3,8,55,2,2,2,1,1,0,1,0,0,0,0,5,0,1
29,2,5,4,9,38,1,2,3,1,1,0,1,0,0,0,0,5,0,1
30,9,5,5,7,35,1,2,3,1,1,0,1,0,0,0,0,5,0,1
31,27,7,1,13,84,1,1,5,2,1,0,1,0,0,0,0,7,0,2
